ReleaseDate,FIPS,County,State,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID,,,
20181225,4001,Apache,County,AZ,0,100,100,100,59.85,33.53,2018-12-25,2018-12-31,1,,
20181218,4001,Apache,County,AZ,0,100,100,100,59.85,33.53,2018-12-18,2018-12-24,1,,
20181211,4001,Apache,County,AZ,0,100,100,100,59.85,33.53,2018-12-11,2018-12-17,1,,
20181204,4001,Apache,County,AZ,0,100,100,100,59.85,33.53,2018-12-04,2018-12-10,1,,
20181127,4001,Apache,County,AZ,0,100,100,100,59.85,42.51,2018-11-27,2018-12-03,1,,
20181120,4001,Apache,County,AZ,0,100,100,100,59.85,42.51,2018-11-20,2018-11-26,1,,
20181113,4001,Apache,County,AZ,0,100,100,100,59.85,42.51,2018-11-13,2018-11-19,1,,
20181106,4001,Apache,County,AZ,0,100,100,100,59.85,42.42,2018-11-06,2018-11-12,1,,
20181030,4001,Apache,County,AZ,0,100,100,100,59.85,42.42,2018-10-30,2018-11-05,1,,
20181225,4003,Cochise,County,AZ,0,100,4.97,0,0,0,2018-12-25,2018-12-31,1,,
20181218,4003,Cochise,County,AZ,0,100,4.97,0,0,0,2018-12-18,2018-12-24,1,,
20181211,4003,Cochise,County,AZ,0,100,4.97,0,0,0,2018-12-11,2018-12-17,1,,
20181204,4003,Cochise,County,AZ,0,100,4.97,0,0,0,2018-12-04,2018-12-10,1,,
20181127,4003,Cochise,County,AZ,0,100,4.97,0,0,0,2018-11-27,2018-12-03,1,,
20181120,4003,Cochise,County,AZ,0,100,4.97,0,0,0,2018-11-20,2018-11-26,1,,
20181113,4003,Cochise,County,AZ,0,100,85.39,0,0,0,2018-11-13,2018-11-19,1,,
20181106,4003,Cochise,County,AZ,0,100,85.39,0,0,0,2018-11-06,2018-11-12,1,,
20181030,4003,Cochise,County,AZ,0,100,100,0,0,0,2018-10-30,2018-11-05,1,,
20181225,4005,Coconino,County,AZ,0,100,92.63,39.64,6.88,0,2018-12-25,2018-12-31,1,,
20181218,4005,Coconino,County,AZ,0,100,92.63,39.96,6.88,0,2018-12-18,2018-12-24,1,,
20181211,4005,Coconino,County,AZ,0,100,92.63,39.96,6.88,0,2018-12-11,2018-12-17,1,,
20181204,4005,Coconino,County,AZ,0,100,92.63,39.96,6.88,0,2018-12-04,2018-12-10,1,,
20181127,4005,Coconino,County,AZ,0,100,92.63,40.19,6.88,0,2018-11-27,2018-12-03,1,,
20181120,4005,Coconino,County,AZ,0,100,92.63,40.19,6.88,0,2018-11-20,2018-11-26,1,,
20181113,4005,Coconino,County,AZ,0,100,92.63,40.19,6.88,0,2018-11-13,2018-11-19,1,,
20181106,4005,Coconino,County,AZ,0,100,92.64,40.19,6.88,0,2018-11-06,2018-11-12,1,,
20181030,4005,Coconino,County,AZ,0,100,92.64,40.19,6.88,0,2018-10-30,2018-11-05,1,,
20181225,4007,Gila,County,AZ,0,100,100,9.11,0,0,2018-12-25,2018-12-31,1,,
20181218,4007,Gila,County,AZ,0,100,100,9.36,0,0,2018-12-18,2018-12-24,1,,
20181211,4007,Gila,County,AZ,0,100,100,9.36,0,0,2018-12-11,2018-12-17,1,,
20181204,4007,Gila,County,AZ,0,100,100,9.36,0,0,2018-12-04,2018-12-10,1,,
20181127,4007,Gila,County,AZ,0,100,100,9.36,0,0,2018-11-27,2018-12-03,1,,
20181120,4007,Gila,County,AZ,0,100,100,9.36,0,0,2018-11-20,2018-11-26,1,,
20181113,4007,Gila,County,AZ,0,100,100,9.36,0,0,2018-11-13,2018-11-19,1,,
20181106,4007,Gila,County,AZ,0,100,100,9.36,0,0,2018-11-06,2018-11-12,1,,
20181030,4007,Gila,County,AZ,0,100,100,9.36,0,0,2018-10-30,2018-11-05,1,,
20181225,4009,Graham,County,AZ,0,100,100,41.93,0,0,2018-12-25,2018-12-31,1,,
20181218,4009,Graham,County,AZ,0,100,100,42.26,0,0,2018-12-18,2018-12-24,1,,
20181211,4009,Graham,County,AZ,0,100,100,42.26,0,0,2018-12-11,2018-12-17,1,,
20181204,4009,Graham,County,AZ,0,100,100,42.26,0,0,2018-12-04,2018-12-10,1,,
20181127,4009,Graham,County,AZ,0,100,100,42.26,0,0,2018-11-27,2018-12-03,1,,
20181120,4009,Graham,County,AZ,0,100,100,42.26,0,0,2018-11-20,2018-11-26,1,,
20181113,4009,Graham,County,AZ,0,100,100,42.26,0,0,2018-11-13,2018-11-19,1,,
20181106,4009,Graham,County,AZ,0,100,100,42.26,0,0,2018-11-06,2018-11-12,1,,
20181030,4009,Graham,County,AZ,0,100,100,42.26,0,0,2018-10-30,2018-11-05,1,,
20181225,4011,Greenlee,County,AZ,0,100,100,85.42,0,0,2018-12-25,2018-12-31,1,,
20181218,4011,Greenlee,County,AZ,0,100,100,85.45,0,0,2018-12-18,2018-12-24,1,,
20181211,4011,Greenlee,County,AZ,0,100,100,85.45,0,0,2018-12-11,2018-12-17,1,,
20181204,4011,Greenlee,County,AZ,0,100,100,85.45,0,0,2018-12-04,2018-12-10,1,,
20181127,4011,Greenlee,County,AZ,0,100,100,85.45,0,0,2018-11-27,2018-12-03,1,,
20181120,4011,Greenlee,County,AZ,0,100,100,85.45,0,0,2018-11-20,2018-11-26,1,,
20181113,4011,Greenlee,County,AZ,0,100,100,85.45,0,0,2018-11-13,2018-11-19,1,,
20181106,4011,Greenlee,County,AZ,0,100,100,85.45,0,0,2018-11-06,2018-11-12,1,,
20181030,4011,Greenlee,County,AZ,0,100,100,85.45,0,0,2018-10-30,2018-11-05,1,,
20181225,4012,La,Paz,County,AZ,0,100,90.68,30.54,0,0,2018-12-25,2018-12-31,1,
20181218,4012,La,Paz,County,AZ,0,100,90.68,30.54,0,0,2018-12-18,2018-12-24,1,
20181211,4012,La,Paz,County,AZ,0,100,90.68,30.54,0,0,2018-12-11,2018-12-17,1,
20181204,4012,La,Paz,County,AZ,0,100,100,60.48,0,0,2018-12-04,2018-12-10,1,
20181127,4012,La,Paz,County,AZ,0,100,100,60.48,0,0,2018-11-27,2018-12-03,1,
20181120,4012,La,Paz,County,AZ,0,100,100,78.2,0,0,2018-11-20,2018-11-26,1,
20181113,4012,La,Paz,County,AZ,0,100,100,78.2,0,0,2018-11-13,2018-11-19,1,
20181106,4012,La,Paz,County,AZ,0,100,100,78.2,0,0,2018-11-06,2018-11-12,1,
