ReleaseDate,FIPS,County,State,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20190430,4001,Apache County,AZ,24.25,75.75,43.51,0,0,0,2019-04-30,2019-05-06,1
20190423,4001,Apache County,AZ,24.25,75.75,43.51,0,0,0,2019-04-23,2019-04-29,1
20190416,4001,Apache County,AZ,22.83,77.17,43.51,0,0,0,2019-04-16,2019-04-22,1
20190409,4001,Apache County,AZ,22.83,77.17,43.51,0,0,0,2019-04-09,2019-04-15,1
20190402,4001,Apache County,AZ,22.83,77.17,43.51,0,0,0,2019-04-02,2019-04-08,1
20190326,4001,Apache County,AZ,22.83,77.17,43.51,0,0,0,2019-03-26,2019-04-01,1
20190319,4001,Apache County,AZ,22.83,77.17,49.89,2.1,0,0,2019-03-19,2019-03-25,1
20190312,4001,Apache County,AZ,3.99,96.01,75.16,47.43,0,0,2019-03-12,2019-03-18,1
20190305,4001,Apache County,AZ,0,100,90.96,49.9,0,0,2019-03-05,2019-03-11,1
20190226,4001,Apache County,AZ,0,100,90.93,49.9,0,0,2019-02-26,2019-03-04,1
20190219,4001,Apache County,AZ,0,100,100,88.01,33.97,0,2019-02-19,2019-02-25,1
20190212,4001,Apache County,AZ,0,100,100,88.01,33.97,0,2019-02-12,2019-02-18,1
20190205,4001,Apache County,AZ,0,100,100,88.01,33.97,0,2019-02-05,2019-02-11,1
20190129,4001,Apache County,AZ,0,100,100,87.3,33.56,0,2019-01-29,2019-02-04,1
20190122,4001,Apache County,AZ,0,100,100,87.3,33.56,0,2019-01-22,2019-01-28,1
20190115,4001,Apache County,AZ,0,100,100,90.24,59.85,33.53,2019-01-15,2019-01-21,1
20190108,4001,Apache County,AZ,0,100,100,90.24,59.85,33.53,2019-01-08,2019-01-14,1
20190101,4001,Apache County,AZ,0,100,100,100,59.85,33.53,2019-01-01,2019-01-07,1
20190430,4003,Cochise County,AZ,100,0,0,0,0,0,2019-04-30,2019-05-06,1
20190423,4003,Cochise County,AZ,100,0,0,0,0,0,2019-04-23,2019-04-29,1
20190416,4003,Cochise County,AZ,100,0,0,0,0,0,2019-04-16,2019-04-22,1
20190409,4003,Cochise County,AZ,100,0,0,0,0,0,2019-04-09,2019-04-15,1
20190402,4003,Cochise County,AZ,100,0,0,0,0,0,2019-04-02,2019-04-08,1
