# ---------------------------------- Disclaimer -----------------------------------------
# The reservoir data contained in this file are best estimates generated by the Texas    
# Water Development Board(TWDB) using data collected by various data providers as well   
# as by TWDB. For a detailed explaination of the methodology used please visit:          
#                                                                                        
#     http://waterdatafortexas.org/reservoirs/methodology                                
#                                                                                        
# TWDB makes no warranties(including no warranties as to merchantability or fitness)     
# either expressed or implied with respect to the data or its fitness for any specific   
# application.                                                                           
# ---------------------------------------------------------------------------------------
# 
# Definitions:
#     reservoir_storage = actual storage at measured lake elevation
#     dead_pool_capacity = storage at dead pool elevation
#     conservation_capacity = storage at conservation pool elevation - dead pool capacity
#     conservation_storage = reservoir storage - dead pool capacity (note: conservation storage is capped at conservation capacity)
#     percent_full = 100 * conservation storage/conservation capacity
# 
#     for more detailed explanations see http://waterdatafortexas.org/reservoirs/glossary
# 
# Estimated daily average data for Fort Phantom Hill Reservoir
#     generated: 2019-05-01T23:07:10.050307 UTC
#     url: https://www.waterdatafortexas.org/reservoirs/individual/fort-phantom-hill-1year.csv
# 
# Footnote:
#     
# 
#             The elevation-storage rating curve used to produce the storage
#             hydrograph is made of two segments: (1) the segment up to the
#             conservation pool top (below the red line) is based on measured data,
#              and (2) the segment in the flood pool (above the red line) is an
#             extrapolation from the first segment and shouldn't be relied upon for
#             flood storage information.
#         
# 
# Data from 2018-05-01 00:00:00 to 2019-05-01 22:30:00 is marked as provisional by the USGS.
# 
# Elevation-Area-Capacity rating curve(s) used:
#     https://127.0.0.1/reservoirs/individual/fort-phantom-hill/rating-curve/TWDB/1993-11-01
# 
# Conservation pool elevation(s) used: 1635.9 feet above NGVD29
# 
# Dead pool elevation(s) used: 1582.4 feet above NGVD29
# 
# Units:
#     date: YYYY-MM-DD
#     water_level: feet above NGVD29
#     surface_area: acres
#     storages: acre-feet
# 
# 
date,water_level,surface_area,reservoir_storage,conservation_storage,percent_full,conservation_capacity,dead_pool_capacity
2018-05-01,1633.06,3493.40,59521,59515,85.0,70030,6
2018-05-02,1633.06,3493.40,59521,59515,85.0,70030,6
2018-05-03,1633.12,3501.60,59731,59725,85.3,70030,6
2018-05-04,1633.17,3508.10,59907,59901,85.5,70030,6
2018-05-05,1633.17,3508.10,59907,59901,85.5,70030,6
2018-05-06,1633.16,3506.80,59872,59866,85.5,70030,6
2018-05-07,1633.13,3502.90,59766,59760,85.3,70030,6
2018-05-08,1633.11,3500.30,59696,59690,85.2,70030,6
2018-05-09,1633.07,3494.80,59556,59550,85.0,70030,6
2018-05-10,1633.04,3490.60,59452,59446,84.9,70030,6
2018-05-11,1633.00,3485.00,59312,59306,84.7,70030,6
2018-05-12,1632.96,3469.80,59174,59168,84.5,70030,6
2018-05-13,1632.93,3458.40,59070,59064,84.3,70030,6
2018-05-14,1632.90,3447.00,58967,58961,84.2,70030,6
2018-05-15,1632.88,3443.80,58898,58892,84.1,70030,6
2018-05-16,1632.86,3440.60,58829,58823,84.0,70030,6
2018-05-17,1632.84,3437.40,58761,58755,83.9,70030,6
2018-05-18,1632.82,3434.20,58692,58686,83.8,70030,6
2018-05-19,1632.79,3429.40,58589,58583,83.7,70030,6
2018-05-20,1632.77,3426.20,58520,58514,83.6,70030,6
2018-05-21,1632.78,3427.80,58554,58548,83.6,70030,6
2018-05-22,1632.76,3424.60,58486,58480,83.5,70030,6
2018-05-23,1632.73,3419.80,58383,58377,83.4,70030,6
2018-05-24,1632.71,3416.60,58314,58308,83.3,70030,6
2018-05-25,1632.78,3427.80,58554,58548,83.6,70030,6
2018-05-26,1632.77,3426.20,58520,58514,83.6,70030,6
2018-05-27,1632.75,3423.00,58452,58446,83.5,70030,6
2018-05-28,1632.71,3416.60,58314,58308,83.3,70030,6
2018-05-29,1632.68,3411.80,58212,58206,83.1,70030,6
2018-05-30,1632.65,3407.00,58110,58104,83.0,70030,6
2018-05-31,1632.61,3400.60,57974,57968,82.8,70030,6
2018-06-01,1632.57,3394.50,57838,57832,82.6,70030,6
2018-06-02,1632.52,3387.00,57669,57663,82.3,70030,6
2018-06-03,1632.47,3379.50,57500,57494,82.1,70030,6
2018-06-04,1632.45,3376.50,57432,57426,82.0,70030,6
2018-06-05,1632.44,3375.00,57398,57392,82.0,70030,6
2018-06-06,1632.42,3372.00,57331,57325,81.9,70030,6
2018-06-07,1632.40,3369.00,57263,57257,81.8,70030,6
2018-06-08,1632.87,3442.20,58864,58858,84.0,70030,6
2018-06-09,1633.20,3512.00,60012,60006,85.7,70030,6
2018-06-10,1633.21,3513.40,60047,60041,85.7,70030,6
2018-06-11,1633.19,3510.70,59977,59971,85.6,70030,6
2018-06-12,1633.16,3506.80,59872,59866,85.5,70030,6
2018-06-13,1633.13,3502.90,59766,59760,85.3,70030,6
2018-06-14,1633.10,3499.00,59661,59655,85.2,70030,6
2018-06-15,1633.06,3493.40,59521,59515,85.0,70030,6
2018-06-16,1633.03,3489.20,59417,59411,84.8,70030,6
2018-06-17,1632.98,3477.40,59243,59237,84.6,70030,6
2018-06-18,1632.94,3462.20,59105,59099,84.4,70030,6
2018-06-19,1632.92,3454.60,59036,59030,84.3,70030,6
2018-06-20,1632.89,3445.40,58933,58927,84.1,70030,6
2018-06-21,1632.87,3442.20,58864,58858,84.0,70030,6
2018-06-22,1632.84,3437.40,58761,58755,83.9,70030,6
2018-06-23,1632.80,3431.00,58623,58617,83.7,70030,6
2018-06-24,1632.78,3427.80,58554,58548,83.6,70030,6
2018-06-25,1632.73,3419.80,58383,58377,83.4,70030,6
2018-06-26,1632.70,3415.00,58280,58274,83.2,70030,6
2018-06-27,1632.66,3408.60,58144,58138,83.0,70030,6
2018-06-28,1632.63,3403.80,58042,58036,82.9,70030,6
2018-06-29,1632.59,3397.50,57906,57900,82.7,70030,6
2018-06-30,1632.54,3390.00,57737,57731,82.4,70030,6
2018-07-01,1632.53,3388.50,57703,57697,82.4,70030,6
2018-07-02,1632.51,3385.50,57635,57629,82.3,70030,6
2018-07-03,1632.48,3381.00,57533,57527,82.1,70030,6
2018-07-04,1632.44,3375.00,57398,57392,82.0,70030,6
2018-07-05,1632.40,3369.00,57263,57257,81.8,70030,6
2018-07-06,1632.37,3364.50,57162,57156,81.6,70030,6
2018-07-07,1632.35,3361.50,57095,57089,81.5,70030,6
2018-07-08,1632.38,3366.00,57196,57190,81.7,70030,6
2018-07-09,1632.41,3370.50,57297,57291,81.8,70030,6
2018-07-10,1632.39,3367.50,57229,57223,81.7,70030,6
2018-07-11,1632.37,3364.50,57162,57156,81.6,70030,6
2018-07-12,1632.34,3360.00,57061,57055,81.5,70030,6
2018-07-13,1632.32,3357.00,56994,56988,81.4,70030,6
2018-07-14,1632.28,3351.00,56860,56854,81.2,70030,6
2018-07-15,1632.25,3346.50,56760,56754,81.0,70030,6
