reservoir,storage,capacity,pct_capacity,date
"Reservoir A",793,3000,26.4,01/2000,id
"Reservoir A",807,3000,26.9,02/2000,id
"Reservoir A",1505,3000,50.2,03/2000,id
"Reservoir A",1814,3000,60.5,04/2000,id
"Reservoir A",1919,3000,64,05/2000,id
"Reservoir A",1919,3000,64,06/2000,id
"Reservoir A",1660,3000,55.3,07/2000,id
"Reservoir A",1339,3000,44.6,08/2000,id
"Reservoir A",1486,3000,49.5,09/2000,id
"Reservoir A",1395,3000,46.5,10/2000,id
"Reservoir A",1244,3000,41.5,11/2000,id
"Reservoir A",1134,3000,37.8,12/2000,id
"Reservoir A",1039,3000,34.6,01/2001,id
"Reservoir A",962,3000,32.1,02/2001,id
"Reservoir A",1357,3000,45.2,03/2001,id
"Reservoir A",1870,3000,62.3,04/2001,id
"Reservoir A",1884,3000,62.8,05/2001,id
"Reservoir A",1837,3000,61.2,06/2001,id
"Reservoir A",1725,3000,57.5,07/2001,id
"Reservoir A",1678,3000,55.9,08/2001,id
"Reservoir A",1388,3000,46.3,09/2001,id
"Reservoir A",1019,3000,34,10/2001,id
"Reservoir A",1043,3000,34.8,11/2001,id
"Reservoir A",987,3000,32.9,12/2001,id
"Reservoir A",901,3000,30,01/2002,id
"Reservoir A",843,3000,28.1,02/2002,id
"Reservoir A",840,3000,28,03/2002,id
"Reservoir A",1224,3000,40.8,04/2002,id
"Reservoir A",1878,3000,62.6,05/2002,id
"Reservoir A",1915,3000,63.8,06/2002,id
"Reservoir A",1692,3000,56.4,07/2002,id
"Reservoir A",1643,3000,54.8,08/2002,id
"Reservoir A",1677,3000,55.9,09/2002,id
"Reservoir A",1609,3000,53.6,10/2002,id
"Reservoir A",1446,3000,48.2,11/2002,id
"Reservoir A",1338,3000,44.6,12/2002,id
"Reservoir A",1250,3000,41.7,01/2003,id
"Reservoir A",1303,3000,43.4,02/2003,id
"Reservoir A",1771,3000,59,03/2003,id
"Reservoir A",1848,3000,61.6,04/2003,id
"Reservoir A",1900,3000,63.3,05/2003,id
"Reservoir A",1674,3000,55.8,06/2003,id
"Reservoir A",1103,3000,36.8,07/2003,id
"Reservoir A",948,3000,31.6,08/2003,id
"Reservoir A",1169,3000,39,09/2003,id
"Reservoir A",1101,3000,36.7,10/2003,id
"Reservoir A",974,3000,32.5,11/2003,id
"Reservoir A",898,3000,29.9,12/2003,id
"Reservoir A",843,3000,28.1,01/2004,id
"Reservoir A",844,3000,28.1,02/2004,id
"Reservoir A",1088,3000,36.3,03/2004,id
"Reservoir A",1749,3000,58.3,04/2004,id
"Reservoir A",1895,3000,63.2,05/2004,id
"Reservoir A",1904,3000,63.5,06/2004,id
"Reservoir A",1713,3000,57.1,07/2004,id
"Reservoir A",1659,3000,55.3,08/2004,id
"Reservoir A",1490,3000,49.7,09/2004,id
"Reservoir A",1548,3000,51.6,10/2004,id
"Reservoir A",1534,3000,51.1,11/2004,id
"Reservoir A",1428,3000,47.6,12/2004,id
"Reservoir A",1330,3000,44.3,01/2005,id
"Reservoir A",1235,3000,41.2,02/2005,id
"Reservoir A",1231,3000,41,03/2005,id
"Reservoir A",1777,3000,59.2,04/2005,id
"Reservoir A",1929,3000,64.3,05/2005,id
"Reservoir A",1887,3000,62.9,06/2005,id
"Reservoir A",1635,3000,54.5,07/2005,id
"Reservoir A",1507,3000,50.2,08/2005,id
"Reservoir A",1434,3000,47.8,09/2005,id
"Reservoir A",1324,3000,44.1,10/2005,id
"Reservoir A",1332,3000,44.4,11/2005,id
"Reservoir A",1227,3000,40.9,12/2005,id
"Reservoir A",1153,3000,38.4,01/2006,id
"Reservoir A",1073,3000,35.8,02/2006,id
"Reservoir A",1116,3000,37.2,03/2006,id
"Reservoir A",1815,3000,60.5,04/2006,id
"Reservoir A",1793,3000,59.8,05/2006,id
"Reservoir A",1814,3000,60.5,06/2006,id
"Reservoir A",1715,3000,57.2,07/2006,id
"Reservoir A",1514,3000,50.5,08/2006,id
"Reservoir A",1204,3000,40.1,09/2006,id
"Reservoir A",967,3000,32.2,10/2006,id
"Reservoir A",855,3000,28.5,11/2006,id
"Reservoir A",840,3000,28,12/2006,id
"Reservoir A",840,3000,28,01/2007,id
"Reservoir A",840,3000,28,02/2007,id
"Reservoir A",1000,3000,33.3,03/2007,id
"Reservoir A",1674,3000,55.8,04/2007,id
"Reservoir A",1795,3000,59.8,05/2007,id
"Reservoir A",1546,3000,51.5,06/2007,id
"Reservoir A",1450,3000,48.3,07/2007,id
"Reservoir A",1356,3000,45.2,08/2007,id
"Reservoir A",1098,3000,36.6,09/2007,id
"Reservoir A",853,3000,28.4,10/2007,id
"Reservoir A",811,3000,27,11/2007,id
"Reservoir A",773,3000,25.8,12/2007,id
"Reservoir A",734,3000,24.5,01/2008,id
"Reservoir A",697,3000,23.2,02/2008,id
"Reservoir A",660,3000,22,03/2008,id
"Reservoir A",775,3000,25.8,04/2008,id
"Reservoir A",1380,3000,46,05/2008,id
"Reservoir A",1910,3000,63.7,06/2008,id
"Reservoir A",1690,3000,56.3,07/2008,id
"Reservoir A",1347,3000,44.9,08/2008,id
"Reservoir A",1457,3000,48.6,09/2008,id
"Reservoir A",1223,3000,40.8,10/2008,id
"Reservoir A",1055,3000,35.2,11/2008,id
"Reservoir A",981,3000,32.7,12/2008,id
"Reservoir A",934,3000,31.1,01/2009,id
"Reservoir A",865,3000,28.8,02/2009,id
"Reservoir A",873,3000,29.1,03/2009,id
"Reservoir A",1489,3000,49.6,04/2009,id
"Reservoir A",1928,3000,64.3,05/2009,id
"Reservoir A",1740,3000,58,06/2009,id
"Reservoir A",1468,3000,48.9,07/2009,id
"Reservoir A",1331,3000,44.4,08/2009,id
"Reservoir A",1361,3000,45.4,09/2009,id
"Reservoir A",1218,3000,40.6,10/2009,id
"Reservoir A",1090,3000,36.3,11/2009,id
"Reservoir A",1007,3000,33.6,12/2009,id
"Reservoir A",813,3000,27.1,01/2010,id
"Reservoir A",876,3000,29.2,02/2010,id
"Reservoir A",799,3000,26.6,03/2010,id
"Reservoir A",1026,3000,34.2,04/2010,id
"Reservoir A",1845,3000,61.5,05/2010,id
"Reservoir A",2396,3000,79.9,06/2010,id
"Reservoir A",2066,3000,68.9,07/2010,id
"Reservoir A",1204,3000,40.1,08/2010,id
"Reservoir A",1278,3000,42.6,09/2010,id
"Reservoir A",1119,3000,37.3,10/2010,id
"Reservoir A",999,3000,33.3,11/2010,id
"Reservoir A",927,3000,30.9,12/2010,id
"Reservoir A",865,3000,28.8,01/2011,id
"Reservoir A",810,3000,27,02/2011,id
"Reservoir A",1042,3000,34.7,03/2011,id
"Reservoir A",1567,3000,52.2,04/2011,id
"Reservoir A",2192,3000,73.1,05/2011,id
"Reservoir A",2377,3000,79.2,06/2011,id
"Reservoir A",1939,3000,64.6,07/2011,id
"Reservoir A",1665,3000,55.5,08/2011,id
"Reservoir A",1446,3000,48.2,09/2011,id
"Reservoir A",1297,3000,43.2,10/2011,id
"Reservoir A",1184,3000,39.5,11/2011,id
"Reservoir A",1106,3000,36.9,12/2011,id
"Reservoir A",1010,3000,33.7,01/2012,id
"Reservoir A",988,3000,32.9,02/2012,id
"Reservoir A",981,3000,32.7,03/2012,id
"Reservoir A",1558,3000,51.9,04/2012,id
"Reservoir A",2244,3000,74.8,05/2012,id
"Reservoir A",2405,3000,80.2,06/2012,id
"Reservoir A",2034,3000,67.8,07/2012,id
"Reservoir A",1594,3000,53.1,08/2012,id
"Reservoir A",1168,3000,38.9,09/2012,id
"Reservoir A",958,3000,31.9,10/2012,id
"Reservoir A",915,3000,30.5,11/2012,id
"Reservoir A",862,3000,28.7,12/2012,id
