reservoir,storage,capacity,pct_capacity,date
"Little Wood",16542,30000,55.1,01/2000,id
"Little Wood",19972,30000,66.6,02/2000,id
"Little Wood",23948,30000,79.8,03/2000,id
"Little Wood",27030,30000,90.1,04/2000,id
"Little Wood",29579,30000,98.6,05/2000,id
"Little Wood",27016,30000,90.1,06/2000,id
"Little Wood",16914,30000,56.4,07/2000,id
"Little Wood",8590,30000,28.6,08/2000,id
"Little Wood",3866,30000,12.9,09/2000,id
"Little Wood",3426,30000,11.4,10/2000,id
"Little Wood",6784,30000,22.6,11/2000,id
"Little Wood",9907,30000,33,12/2000,id
"Little Wood",12707,30000,42.4,01/2001,id
"Little Wood",15467,30000,51.6,02/2001,id
"Little Wood",19127,30000,63.8,03/2001,id
"Little Wood",26226,30000,87.4,04/2001,id
"Little Wood",27105,30000,90.4,05/2001,id
"Little Wood",19812,30000,66,06/2001,id
"Little Wood",10065,30000,33.6,07/2001,id
"Little Wood",2241,30000,7.5,08/2001,id
"Little Wood",686,30000,2.3,09/2001,id
"Little Wood",1291,30000,4.3,10/2001,id
"Little Wood",2913,30000,9.7,11/2001,id
"Little Wood",5203,30000,17.3,12/2001,id
"Little Wood",7881,30000,26.3,01/2002,id
"Little Wood",10195,30000,34,02/2002,id
"Little Wood",12785,30000,42.6,03/2002,id
"Little Wood",22059,30000,73.5,04/2002,id
"Little Wood",27570,30000,91.9,05/2002,id
"Little Wood",25831,30000,86.1,06/2002,id
"Little Wood",17205,30000,57.4,07/2002,id
"Little Wood",7081,30000,23.6,08/2002,id
"Little Wood",1918,30000,6.4,09/2002,id
"Little Wood",1468,30000,4.9,10/2002,id
"Little Wood",3462,30000,11.5,11/2002,id
"Little Wood",6030,30000,20.1,12/2002,id
"Little Wood",8635,30000,28.8,01/2003,id
"Little Wood",11277,30000,37.6,02/2003,id
"Little Wood",14959,30000,49.9,03/2003,id
"Little Wood",22490,30000,75,04/2003,id
"Little Wood",25930,30000,86.4,05/2003,id
"Little Wood",28798,30000,96,06/2003,id
"Little Wood",19872,30000,66.2,07/2003,id
"Little Wood",9858,30000,32.9,08/2003,id
"Little Wood",4685,30000,15.6,09/2003,id
"Little Wood",3045,30000,10.2,10/2003,id
"Little Wood",5224,30000,17.4,11/2003,id
"Little Wood",7861,30000,26.2,12/2003,id
"Little Wood",10443,30000,34.8,01/2004,id
"Little Wood",12951,30000,43.2,02/2004,id
"Little Wood",17403,30000,58,03/2004,id
"Little Wood",28118,30000,93.7,04/2004,id
"Little Wood",27688,30000,92.3,05/2004,id
"Little Wood",25488,30000,85,06/2004,id
"Little Wood",17402,30000,58,07/2004,id
"Little Wood",9789,30000,32.6,08/2004,id
"Little Wood",4473,30000,14.9,09/2004,id
"Little Wood",3290,30000,11,10/2004,id
"Little Wood",6292,30000,21,11/2004,id
"Little Wood",8905,30000,29.7,12/2004,id
"Little Wood",11598,30000,38.7,01/2005,id
"Little Wood",14256,30000,47.5,02/2005,id
"Little Wood",17765,30000,59.2,03/2005,id
"Little Wood",26182,30000,87.3,04/2005,id
"Little Wood",29952,30000,99.8,05/2005,id
"Little Wood",29197,30000,97.3,06/2005,id
"Little Wood",24311,30000,81,07/2005,id
"Little Wood",15081,30000,50.3,08/2005,id
"Little Wood",8557,30000,28.5,09/2005,id
"Little Wood",7172,30000,23.9,10/2005,id
"Little Wood",10298,30000,34.3,11/2005,id
"Little Wood",13408,30000,44.7,12/2005,id
"Little Wood",17517,30000,58.4,01/2006,id
"Little Wood",12955,30000,43.2,02/2006,id
"Little Wood",6835,30000,22.8,03/2006,id
"Little Wood",12992,30000,43.3,04/2006,id
"Little Wood",22068,30000,73.6,05/2006,id
"Little Wood",29500,30000,98.3,06/2006,id
"Little Wood",24706,30000,82.4,07/2006,id
"Little Wood",16617,30000,55.4,08/2006,id
"Little Wood",10871,30000,36.2,09/2006,id
"Little Wood",11763,30000,39.2,10/2006,id
"Little Wood",15893,30000,53,11/2006,id
"Little Wood",19551,30000,65.2,12/2006,id
"Little Wood",23000,30000,76.7,01/2007,id
"Little Wood",26130,30000,87.1,02/2007,id
"Little Wood",27703,30000,92.3,03/2007,id
"Little Wood",29650,30000,98.8,04/2007,id
"Little Wood",24470,30000,81.6,05/2007,id
"Little Wood",16473,30000,54.9,06/2007,id
"Little Wood",7580,30000,25.3,07/2007,id
"Little Wood",1420,30000,4.7,08/2007,id
"Little Wood",794,30000,2.6,09/2007,id
"Little Wood",2615,30000,8.7,10/2007,id
"Little Wood",5678,30000,18.9,11/2007,id
"Little Wood",8234,30000,27.4,12/2007,id
"Little Wood",10685,30000,35.6,01/2008,id
"Little Wood",12500,30000,41.7,02/2008,id
"Little Wood",10337,30000,34.5,03/2008,id
"Little Wood",12463,30000,41.5,04/2008,id
"Little Wood",18893,30000,63,05/2008,id
"Little Wood",21819,30000,72.7,06/2008,id
"Little Wood",14759,30000,49.2,07/2008,id
"Little Wood",5280,30000,17.6,08/2008,id
"Little Wood",594,30000,2,09/2008,id
"Little Wood",1246,30000,4.2,10/2008,id
"Little Wood",4052,30000,13.5,11/2008,id
"Little Wood",6820,30000,22.7,12/2008,id
"Little Wood",9478,30000,31.6,01/2009,id
"Little Wood",12106,30000,40.4,02/2009,id
"Little Wood",15395,30000,51.3,03/2009,id
"Little Wood",24051,30000,80.2,04/2009,id
"Little Wood",28874,30000,96.2,05/2009,id
"Little Wood",30026,30000,100.1,06/2009,id
"Little Wood",26954,30000,89.8,07/2009,id
"Little Wood",18698,30000,62.3,08/2009,id
"Little Wood",11114,30000,37,09/2009,id
"Little Wood",10911,30000,36.4,10/2009,id
"Little Wood",14552,30000,48.5,11/2009,id
"Little Wood",17346,30000,57.8,12/2009,id
"Little Wood",20251,30000,67.5,01/2010,id
"Little Wood",22986,30000,76.6,02/2010,id
"Little Wood",25933,30000,86.4,03/2010,id
"Little Wood",28932,30000,96.4,04/2010,id
"Little Wood",28861,30000,96.2,05/2010,id
"Little Wood",29489,30000,98.3,06/2010,id
"Little Wood",25862,30000,86.2,07/2010,id
"Little Wood",16045,30000,53.5,08/2010,id
"Little Wood",9363,30000,31.2,09/2010,id
"Little Wood",8286,30000,27.6,10/2010,id
"Little Wood",11473,30000,38.2,11/2010,id
"Little Wood",14717,30000,49.1,12/2010,id
"Little Wood",17916,30000,59.7,01/2011,id
"Little Wood",20747,30000,69.2,02/2011,id
"Little Wood",23643,30000,78.8,03/2011,id
"Little Wood",20045,30000,66.8,04/2011,id
"Little Wood",23007,30000,76.7,05/2011,id
"Little Wood",28756,30000,95.9,06/2011,id
"Little Wood",28940,30000,96.5,07/2011,id
"Little Wood",22117,30000,73.7,08/2011,id
"Little Wood",14451,30000,48.2,09/2011,id
"Little Wood",14514,30000,48.4,10/2011,id
"Little Wood",18779,30000,62.6,11/2011,id
"Little Wood",21966,30000,73.2,12/2011,id
"Little Wood",25018,30000,83.4,01/2012,id
"Little Wood",26666,30000,88.9,02/2012,id
"Little Wood",27088,30000,90.3,03/2012,id
"Little Wood",26628,30000,88.8,04/2012,id
"Little Wood",28874,30000,96.2,05/2012,id
"Little Wood",28391,30000,94.6,06/2012,id
"Little Wood",19776,30000,65.9,07/2012,id
"Little Wood",10699,30000,35.7,08/2012,id
"Little Wood",4894,30000,16.3,09/2012,id
"Little Wood",4520,30000,15.1,10/2012,id
"Little Wood",7339,30000,24.5,11/2012,id
"Little Wood",11403,30000,38,12/2012,id
"Little Wood",14536,30000,48.5,01/2013,id
"Little Wood",17465,30000,58.2,02/2013,id
"Little Wood",21580,30000,71.9,03/2013,id
"Little Wood",28381,30000,94.6,04/2013,id
"Little Wood",25913,30000,86.4,05/2013,id
"Little Wood",21330,30000,71.1,06/2013,id
"Little Wood",12425,30000,41.4,07/2013,id
