reservoir,storage,capacity,pct_capacity,date
"Thief Valley",13583,17600,77.2,01/2000,or
"Thief Valley",13738,17600,78.1,02/2000,or
"Thief Valley",13782,17600,78.3,03/2000,or
"Thief Valley",13879,17600,78.9,04/2000,or
"Thief Valley",13644,17600,77.5,05/2000,or
"Thief Valley",13428,17600,76.3,06/2000,or
"Thief Valley",10090,17600,57.3,07/2000,or
"Thief Valley",4341,17600,24.7,08/2000,or
"Thief Valley",1371,17600,7.8,09/2000,or
"Thief Valley",2581,17600,14.7,10/2000,or
"Thief Valley",5919,17600,33.6,11/2000,or
"Thief Valley",9042,17600,51.4,12/2000,or
"Thief Valley",11631,17600,66.1,01/2001,or
"Thief Valley",13360,17600,75.9,02/2001,or
"Thief Valley",13548,17600,77,03/2001,or
"Thief Valley",13426,17600,76.3,04/2001,or
"Thief Valley",11735,17600,66.7,05/2001,or
"Thief Valley",8429,17600,47.9,06/2001,or
"Thief Valley",3498,17600,19.9,07/2001,or
"Thief Valley",399,17600,2.3,08/2001,or
"Thief Valley",304,17600,1.7,09/2001,or
"Thief Valley",380,17600,2.2,10/2001,or
"Thief Valley",1472,17600,8.4,11/2001,or
"Thief Valley",3866,17600,22,12/2001,or
"Thief Valley",7933,17600,45.1,01/2002,or
"Thief Valley",11944,17600,67.9,02/2002,or
"Thief Valley",13653,17600,77.6,03/2002,or
"Thief Valley",13634,17600,77.5,04/2002,or
"Thief Valley",12800,17600,72.7,05/2002,or
"Thief Valley",13260,17600,75.3,06/2002,or
"Thief Valley",9589,17600,54.5,07/2002,or
"Thief Valley",3467,17600,19.7,08/2002,or
"Thief Valley",35,17600,0.2,09/2002,or
"Thief Valley",198,17600,1.1,10/2002,or
"Thief Valley",1504,17600,8.5,11/2002,or
"Thief Valley",4255,17600,24.2,12/2002,or
"Thief Valley",8765,17600,49.8,01/2003,or
"Thief Valley",13320,17600,75.7,02/2003,or
"Thief Valley",13494,17600,76.7,03/2003,or
"Thief Valley",13440,17600,76.4,04/2003,or
"Thief Valley",13397,17600,76.1,05/2003,or
"Thief Valley",12868,17600,73.1,06/2003,or
"Thief Valley",8823,17600,50.1,07/2003,or
"Thief Valley",2861,17600,16.3,08/2003,or
"Thief Valley",40,17600,0.2,09/2003,or
"Thief Valley",12,17600,0.1,10/2003,or
"Thief Valley",803,17600,4.6,11/2003,or
"Thief Valley",3510,17600,19.9,12/2003,or
"Thief Valley",6684,17600,38,01/2004,or
"Thief Valley",11123,17600,63.2,02/2004,or
"Thief Valley",13578,17600,77.1,03/2004,or
"Thief Valley",13414,17600,76.2,04/2004,or
"Thief Valley",13499,17600,76.7,05/2004,or
"Thief Valley",13332,17600,75.8,06/2004,or
"Thief Valley",10622,17600,60.4,07/2004,or
"Thief Valley",5281,17600,30,08/2004,or
"Thief Valley",1898,17600,10.8,09/2004,or
"Thief Valley",2282,17600,13,10/2004,or
"Thief Valley",5710,17600,32.4,11/2004,or
"Thief Valley",10802,17600,61.4,12/2004,or
"Thief Valley",13457,17600,76.5,01/2005,or
"Thief Valley",13472,17600,76.5,02/2005,or
"Thief Valley",13302,17600,75.6,03/2005,or
"Thief Valley",13130,17600,74.6,04/2005,or
"Thief Valley",13477,17600,76.6,05/2005,or
"Thief Valley",13208,17600,75,06/2005,or
"Thief Valley",9434,17600,53.6,07/2005,or
"Thief Valley",3405,17600,19.3,08/2005,or
"Thief Valley",34,17600,0.2,09/2005,or
"Thief Valley",303,17600,1.7,10/2005,or
"Thief Valley",2374,17600,13.5,11/2005,or
"Thief Valley",5492,17600,31.2,12/2005,or
"Thief Valley",12496,17600,71,01/2006,or
"Thief Valley",13533,17600,76.9,02/2006,or
"Thief Valley",13627,17600,77.4,03/2006,or
"Thief Valley",13727,17600,78,04/2006,or
"Thief Valley",13811,17600,78.5,05/2006,or
"Thief Valley",13674,17600,77.7,06/2006,or
"Thief Valley",10673,17600,60.6,07/2006,or
"Thief Valley",5137,17600,29.2,08/2006,or
"Thief Valley",1377,17600,7.8,09/2006,or
"Thief Valley",1836,17600,10.4,10/2006,or
"Thief Valley",4132,17600,23.5,11/2006,or
"Thief Valley",7429,17600,42.2,12/2006,or
"Thief Valley",10743,17600,61,01/2007,or
"Thief Valley",12887,17600,73.2,02/2007,or
"Thief Valley",13514,17600,76.8,03/2007,or
"Thief Valley",13183,17600,74.9,04/2007,or
"Thief Valley",10272,17600,58.4,05/2007,or
"Thief Valley",6798,17600,38.6,06/2007,or
"Thief Valley",1956,17600,11.1,07/2007,or
"Thief Valley",36,17600,0.2,08/2007,or
"Thief Valley",28,17600,0.2,09/2007,or
"Thief Valley",273,17600,1.6,10/2007,or
"Thief Valley",1493,17600,8.5,11/2007,or
"Thief Valley",4803,17600,27.3,12/2007,or
"Thief Valley",8047,17600,45.7,01/2008,or
"Thief Valley",10849,17600,61.6,02/2008,or
"Thief Valley",13650,17600,77.6,03/2008,or
"Thief Valley",13586,17600,77.2,04/2008,or
"Thief Valley",13728,17600,78,05/2008,or
"Thief Valley",13885,17600,78.9,06/2008,or
"Thief Valley",11971,17600,68,07/2008,or
"Thief Valley",6806,17600,38.7,08/2008,or
"Thief Valley",1835,17600,10.4,09/2008,or
"Thief Valley",1745,17600,9.9,10/2008,or
"Thief Valley",5308,17600,30.2,11/2008,or
"Thief Valley",9967,17600,56.6,12/2008,or
"Thief Valley",13386,17600,76.1,01/2009,or
"Thief Valley",13590,17600,77.2,02/2009,or
"Thief Valley",13737,17600,78.1,03/2009,or
"Thief Valley",13672,17600,77.7,04/2009,or
"Thief Valley",13796,17600,78.4,05/2009,or
"Thief Valley",12509,17600,71.1,06/2009,or
"Thief Valley",11792,17600,67,07/2009,or
"Thief Valley",7615,17600,43.3,08/2009,or
"Thief Valley",4149,17600,23.6,09/2009,or
"Thief Valley",4651,17600,26.4,10/2009,or
"Thief Valley",9267,17600,52.7,11/2009,or
"Thief Valley",12663,17600,71.9,12/2009,or
"Thief Valley",13641,17600,77.5,01/2010,or
"Thief Valley",13693,17600,77.8,02/2010,or
"Thief Valley",13649,17600,77.6,03/2010,or
"Thief Valley",13672,17600,77.7,04/2010,or
"Thief Valley",13798,17600,78.4,05/2010,or
"Thief Valley",14122,17600,80.2,06/2010,or
"Thief Valley",12361,17600,70.2,07/2010,or
"Thief Valley",7436,17600,42.3,08/2010,or
"Thief Valley",4342,17600,24.7,09/2010,or
"Thief Valley",4166,17600,23.7,10/2010,or
"Thief Valley",7856,17600,44.6,11/2010,or
"Thief Valley",12465,17600,70.8,12/2010,or
"Thief Valley",13740,17600,78.1,01/2011,or
"Thief Valley",13775,17600,78.3,02/2011,or
"Thief Valley",13928,17600,79.1,03/2011,or
"Thief Valley",14049,17600,79.8,04/2011,or
"Thief Valley",14257,17600,81,05/2011,or
"Thief Valley",14362,17600,81.6,06/2011,or
"Thief Valley",13816,17600,78.5,07/2011,or
"Thief Valley",10963,17600,62.3,08/2011,or
"Thief Valley",7429,17600,42.2,09/2011,or
"Thief Valley",8770,17600,49.8,10/2011,or
"Thief Valley",12514,17600,71.1,11/2011,or
"Thief Valley",13585,17600,77.2,12/2011,or
"Thief Valley",13629,17600,77.4,01/2012,or
"Thief Valley",13663,17600,77.6,02/2012,or
"Thief Valley",13683,17600,77.7,03/2012,or
"Thief Valley",13768,17600,78.2,04/2012,or
"Thief Valley",13688,17600,77.8,05/2012,or
"Thief Valley",13541,17600,76.9,06/2012,or
"Thief Valley",11070,17600,62.9,07/2012,or
"Thief Valley",5582,17600,31.7,08/2012,or
"Thief Valley",453,17600,2.6,09/2012,or
"Thief Valley",606,17600,3.4,10/2012,or
"Thief Valley",3483,17600,19.8,11/2012,or
"Thief Valley",8440,17600,48,12/2012,or
"Thief Valley",12543,17600,71.3,01/2013,or
"Thief Valley",13672,17600,77.7,02/2013,or
"Thief Valley",13696,17600,77.8,03/2013,or
"Thief Valley",13598,17600,77.3,04/2013,or
"Thief Valley",12462,17600,70.8,05/2013,or
"Thief Valley",10831,17600,61.5,06/2013,or
"Thief Valley",9128,17600,51.9,07/2013,or
"Thief Valley",3099,17600,17.6,08/2013,or
"Thief Valley",15,17600,0.1,09/2013,or
"Thief Valley",794,17600,4.5,10/2013,or
"Thief Valley",3748,17600,21.3,11/2013,or
"Thief Valley",7329,17600,41.6,12/2013,or
"Thief Valley",10711,17600,60.9,01/2014,or
"Thief Valley",13482,17600,76.6,02/2014,or
"Thief Valley",13833,17600,78.6,03/2014,or
"Thief Valley",13643,17600,77.5,04/2014,or
"Thief Valley",13432,17600,76.3,05/2014,or
"Thief Valley",13271,17600,75.4,06/2014,or
"Thief Valley",10527,17600,59.8,07/2014,or
"Thief Valley",4131,17600,23.5,08/2014,or
"Thief Valley",161,17600,0.9,09/2014,or
"Thief Valley",239,17600,1.4,10/2014,or
"Thief Valley",1867,17600,10.6,11/2014,or
"Thief Valley",6474,17600,36.8,12/2014,or
"Thief Valley",12246,17600,69.6,01/2015,or
"Thief Valley",13939,17600,79.2,02/2015,or
"Thief Valley",13828,17600,78.6,03/2015,or
"Thief Valley",13526,17600,76.9,04/2015,or
"Thief Valley",11019,17600,62.6,05/2015,or
"Thief Valley",12101,17600,68.8,06/2015,or
"Thief Valley",7718,17600,43.9,07/2015,or
"Thief Valley",1950,17600,11.1,08/2015,or
"Thief Valley",10,17600,0.1,09/2015,or
"Thief Valley",55,17600,0.3,10/2015,or
"Thief Valley",1206,17600,6.9,11/2015,or
"Thief Valley",4199,17600,23.9,12/2015,or
"Thief Valley",7706,17600,43.8,01/2016,or
"Thief Valley",12468,17600,70.8,02/2016,or
"Thief Valley",14098,17600,80.1,03/2016,or
"Thief Valley",13993,17600,79.5,04/2016,or
"Thief Valley",13816,17600,78.5,05/2016,or
"Thief Valley",11513,17600,65.4,06/2016,or
"Thief Valley",6021,17600,34.2,07/2016,or
"Thief Valley",680,17600,3.9,08/2016,or
"Thief Valley",8,17600,0,09/2016,or
"Thief Valley",34,17600,0.2,10/2016,or
"Thief Valley",1557,17600,8.8,11/2016,or
"Thief Valley",3695,17600,21,12/2016,or
"Thief Valley",6524,17600,37.1,01/2017,or
"Thief Valley",11755,17600,66.8,02/2017,or
