reservoir,storage,capacity,pct_capacity,date
"Crane Prairie",46887,55300,84.8,04/2010,or
"Crane Prairie",45628,55300,82.5,05/2010,or
"Crane Prairie",42723,55300,77.3,06/2010,or
"Crane Prairie",33226,55300,60.1,07/2010,or
"Crane Prairie",30398,55300,55,08/2010,or
"Crane Prairie",33089,55300,59.8,09/2010,or
"Crane Prairie",32996,55300,59.7,10/2010,or
"Crane Prairie",33252,55300,60.1,11/2010,or
"Crane Prairie",34736,55300,62.8,12/2010,or
"Crane Prairie",37236,55300,67.3,01/2011,or
"Crane Prairie",39771,55300,71.9,02/2011,or
"Crane Prairie",44478,55300,80.4,03/2011,or
"Crane Prairie",49727,55300,89.9,04/2011,or
"Crane Prairie",49297,55300,89.1,05/2011,or
"Crane Prairie",46062,55300,83.3,06/2011,or
"Crane Prairie",39447,55300,71.3,07/2011,or
"Crane Prairie",36212,55300,65.5,08/2011,or
"Crane Prairie",35493,55300,64.2,09/2011,or
"Crane Prairie",34598,55300,62.6,10/2011,or
"Crane Prairie",35309,55300,63.8,11/2011,or
"Crane Prairie",36414,55300,65.8,12/2011,or
"Crane Prairie",40742,55300,73.7,01/2012,or
"Crane Prairie",46109,55300,83.4,02/2012,or
"Crane Prairie",49706,55300,89.9,03/2012,or
"Crane Prairie",53427,55300,96.6,04/2012,or
"Crane Prairie",53355,55300,96.5,05/2012,or
"Crane Prairie",47926,55300,86.7,06/2012,or
"Crane Prairie",40380,55300,73,07/2012,or
"Crane Prairie",35879,55300,64.9,08/2012,or
"Crane Prairie",34383,55300,62.2,09/2012,or
"Crane Prairie",34410,55300,62.2,10/2012,or
"Crane Prairie",38182,55300,69,11/2012,or
"Crane Prairie",45830,55300,82.9,12/2012,or
"Crane Prairie",48681,55300,88,01/2013,or
"Crane Prairie",48507,55300,87.7,02/2013,or
"Crane Prairie",48749,55300,88.2,03/2013,or
"Crane Prairie",50662,55300,91.6,04/2013,or
"Crane Prairie",48164,55300,87.1,05/2013,or
"Crane Prairie",38526,55300,69.7,06/2013,or
"Crane Prairie",30221,55300,54.6,07/2013,or
"Crane Prairie",28904,55300,52.3,08/2013,or
"Crane Prairie",31051,55300,56.2,09/2013,or
"Crane Prairie",32796,55300,59.3,10/2013,or
"Crane Prairie",33010,55300,59.7,11/2013,or
"Crane Prairie",34664,55300,62.7,12/2013,or
"Crane Prairie",37113,55300,67.1,01/2014,or
"Crane Prairie",43315,55300,78.3,02/2014,or
"Crane Prairie",51838,55300,93.7,03/2014,or
"Crane Prairie",54784,55300,99.1,04/2014,or
"Crane Prairie",52946,55300,95.7,05/2014,or
"Crane Prairie",46305,55300,83.7,06/2014,or
"Crane Prairie",39212,55300,70.9,07/2014,or
"Crane Prairie",33493,55300,60.6,08/2014,or
"Crane Prairie",29054,55300,52.5,09/2014,or
"Crane Prairie",30420,55300,55,10/2014,or
"Crane Prairie",33723,55300,61,11/2014,or
"Crane Prairie",39346,55300,71.2,12/2014,or
"Crane Prairie",47170,55300,85.3,01/2015,or
"Crane Prairie",49312,55300,89.2,02/2015,or
"Crane Prairie",52020,55300,94.1,03/2015,or
"Crane Prairie",53548,55300,96.8,04/2015,or
"Crane Prairie",47582,55300,86,05/2015,or
"Crane Prairie",39256,55300,71,06/2015,or
"Crane Prairie",31198,55300,56.4,07/2015,or
"Crane Prairie",26670,55300,48.2,08/2015,or
"Crane Prairie",26696,55300,48.3,09/2015,or
"Crane Prairie",26988,55300,48.8,10/2015,or
"Crane Prairie",27751,55300,50.2,11/2015,or
"Crane Prairie",30361,55300,54.9,12/2015,or
"Crane Prairie",33394,55300,60.4,01/2016,or
"Crane Prairie",37324,55300,67.5,02/2016,or
"Crane Prairie",40788,55300,73.8,03/2016,or
"Crane Prairie",42799,55300,77.4,04/2016,or
"Crane Prairie",44857,55300,81.1,05/2016,or
"Crane Prairie",44243,55300,80,06/2016,or
"Crane Prairie",42520,55300,76.9,07/2016,or
