reservoir,storage,capacity,pct_capacity,date
"Jackson Lake",639863,847000,75.5,01/2000,wy
"Jackson Lake",649593,847000,76.7,02/2000,wy
"Jackson Lake",655565,847000,77.4,03/2000,wy
"Jackson Lake",673445,847000,79.5,04/2000,wy
"Jackson Lake",781597,847000,92.3,05/2000,wy
"Jackson Lake",841376,847000,99.3,06/2000,wy
"Jackson Lake",818592,847000,96.6,07/2000,wy
"Jackson Lake",748773,847000,88.4,08/2000,wy
"Jackson Lake",676904,847000,79.9,09/2000,wy
"Jackson Lake",643521,847000,76,10/2000,wy
"Jackson Lake",638424,847000,75.4,11/2000,wy
"Jackson Lake",636287,847000,75.1,12/2000,wy
"Jackson Lake",636349,847000,75.1,01/2001,wy
"Jackson Lake",636571,847000,75.2,02/2001,wy
"Jackson Lake",638644,847000,75.4,03/2001,wy
"Jackson Lake",647884,847000,76.5,04/2001,wy
"Jackson Lake",714707,847000,84.4,05/2001,wy
"Jackson Lake",728057,847000,86,06/2001,wy
"Jackson Lake",608763,847000,71.9,07/2001,wy
"Jackson Lake",396045,847000,46.8,08/2001,wy
"Jackson Lake",193846,847000,22.9,09/2001,wy
"Jackson Lake",117621,847000,13.9,10/2001,wy
"Jackson Lake",123972,847000,14.6,11/2001,wy
"Jackson Lake",132684,847000,15.7,12/2001,wy
"Jackson Lake",141429,847000,16.7,01/2002,wy
"Jackson Lake",150043,847000,17.7,02/2002,wy
"Jackson Lake",159920,847000,18.9,03/2002,wy
"Jackson Lake",186389,847000,22,04/2002,wy
"Jackson Lake",315693,847000,37.3,05/2002,wy
"Jackson Lake",614233,847000,72.5,06/2002,wy
"Jackson Lake",641391,847000,75.7,07/2002,wy
"Jackson Lake",484319,847000,57.2,08/2002,wy
"Jackson Lake",301599,847000,35.6,09/2002,wy
"Jackson Lake",228174,847000,26.9,10/2002,wy
"Jackson Lake",233650,847000,27.6,11/2002,wy
"Jackson Lake",239893,847000,28.3,12/2002,wy
"Jackson Lake",252338,847000,29.8,01/2003,wy
"Jackson Lake",270055,847000,31.9,02/2003,wy
"Jackson Lake",285184,847000,33.7,03/2003,wy
"Jackson Lake",311817,847000,36.8,04/2003,wy
"Jackson Lake",430132,847000,50.8,05/2003,wy
"Jackson Lake",733446,847000,86.6,06/2003,wy
"Jackson Lake",706068,847000,83.4,07/2003,wy
"Jackson Lake",461498,847000,54.5,08/2003,wy
"Jackson Lake",223930,847000,26.4,09/2003,wy
"Jackson Lake",115191,847000,13.6,10/2003,wy
"Jackson Lake",119809,847000,14.1,11/2003,wy
"Jackson Lake",134383,847000,15.9,12/2003,wy
"Jackson Lake",152400,847000,18,01/2004,wy
"Jackson Lake",166441,847000,19.7,02/2004,wy
"Jackson Lake",177658,847000,21,03/2004,wy
"Jackson Lake",219703,847000,25.9,04/2004,wy
"Jackson Lake",377569,847000,44.6,05/2004,wy
"Jackson Lake",397491,847000,46.9,06/2004,wy
"Jackson Lake",332828,847000,39.3,07/2004,wy
"Jackson Lake",235576,847000,27.8,08/2004,wy
"Jackson Lake",124411,847000,14.7,09/2004,wy
"Jackson Lake",87065,847000,10.3,10/2004,wy
"Jackson Lake",102470,847000,12.1,11/2004,wy
"Jackson Lake",113083,847000,13.4,12/2004,wy
"Jackson Lake",127616,847000,15.1,01/2005,wy
"Jackson Lake",138601,847000,16.4,02/2005,wy
"Jackson Lake",148770,847000,17.6,03/2005,wy
"Jackson Lake",168507,847000,19.9,04/2005,wy
"Jackson Lake",311153,847000,36.7,05/2005,wy
"Jackson Lake",514761,847000,60.8,06/2005,wy
"Jackson Lake",520618,847000,61.5,07/2005,wy
"Jackson Lake",456904,847000,53.9,08/2005,wy
"Jackson Lake",379930,847000,44.9,09/2005,wy
"Jackson Lake",342326,847000,40.4,10/2005,wy
"Jackson Lake",356892,847000,42.1,11/2005,wy
"Jackson Lake",371413,847000,43.9,12/2005,wy
"Jackson Lake",393038,847000,46.4,01/2006,wy
"Jackson Lake",407905,847000,48.2,02/2006,wy
"Jackson Lake",416051,847000,49.1,03/2006,wy
"Jackson Lake",438625,847000,51.8,04/2006,wy
"Jackson Lake",638080,847000,75.3,05/2006,wy
"Jackson Lake",835012,847000,98.6,06/2006,wy
"Jackson Lake",831535,847000,98.2,07/2006,wy
"Jackson Lake",759288,847000,89.6,08/2006,wy
"Jackson Lake",675827,847000,79.8,09/2006,wy
"Jackson Lake",632331,847000,74.7,10/2006,wy
"Jackson Lake",634073,847000,74.9,11/2006,wy
"Jackson Lake",634576,847000,74.9,12/2006,wy
"Jackson Lake",636449,847000,75.1,01/2007,wy
"Jackson Lake",634664,847000,74.9,02/2007,wy
"Jackson Lake",634815,847000,74.9,03/2007,wy
"Jackson Lake",649753,847000,76.7,04/2007,wy
"Jackson Lake",789794,847000,93.2,05/2007,wy
"Jackson Lake",832392,847000,98.3,06/2007,wy
"Jackson Lake",760360,847000,89.8,07/2007,wy
"Jackson Lake",610467,847000,72.1,08/2007,wy
"Jackson Lake",379963,847000,44.9,09/2007,wy
"Jackson Lake",270791,847000,32,10/2007,wy
"Jackson Lake",290144,847000,34.3,11/2007,wy
"Jackson Lake",302138,847000,35.7,12/2007,wy
"Jackson Lake",310531,847000,36.7,01/2008,wy
"Jackson Lake",328123,847000,38.7,02/2008,wy
"Jackson Lake",341855,847000,40.4,03/2008,wy
"Jackson Lake",353484,847000,41.7,04/2008,wy
"Jackson Lake",451157,847000,53.3,05/2008,wy
"Jackson Lake",752297,847000,88.8,06/2008,wy
"Jackson Lake",836415,847000,98.8,07/2008,wy
"Jackson Lake",769964,847000,90.9,08/2008,wy
"Jackson Lake",677977,847000,80,09/2008,wy
"Jackson Lake",638280,847000,75.4,10/2008,wy
"Jackson Lake",637669,847000,75.3,11/2008,wy
"Jackson Lake",635876,847000,75.1,12/2008,wy
"Jackson Lake",645065,847000,76.2,01/2009,wy
"Jackson Lake",644862,847000,76.1,02/2009,wy
"Jackson Lake",646339,847000,76.3,03/2009,wy
"Jackson Lake",657337,847000,77.6,04/2009,wy
"Jackson Lake",671682,847000,79.3,05/2009,wy
"Jackson Lake",815015,847000,96.2,06/2009,wy
"Jackson Lake",822888,847000,97.2,07/2009,wy
"Jackson Lake",772786,847000,91.2,08/2009,wy
"Jackson Lake",695407,847000,82.1,09/2009,wy
"Jackson Lake",637041,847000,75.2,10/2009,wy
"Jackson Lake",633279,847000,74.8,11/2009,wy
"Jackson Lake",629131,847000,74.3,12/2009,wy
"Jackson Lake",629193,847000,74.3,01/2010,wy
"Jackson Lake",629101,847000,74.3,02/2010,wy
"Jackson Lake",628882,847000,74.2,03/2010,wy
