reservoir,storage,capacity,pct_capacity,date
"Phillips Lake",48381,114000,42.4,04/2010,or
"Phillips Lake",56328,114000,49.4,05/2010,or
"Phillips Lake",71574,114000,62.8,06/2010,or
"Phillips Lake",70459,114000,61.8,07/2010,or
"Phillips Lake",54356,114000,47.7,08/2010,or
"Phillips Lake",41822,114000,36.7,09/2010,or
"Phillips Lake",39048,114000,34.3,10/2010,or
"Phillips Lake",39814,114000,34.9,11/2010,or
"Phillips Lake",41241,114000,36.2,12/2010,or
"Phillips Lake",43304,114000,38,01/2011,or
"Phillips Lake",47848,114000,42,02/2011,or
"Phillips Lake",50965,114000,44.7,03/2011,or
"Phillips Lake",57904,114000,50.8,04/2011,or
"Phillips Lake",67619,114000,59.3,05/2011,or
"Phillips Lake",79095,114000,69.4,06/2011,or
"Phillips Lake",74705,114000,65.5,07/2011,or
"Phillips Lake",58192,114000,51,08/2011,or
"Phillips Lake",42190,114000,37,09/2011,or
"Phillips Lake",36548,114000,32.1,10/2011,or
"Phillips Lake",36581,114000,32.1,11/2011,or
"Phillips Lake",36923,114000,32.4,12/2011,or
"Phillips Lake",37507,114000,32.9,01/2012,or
"Phillips Lake",38636,114000,33.9,02/2012,or
"Phillips Lake",42563,114000,37.3,03/2012,or
"Phillips Lake",52253,114000,45.8,04/2012,or
"Phillips Lake",64841,114000,56.9,05/2012,or
"Phillips Lake",65115,114000,57.1,06/2012,or
"Phillips Lake",56115,114000,49.2,07/2012,or
"Phillips Lake",38240,114000,33.5,08/2012,or
"Phillips Lake",27191,114000,23.9,09/2012,or
"Phillips Lake",25294,114000,22.2,10/2012,or
"Phillips Lake",25585,114000,22.4,11/2012,or
"Phillips Lake",27314,114000,24,12/2012,or
"Phillips Lake",28130,114000,24.7,01/2013,or
"Phillips Lake",29025,114000,25.5,02/2013,or
"Phillips Lake",32348,114000,28.4,03/2013,or
"Phillips Lake",40628,114000,35.6,04/2013,or
"Phillips Lake",41146,114000,36.1,05/2013,or
"Phillips Lake",37496,114000,32.9,06/2013,or
"Phillips Lake",31235,114000,27.4,07/2013,or
"Phillips Lake",16864,114000,14.8,08/2013,or
"Phillips Lake",10021,114000,8.8,09/2013,or
"Phillips Lake",9405,114000,8.3,10/2013,or
"Phillips Lake",9611,114000,8.4,11/2013,or
"Phillips Lake",10255,114000,9,12/2013,or
"Phillips Lake",10722,114000,9.4,01/2014,or
"Phillips Lake",11901,114000,10.4,02/2014,or
"Phillips Lake",21703,114000,19,03/2014,or
"Phillips Lake",33027,114000,29,04/2014,or
"Phillips Lake",36373,114000,31.9,05/2014,or
"Phillips Lake",36710,114000,32.2,06/2014,or
"Phillips Lake",30683,114000,26.9,07/2014,or
"Phillips Lake",18593,114000,16.3,08/2014,or
"Phillips Lake",12060,114000,10.6,09/2014,or
"Phillips Lake",10867,114000,9.5,10/2014,or
"Phillips Lake",10792,114000,9.5,11/2014,or
"Phillips Lake",12383,114000,10.9,12/2014,or
"Phillips Lake",15086,114000,13.2,01/2015,or
"Phillips Lake",20805,114000,18.3,02/2015,or
"Phillips Lake",26574,114000,23.3,03/2015,or
"Phillips Lake",31719,114000,27.8,04/2015,or
"Phillips Lake",29630,114000,26,05/2015,or
"Phillips Lake",27055,114000,23.7,06/2015,or
"Phillips Lake",20363,114000,17.9,07/2015,or
"Phillips Lake",10060,114000,8.8,08/2015,or
"Phillips Lake",4084,114000,3.6,09/2015,or
"Phillips Lake",3094,114000,2.7,10/2015,or
"Phillips Lake",2761,114000,2.4,11/2015,or
"Phillips Lake",3292,114000,2.9,12/2015,or
"Phillips Lake",4152,114000,3.6,01/2016,or
"Phillips Lake",6106,114000,5.4,02/2016,or
"Phillips Lake",15044,114000,13.2,03/2016,or
"Phillips Lake",28996,114000,25.4,04/2016,or
"Phillips Lake",33794,114000,29.6,05/2016,or
"Phillips Lake",30585,114000,26.8,06/2016,or
"Phillips Lake",22692,114000,19.9,07/2016,or
"Phillips Lake",9785,114000,8.6,08/2016,or
"Phillips Lake",3426,114000,3,09/2016,or
"Phillips Lake",2526,114000,2.2,10/2016,or
"Phillips Lake",2950,114000,2.6,11/2016,or
"Phillips Lake",3759,114000,3.3,12/2016,or
"Phillips Lake",4470,114000,3.9,01/2017,or
"Phillips Lake",6051,114000,5.3,02/2017,or
"Phillips Lake",15814,114000,13.9,03/2017,or
"Phillips Lake",41218,114000,36.2,04/2017,or
"Phillips Lake",59829,114000,52.5,05/2017,or
"Phillips Lake",70953,114000,62.2,06/2017,or
"Phillips Lake",64470,114000,56.6,07/2017,or
"Phillips Lake",45872,114000,40.2,08/2017,or
"Phillips Lake",34563,114000,30.3,09/2017,or
"Phillips Lake",31841,114000,27.9,10/2017,or
"Phillips Lake",32075,114000,28.1,11/2017,or
"Phillips Lake",33163,114000,29.1,12/2017,or
"Phillips Lake",34181,114000,30,01/2018,or
"Phillips Lake",36297,114000,31.8,02/2018,or
"Phillips Lake",38775,114000,34,03/2018,or
"Phillips Lake",44597,114000,39.1,04/2018,or
"Phillips Lake",46621,114000,40.9,05/2018,or
"Phillips Lake",43090,114000,37.8,06/2018,or
"Phillips Lake",33364,114000,29.3,07/2018,or
"Phillips Lake",15504,114000,13.6,08/2018,or
"Phillips Lake",7307,114000,6.4,09/2018,or
"Phillips Lake",5962,114000,5.2,10/2018,or
"Phillips Lake",5809,114000,5.1,11/2018,or
"Phillips Lake",6041,114000,5.3,12/2018,or
"Phillips Lake",6241,114000,5.5,01/2019,or
"Phillips Lake",6729,114000,5.9,02/2019,or
"Phillips Lake",8184,114000,7.2,03/2019,or
"Phillips Lake",25356,114000,22.2,04/2019,or
"Phillips Lake",42123,114000,37,05/2019,or
"Phillips Lake",51226,114000,44.9,06/2019,or
"Phillips Lake",45104,114000,39.6,07/2019,or
"Phillips Lake",28846,114000,25.3,08/2019,or
"Phillips Lake",17479,114000,15.3,09/2019,or
"Phillips Lake",15968,114000,14,10/2019,or
"Phillips Lake",15966,114000,14,11/2019,or
"Phillips Lake",16419,114000,14.4,12/2019,or
"Phillips Lake",16859,114000,14.8,01/2020,or
"Phillips Lake",18531,114000,16.3,02/2020,or
"Phillips Lake",22385,114000,19.6,03/2020,or
"Phillips Lake",28842,114000,25.3,04/2020,or
"Phillips Lake",32874,114000,28.8,05/2020,or
"Phillips Lake",41747,114000,36.6,06/2020,or
"Phillips Lake",36505,114000,32,07/2020,or
"Phillips Lake",18769,114000,16.5,08/2020,or
"Phillips Lake",8304,114000,7.3,09/2020,or
"Phillips Lake",6166,114000,5.4,10/2020,or
"Phillips Lake",5522,114000,4.8,11/2020,or
"Phillips Lake",5607,114000,4.9,12/2020,or
"Phillips Lake",6050,114000,5.3,01/2021,or
"Phillips Lake",6819,114000,6,02/2021,or
"Phillips Lake",8651,114000,7.6,03/2021,or
"Phillips Lake",15542,114000,13.6,04/2021,or
"Phillips Lake",13923,114000,12.2,05/2021,or
"Phillips Lake",11663,114000,10.2,06/2021,or
