Roosevelt,1157402,1381580,83.8,4/1/2019,AZ
"Horse Mesa",239699,245138,97.8,4/1/2019,AZ
"Mormon Flat",55990,57852,96.8,4/1/2019,AZ
"Stewart Mtn",67223,69765,96.4,4/1/2019,AZ
Roosevelt,1162753,1381580,84.2,4/2/2019,AZ
"Horse Mesa",239599,245138,97.7,4/2/2019,AZ
"Mormon Flat",56018,57852,96.8,4/2/2019,AZ
"Stewart Mtn",67214,69765,96.3,4/2/2019,AZ
Roosevelt,1167082,1381580,84.5,4/3/2019,AZ
"Horse Mesa",239502,245138,97.7,4/3/2019,AZ
"Mormon Flat",56037,57852,96.9,4/3/2019,AZ
"Stewart Mtn",67186,69765,96.3,4/3/2019,AZ
Roosevelt,1171421,1381580,84.8,4/4/2019,AZ
"Horse Mesa",239481,245138,97.7,4/4/2019,AZ
"Mormon Flat",56065,57852,96.9,4/4/2019,AZ
"Stewart Mtn",67167,69765,96.3,4/4/2019,AZ
Roosevelt,1175945,1381580,85.1,4/5/2019,AZ
"Horse Mesa",239441,245138,97.7,4/5/2019,AZ
"Mormon Flat",56094,57852,97,4/5/2019,AZ
"Stewart Mtn",67159,69765,96.3,4/5/2019,AZ
Roosevelt,1179780,1381580,85.4,4/6/2019,AZ
"Horse Mesa",239363,245138,97.6,4/6/2019,AZ
"Mormon Flat",56122,57852,97,4/6/2019,AZ
"Stewart Mtn",67140,69765,96.2,4/6/2019,AZ
Roosevelt,1184146,1381580,85.7,4/7/2019,AZ
"Horse Mesa",239323,245138,97.6,4/7/2019,AZ
"Mormon Flat",56159,57852,97.1,4/7/2019,AZ
"Stewart Mtn",67130,69765,96.2,4/7/2019,AZ
Roosevelt,1187296,1381580,85.9,4/8/2019,AZ
"Horse Mesa",239305,245138,97.6,4/8/2019,AZ
"Mormon Flat",56188,57852,97.1,4/8/2019,AZ
"Stewart Mtn",67121,69765,96.2,4/8/2019,AZ
Roosevelt,1190626,1381580,86.2,4/9/2019,AZ
"Horse Mesa",239245,245138,97.6,4/9/2019,AZ
"Mormon Flat",56216,57852,97.2,4/9/2019,AZ
"Stewart Mtn",67111,69765,96.2,4/9/2019,AZ
