reservoir,storage,capacity,pct_full,date,state
"Upper Stillwater",1975,33123,,04/30/2019,UT
"Upper Stillwater",2004,33123,,04/29/2019,UT
"Upper Stillwater",1986,33123,,04/28/2019,UT
"Upper Stillwater",1923,33123,,04/27/2019,UT
"Upper Stillwater",1838,33123,,04/26/2019,UT
"Upper Stillwater",1774,33123,,04/25/2019,UT
"Upper Stillwater",1717,33123,,04/24/2019,UT
"Upper Stillwater",1661,33123,,04/23/2019,UT
"Upper Stillwater",1634,33123,,04/22/2019,UT
"Upper Stillwater",1633,33123,,04/21/2019,UT
"Upper Stillwater",1625,33123,,04/20/2019,UT
"Upper Stillwater",1594,33123,,04/19/2019,UT
"Upper Stillwater",1560,33123,,04/18/2019,UT
"Upper Stillwater",1546,33123,,04/17/2019,UT
"Upper Stillwater",1545,33123,,04/16/2019,UT
"Upper Stillwater",1541,33123,,04/15/2019,UT
"Upper Stillwater",1536,33123,,04/14/2019,UT
"Upper Stillwater",1537,33123,,04/13/2019,UT
"Upper Stillwater",1542,33123,,04/12/2019,UT
"Upper Stillwater",1543,33123,,04/11/2019,UT
"Upper Stillwater",1551,33123,,04/10/2019,UT
"Upper Stillwater",1555,33123,,04/09/2019,UT
"Upper Stillwater",1539,33123,,04/08/2019,UT
"Upper Stillwater",1529,33123,,04/07/2019,UT
"Upper Stillwater",1525,33123,,04/06/2019,UT
"Upper Stillwater",1518,33123,,04/05/2019,UT
"Upper Stillwater",1514,33123,,04/04/2019,UT
"Upper Stillwater",1512,33123,,04/03/2019,UT
"Upper Stillwater",1511,33123,,04/02/2019,UT
"Upper Stillwater",1511,33123,,04/01/2019,UT
