reservoir,storage,capacity,pct_full,date,state
Fruitgrowers,3430,4540,,04/30/2019,CO
Fruitgrowers,3384,4540,,04/29/2019,CO
Fruitgrowers,3316,4540,,04/28/2019,CO
Fruitgrowers,3298,4540,,04/27/2019,CO
Fruitgrowers,3286,4540,,04/26/2019,CO
Fruitgrowers,3275,4540,,04/25/2019,CO
Fruitgrowers,3264,4540,,04/24/2019,CO
Fruitgrowers,3264,4540,,04/23/2019,CO
Fruitgrowers,3253,4540,,04/22/2019,CO
Fruitgrowers,3242,4540,,04/21/2019,CO
Fruitgrowers,3231,4540,,04/20/2019,CO
Fruitgrowers,3220,4540,,04/19/2019,CO
Fruitgrowers,3220,4540,,04/18/2019,CO
Fruitgrowers,3220,4540,,04/17/2019,CO
Fruitgrowers,3227,4540,,04/16/2019,CO
Fruitgrowers,3249,4540,,04/15/2019,CO
Fruitgrowers,3286,4540,,04/14/2019,CO
Fruitgrowers,3324,4540,,04/13/2019,CO
Fruitgrowers,3361,4540,,04/12/2019,CO
Fruitgrowers,3395,4540,,04/11/2019,CO
Fruitgrowers,3426,4540,,04/10/2019,CO
Fruitgrowers,3453,4540,,04/09/2019,CO
Fruitgrowers,3456,4540,,04/08/2019,CO
Fruitgrowers,3407,4540,,04/07/2019,CO
Fruitgrowers,3388,4540,,04/06/2019,CO
Fruitgrowers,3350,4540,,04/05/2019,CO
Fruitgrowers,3316,4540,,04/04/2019,CO
Fruitgrowers,3294,4540,,04/03/2019,CO
Fruitgrowers,3264,4540,,04/02/2019,CO
Fruitgrowers,3249,4540,,04/01/2019,CO
