reservoir,storage,capacity,pct_full,date,state
"Lost Creek Reservoir",13963,22510,,06/30/2021,UT
"Lost Creek Reservoir",14032,22510,,06/29/2021,UT
"Lost Creek Reservoir",14107,22510,,06/28/2021,UT
"Lost Creek Reservoir",14176,22510,,06/27/2021,UT
"Lost Creek Reservoir",14251,22510,,06/26/2021,UT
"Lost Creek Reservoir",14318,22510,,06/25/2021,UT
"Lost Creek Reservoir",14386,22510,,06/24/2021,UT
"Lost Creek Reservoir",14447,22510,,06/23/2021,UT
"Lost Creek Reservoir",14517,22510,,06/22/2021,UT
"Lost Creek Reservoir",14574,22510,,06/21/2021,UT
"Lost Creek Reservoir",14633,22510,,06/20/2021,UT
"Lost Creek Reservoir",14699,22510,,06/19/2021,UT
"Lost Creek Reservoir",14758,22510,,06/18/2021,UT
"Lost Creek Reservoir",14818,22510,,06/17/2021,UT
"Lost Creek Reservoir",14878,22510,,06/16/2021,UT
"Lost Creek Reservoir",14938,22510,,06/15/2021,UT
"Lost Creek Reservoir",14996,22510,,06/14/2021,UT
"Lost Creek Reservoir",15059,22510,,06/13/2021,UT
"Lost Creek Reservoir",15114,22510,,06/12/2021,UT
"Lost Creek Reservoir",15169,22510,,06/11/2021,UT
"Lost Creek Reservoir",15227,22510,,06/10/2021,UT
"Lost Creek Reservoir",15288,22510,,06/09/2021,UT
"Lost Creek Reservoir",15344,22510,,06/08/2021,UT
"Lost Creek Reservoir",15396,22510,,06/07/2021,UT
"Lost Creek Reservoir",15440,22510,,06/06/2021,UT
"Lost Creek Reservoir",15487,22510,,06/05/2021,UT
"Lost Creek Reservoir",15531,22510,,06/04/2021,UT
"Lost Creek Reservoir",15576,22510,,06/03/2021,UT
"Lost Creek Reservoir",15620,22510,,06/02/2021,UT
"Lost Creek Reservoir",15661,22510,,06/01/2021,UT
