reservoir,storage,capacity,pct_full,date,state
"Big Sandy",17902,38300,,06/30/2021,WY
"Big Sandy",18106,38300,,06/29/2021,WY
"Big Sandy",18280,38300,,06/28/2021,WY
"Big Sandy",18438,38300,,06/27/2021,WY
"Big Sandy",18550,38300,,06/26/2021,WY
"Big Sandy",18741,38300,,06/25/2021,WY
"Big Sandy",18934,38300,,06/24/2021,WY
"Big Sandy",19209,38300,,06/23/2021,WY
"Big Sandy",19453,38300,,06/22/2021,WY
"Big Sandy",19698,38300,,06/21/2021,WY
"Big Sandy",19879,38300,,06/20/2021,WY
"Big Sandy",20194,38300,,06/19/2021,WY
"Big Sandy",20428,38300,,06/18/2021,WY
"Big Sandy",20629,38300,,06/17/2021,WY
"Big Sandy",20831,38300,,06/16/2021,WY
"Big Sandy",21034,38300,,06/15/2021,WY
"Big Sandy",21203,38300,,06/14/2021,WY
"Big Sandy",21356,38300,,06/13/2021,WY
"Big Sandy",21390,38300,,06/12/2021,WY
"Big Sandy",21390,38300,,06/11/2021,WY
"Big Sandy",21305,38300,,06/10/2021,WY
"Big Sandy",21254,38300,,06/09/2021,WY
"Big Sandy",21034,38300,,06/08/2021,WY
"Big Sandy",20696,38300,,06/07/2021,WY
"Big Sandy",20244,38300,,06/06/2021,WY
"Big Sandy",19846,38300,,06/05/2021,WY
"Big Sandy",19485,38300,,06/04/2021,WY
"Big Sandy",19241,38300,,06/03/2021,WY
"Big Sandy",18998,38300,,06/02/2021,WY
"Big Sandy",18838,38300,,06/01/2021,WY
