reservoir,storage,capacity,pct_full,date,state
Hyrum,8592,18685,,06/30/2021,UT
Hyrum,8750,18685,,06/29/2021,UT
Hyrum,8914,18685,,06/28/2021,UT
Hyrum,9079,18685,,06/27/2021,UT
Hyrum,9241,18685,,06/26/2021,UT
Hyrum,9400,18685,,06/25/2021,UT
Hyrum,9560,18685,,06/24/2021,UT
Hyrum,9728,18685,,06/23/2021,UT
Hyrum,9906,18685,,06/22/2021,UT
Hyrum,10082,18685,,06/21/2021,UT
Hyrum,10254,18685,,06/20/2021,UT
Hyrum,10431,18685,,06/19/2021,UT
Hyrum,10598,18685,,06/18/2021,UT
Hyrum,10761,18685,,06/17/2021,UT
Hyrum,10921,18685,,06/16/2021,UT
Hyrum,11064,18685,,06/15/2021,UT
Hyrum,11213,18685,,06/14/2021,UT
Hyrum,11371,18685,,06/13/2021,UT
Hyrum,11518,18685,,06/12/2021,UT
Hyrum,11669,18685,,06/11/2021,UT
Hyrum,11821,18685,,06/10/2021,UT
Hyrum,11987,18685,,06/09/2021,UT
Hyrum,12145,18685,,06/08/2021,UT
Hyrum,12308,18685,,06/07/2021,UT
Hyrum,12459,18685,,06/06/2021,UT
Hyrum,12620,18685,,06/05/2021,UT
Hyrum,12772,18685,,06/04/2021,UT
Hyrum,12906,18685,,06/03/2021,UT
Hyrum,13046,18685,,06/02/2021,UT
Hyrum,13190,18685,,06/01/2021,UT
