reservoir,storage,capacity,pct_full,date,state
"East Canyon",32794,51200,,06/30/2021,UT
"East Canyon",32996,51200,,06/29/2021,UT
"East Canyon",33204,51200,,06/28/2021,UT
"East Canyon",33403,51200,,06/27/2021,UT
"East Canyon",33602,51200,,06/26/2021,UT
"East Canyon",33796,51200,,06/25/2021,UT
"East Canyon",33996,51200,,06/24/2021,UT
"East Canyon",34225,51200,,06/23/2021,UT
"East Canyon",34372,51200,,06/22/2021,UT
"East Canyon",34531,51200,,06/21/2021,UT
"East Canyon",34696,51200,,06/20/2021,UT
"East Canyon",34866,51200,,06/19/2021,UT
"East Canyon",35060,51200,,06/18/2021,UT
"East Canyon",35193,51200,,06/17/2021,UT
"East Canyon",35355,51200,,06/16/2021,UT
"East Canyon",35517,51200,,06/15/2021,UT
"East Canyon",35617,51200,,06/14/2021,UT
"East Canyon",35735,51200,,06/13/2021,UT
"East Canyon",35819,51200,,06/12/2021,UT
"East Canyon",35932,51200,,06/11/2021,UT
"East Canyon",36067,51200,,06/10/2021,UT
"East Canyon",36186,51200,,06/09/2021,UT
"East Canyon",36265,51200,,06/08/2021,UT
"East Canyon",36379,51200,,06/07/2021,UT
"East Canyon",36470,51200,,06/06/2021,UT
"East Canyon",36538,51200,,06/05/2021,UT
"East Canyon",36647,51200,,06/04/2021,UT
"East Canyon",36715,51200,,06/03/2021,UT
"East Canyon",36790,51200,,06/02/2021,UT
"East Canyon",36870,51200,,06/01/2021,UT
