reservoir,storage,capacity,pct_full,date,state
Caballo,24281,343990,,06/30/2021,NM
Caballo,22535,343990,,06/29/2021,NM
Caballo,20745,343990,,06/28/2021,NM
Caballo,18975,343990,,06/27/2021,NM
Caballo,18731,343990,,06/26/2021,NM
Caballo,18886,343990,,06/25/2021,NM
Caballo,19467,343990,,06/24/2021,NM
Caballo,20376,343990,,06/23/2021,NM
Caballo,21211,343990,,06/22/2021,NM
Caballo,22130,343990,,06/21/2021,NM
Caballo,22894,343990,,06/20/2021,NM
Caballo,23766,343990,,06/19/2021,NM
Caballo,24626,343990,,06/18/2021,NM
Caballo,25548,343990,,06/17/2021,NM
Caballo,26698,343990,,06/16/2021,NM
Caballo,28089,343990,,06/15/2021,NM
Caballo,29393,343990,,06/14/2021,NM
Caballo,30972,343990,,06/13/2021,NM
Caballo,32530,343990,,06/12/2021,NM
Caballo,33751,343990,,06/11/2021,NM
Caballo,35128,343990,,06/10/2021,NM
Caballo,36639,343990,,06/09/2021,NM
Caballo,38030,343990,,06/08/2021,NM
Caballo,39524,343990,,06/07/2021,NM
Caballo,40920,343990,,06/06/2021,NM
Caballo,42488,343990,,06/05/2021,NM
Caballo,43699,343990,,06/04/2021,NM
Caballo,44860,343990,,06/03/2021,NM
Caballo,45820,343990,,06/02/2021,NM
Caballo,46532,343990,,06/01/2021,NM
