reservoir,storage,capacity,pct_full,date,state
Starvation,131285,167310,,06/30/2021,UT
Starvation,131871,167310,,06/29/2021,UT
Starvation,132460,167310,,06/28/2021,UT
Starvation,133053,167310,,06/27/2021,UT
Starvation,133648,167310,,06/26/2021,UT
Starvation,134190,167310,,06/25/2021,UT
Starvation,134676,167310,,06/24/2021,UT
Starvation,135222,167310,,06/23/2021,UT
Starvation,135885,167310,,06/22/2021,UT
Starvation,136609,167310,,06/21/2021,UT
Starvation,137249,167310,,06/20/2021,UT
Starvation,138037,167310,,06/19/2021,UT
Starvation,138770,167310,,06/18/2021,UT
Starvation,139477,167310,,06/17/2021,UT
Starvation,140216,167310,,06/16/2021,UT
Starvation,140720,167310,,06/15/2021,UT
Starvation,141404,167310,,06/14/2021,UT
Starvation,142031,167310,,06/13/2021,UT
Starvation,142629,167310,,06/12/2021,UT
Starvation,143259,167310,,06/11/2021,UT
Starvation,143861,167310,,06/10/2021,UT
Starvation,144615,167310,,06/09/2021,UT
Starvation,145311,167310,,06/08/2021,UT
Starvation,146040,167310,,06/07/2021,UT
Starvation,146740,167310,,06/06/2021,UT
Starvation,147412,167310,,06/05/2021,UT
Starvation,148116,167310,,06/04/2021,UT
Starvation,148761,167310,,06/03/2021,UT
Starvation,149377,167310,,06/02/2021,UT
Starvation,149994,167310,,06/01/2021,UT
