reservoir,storage,capacity,pct_full,date,state
"Morrow Point",109091,117025,,06/30/2021,CO
"Morrow Point",109129,117025,,06/29/2021,CO
"Morrow Point",108982,117025,,06/28/2021,CO
"Morrow Point",109713,117025,,06/27/2021,CO
"Morrow Point",109308,117025,,06/26/2021,CO
"Morrow Point",110010,117025,,06/25/2021,CO
"Morrow Point",110222,117025,,06/24/2021,CO
"Morrow Point",110331,117025,,06/23/2021,CO
"Morrow Point",110488,117025,,06/22/2021,CO
"Morrow Point",111164,117025,,06/21/2021,CO
"Morrow Point",111479,117025,,06/20/2021,CO
"Morrow Point",111787,117025,,06/19/2021,CO
"Morrow Point",111677,117025,,06/18/2021,CO
"Morrow Point",111756,117025,,06/17/2021,CO
"Morrow Point",111890,117025,,06/16/2021,CO
"Morrow Point",111566,117025,,06/15/2021,CO
"Morrow Point",110873,117025,,06/14/2021,CO
"Morrow Point",111243,117025,,06/13/2021,CO
"Morrow Point",111922,117025,,06/12/2021,CO
"Morrow Point",112493,117025,,06/11/2021,CO
"Morrow Point",113353,117025,,06/10/2021,CO
"Morrow Point",113561,117025,,06/09/2021,CO
"Morrow Point",113841,117025,,06/08/2021,CO
"Morrow Point",113953,117025,,06/07/2021,CO
"Morrow Point",113745,117025,,06/06/2021,CO
"Morrow Point",113265,117025,,06/05/2021,CO
"Morrow Point",112739,117025,,06/04/2021,CO
"Morrow Point",112859,117025,,06/03/2021,CO
"Morrow Point",112962,117025,,06/02/2021,CO
"Morrow Point",113122,117025,,06/01/2021,CO
