reservoir,storage,capacity,pct_full,date,state
Fontenelle,250563,345360,,06/30/2021,WY
Fontenelle,249657,345360,,06/29/2021,WY
Fontenelle,248682,345360,,06/28/2021,WY
Fontenelle,247362,345360,,06/27/2021,WY
Fontenelle,246114,345360,,06/26/2021,WY
Fontenelle,244524,345360,,06/25/2021,WY
Fontenelle,243076,345360,,06/24/2021,WY
Fontenelle,241700,345360,,06/23/2021,WY
Fontenelle,239848,345360,,06/22/2021,WY
Fontenelle,237866,345360,,06/21/2021,WY
Fontenelle,235551,345360,,06/20/2021,WY
Fontenelle,233109,345360,,06/19/2021,WY
Fontenelle,230542,345360,,06/18/2021,WY
Fontenelle,227987,345360,,06/17/2021,WY
Fontenelle,225644,345360,,06/16/2021,WY
Fontenelle,223311,345360,,06/15/2021,WY
Fontenelle,220659,345360,,06/14/2021,WY
Fontenelle,216970,345360,,06/13/2021,WY
Fontenelle,212336,345360,,06/12/2021,WY
Fontenelle,206726,345360,,06/11/2021,WY
Fontenelle,200322,345360,,06/10/2021,WY
Fontenelle,193055,345360,,06/09/2021,WY
Fontenelle,185137,345360,,06/08/2021,WY
Fontenelle,177222,345360,,06/07/2021,WY
Fontenelle,170405,345360,,06/06/2021,WY
Fontenelle,164978,345360,,06/05/2021,WY
Fontenelle,161020,345360,,06/04/2021,WY
Fontenelle,157675,345360,,06/03/2021,WY
Fontenelle,155117,345360,,06/02/2021,WY
Fontenelle,153054,345360,,06/01/2021,WY
