reservoir,storage,capacity,pct_full,date,state
"Blue Mesa",334806,940800,,04/30/2019,CO
"Blue Mesa",325133,940800,,04/29/2019,CO
"Blue Mesa",316521,940800,,04/28/2019,CO
"Blue Mesa",307380,940800,,04/27/2019,CO
"Blue Mesa",299535,940800,,04/26/2019,CO
"Blue Mesa",293472,940800,,04/25/2019,CO
"Blue Mesa",289291,940800,,04/24/2019,CO
"Blue Mesa",284511,940800,,04/23/2019,CO
"Blue Mesa",280510,940800,,04/22/2019,CO
"Blue Mesa",277115,940800,,04/21/2019,CO
"Blue Mesa",273330,940800,,04/20/2019,CO
"Blue Mesa",270037,940800,,04/19/2019,CO
"Blue Mesa",267531,940800,,04/18/2019,CO
"Blue Mesa",265902,940800,,04/17/2019,CO
"Blue Mesa",264178,940800,,04/16/2019,CO
"Blue Mesa",262864,940800,,04/15/2019,CO
"Blue Mesa",262208,940800,,04/14/2019,CO
"Blue Mesa",261302,940800,,04/13/2019,CO
"Blue Mesa",260397,940800,,04/12/2019,CO
"Blue Mesa",259645,940800,,04/11/2019,CO
"Blue Mesa",258294,940800,,04/10/2019,CO
"Blue Mesa",256102,940800,,04/09/2019,CO
"Blue Mesa",253920,940800,,04/08/2019,CO
"Blue Mesa",253129,940800,,04/07/2019,CO
"Blue Mesa",251700,940800,,04/06/2019,CO
"Blue Mesa",250717,940800,,04/05/2019,CO
"Blue Mesa",250079,940800,,04/04/2019,CO
"Blue Mesa",249491,940800,,04/03/2019,CO
"Blue Mesa",249197,940800,,04/02/2019,CO
"Blue Mesa",249638,940800,,04/01/2019,CO
