reservoir,storage,capacity,pct_full,date,state
"Huntington North",3769,5420,,04/30/2019,UT
"Huntington North",3797,5420,,04/29/2019,UT
"Huntington North",3834,5420,,04/28/2019,UT
"Huntington North",3879,5420,,04/27/2019,UT
"Huntington North",3912,5420,,04/26/2019,UT
"Huntington North",3940,5420,,04/25/2019,UT
"Huntington North",3966,5420,,04/24/2019,UT
"Huntington North",3985,5420,,04/23/2019,UT
"Huntington North",3997,5420,,04/22/2019,UT
"Huntington North",4007,5420,,04/21/2019,UT
"Huntington North",4016,5420,,04/20/2019,UT
"Huntington North",4023,5420,,04/19/2019,UT
"Huntington North",4035,5420,,04/18/2019,UT
"Huntington North",4047,5420,,04/17/2019,UT
"Huntington North",4057,5420,,04/16/2019,UT
"Huntington North",4061,5420,,04/15/2019,UT
"Huntington North",4066,5420,,04/14/2019,UT
"Huntington North",4073,5420,,04/13/2019,UT
"Huntington North",4078,5420,,04/12/2019,UT
"Huntington North",4083,5420,,04/11/2019,UT
"Huntington North",4092,5420,,04/10/2019,UT
"Huntington North",4097,5420,,04/09/2019,UT
"Huntington North",4104,5420,,04/08/2019,UT
"Huntington North",4104,5420,,04/07/2019,UT
"Huntington North",4107,5420,,04/06/2019,UT
"Huntington North",4109,5420,,04/05/2019,UT
"Huntington North",4116,5420,,04/04/2019,UT
"Huntington North",4116,5420,,04/03/2019,UT
"Huntington North",4119,5420,,04/02/2019,UT
"Huntington North",4119,5420,,04/01/2019,UT
