reservoir,storage,capacity,pct_full,date,state
Vallecito,81346,125400,,06/30/2021,CO
Vallecito,81651,125400,,06/29/2021,CO
Vallecito,81910,125400,,06/28/2021,CO
Vallecito,82333,125400,,06/27/2021,CO
Vallecito,82829,125400,,06/26/2021,CO
Vallecito,83419,125400,,06/25/2021,CO
Vallecito,83917,125400,,06/24/2021,CO
Vallecito,84368,125400,,06/23/2021,CO
Vallecito,84915,125400,,06/22/2021,CO
Vallecito,85391,125400,,06/21/2021,CO
Vallecito,85773,125400,,06/20/2021,CO
Vallecito,86060,125400,,06/19/2021,CO
Vallecito,86371,125400,,06/18/2021,CO
Vallecito,86539,125400,,06/17/2021,CO
Vallecito,86683,125400,,06/16/2021,CO
Vallecito,86731,125400,,06/15/2021,CO
Vallecito,86707,125400,,06/14/2021,CO
Vallecito,86587,125400,,06/13/2021,CO
Vallecito,86395,125400,,06/12/2021,CO
Vallecito,86108,125400,,06/11/2021,CO
Vallecito,85749,125400,,06/10/2021,CO
Vallecito,85248,125400,,06/09/2021,CO
Vallecito,84582,125400,,06/08/2021,CO
Vallecito,83633,125400,,06/07/2021,CO
Vallecito,82545,125400,,06/06/2021,CO
Vallecito,81159,125400,,06/05/2021,CO
Vallecito,79781,125400,,06/04/2021,CO
Vallecito,78737,125400,,06/03/2021,CO
Vallecito,77883,125400,,06/02/2021,CO
Vallecito,77285,125400,,06/01/2021,CO
