reservoir,storage,capacity,pct_full,date,state
"Red Fleet",13854,26000,,04/24/2019,UT
"Red Fleet",13815,26000,,04/23/2019,UT
"Red Fleet",13776,26000,,04/22/2019,UT
"Red Fleet",13741,26000,,04/21/2019,UT
"Red Fleet",13706,26000,,04/20/2019,UT
"Red Fleet",13671,26000,,04/19/2019,UT
"Red Fleet",13644,26000,,04/18/2019,UT
"Red Fleet",13618,26000,,04/17/2019,UT
"Red Fleet",13606,26000,,04/16/2019,UT
"Red Fleet",13594,26000,,04/15/2019,UT
"Red Fleet",13587,26000,,04/14/2019,UT
"Red Fleet",13559,26000,,04/13/2019,UT
"Red Fleet",13541,26000,,04/12/2019,UT
"Red Fleet",13517,26000,,04/11/2019,UT
"Red Fleet",13499,26000,,04/10/2019,UT
"Red Fleet",13482,26000,,04/09/2019,UT
"Red Fleet",13454,26000,,04/08/2019,UT
"Red Fleet",13435,26000,,04/07/2019,UT
"Red Fleet",13417,26000,,04/06/2019,UT
"Red Fleet",13398,26000,,04/05/2019,UT
"Red Fleet",13377,26000,,04/04/2019,UT
"Red Fleet",13360,26000,,04/03/2019,UT
"Red Fleet",13330,26000,,04/02/2019,UT
"Red Fleet",13301,26000,,04/01/2019,UT
