reservoir,storage,capacity,pct_full,date,state
Navajo,1116694,1708600,,04/30/2019,CO
Navajo,1106333,1708600,,04/29/2019,CO
Navajo,1097967,1708600,,04/28/2019,CO
Navajo,1089966,1708600,,04/27/2019,CO
Navajo,1081690,1708600,,04/26/2019,CO
Navajo,1073880,1708600,,04/25/2019,CO
Navajo,1067263,1708600,,04/24/2019,CO
Navajo,1061615,1708600,,04/23/2019,CO
Navajo,1055470,1708600,,04/22/2019,CO
Navajo,1048729,1708600,,04/21/2019,CO
Navajo,1042226,1708600,,04/20/2019,CO
Navajo,1034421,1708600,,04/19/2019,CO
Navajo,1028290,1708600,,04/18/2019,CO
Navajo,1023405,1708600,,04/17/2019,CO
Navajo,1019144,1708600,,04/16/2019,CO
Navajo,1015401,1708600,,04/15/2019,CO
Navajo,1012072,1708600,,04/14/2019,CO
Navajo,1009354,1708600,,04/13/2019,CO
Navajo,1006642,1708600,,04/12/2019,CO
Navajo,1003234,1708600,,04/11/2019,CO
Navajo,997939,1708600,,04/10/2019,CO
Navajo,990284,1708600,,04/09/2019,CO
Navajo,982476,1708600,,04/08/2019,CO
Navajo,977363,1708600,,04/07/2019,CO
Navajo,973247,1708600,,04/06/2019,CO
Navajo,969633,1708600,,04/05/2019,CO
Navajo,966223,1708600,,04/04/2019,CO
Navajo,963599,1708600,,04/03/2019,CO
Navajo,960883,1708600,,04/02/2019,CO
Navajo,958270,1708600,,04/01/2019,CO
