reservoir,storage,capacity,pct_full,date,state
"Lake Powell",8327615,24322000,,06/30/2021,AZ&UT
"Lake Powell",8333697,24322000,,06/29/2021,AZ&UT
"Lake Powell",8345871,24322000,,06/28/2021,AZ&UT
"Lake Powell",8358057,24322000,,06/27/2021,AZ&UT
"Lake Powell",8366443,24322000,,06/26/2021,AZ&UT
"Lake Powell",8376360,24322000,,06/25/2021,AZ&UT
"Lake Powell",8389342,24322000,,06/24/2021,AZ&UT
"Lake Powell",8406162,24322000,,06/23/2021,AZ&UT
"Lake Powell",8416112,24322000,,06/22/2021,AZ&UT
"Lake Powell",8426071,24322000,,06/21/2021,AZ&UT
"Lake Powell",8436804,24322000,,06/20/2021,AZ&UT
"Lake Powell",8438338,24322000,,06/19/2021,AZ&UT
"Lake Powell",8446012,24322000,,06/18/2021,AZ&UT
"Lake Powell",8451387,24322000,,06/17/2021,AZ&UT
"Lake Powell",8457532,24322000,,06/16/2021,AZ&UT
"Lake Powell",8459068,24322000,,06/15/2021,AZ&UT
"Lake Powell",8459068,24322000,,06/14/2021,AZ&UT
"Lake Powell",8457532,24322000,,06/13/2021,AZ&UT
"Lake Powell",8452923,24322000,,06/12/2021,AZ&UT
"Lake Powell",8449851,24322000,,06/11/2021,AZ&UT
"Lake Powell",8446012,24322000,,06/10/2021,AZ&UT
"Lake Powell",8441407,24322000,,06/09/2021,AZ&UT
"Lake Powell",8436804,24322000,,06/08/2021,AZ&UT
"Lake Powell",8430670,24322000,,06/07/2021,AZ&UT
"Lake Powell",8426071,24322000,,06/06/2021,AZ&UT
"Lake Powell",8419941,24322000,,06/05/2021,AZ&UT
"Lake Powell",8417644,24322000,,06/04/2021,AZ&UT
"Lake Powell",8408457,24322000,,06/03/2021,AZ&UT
"Lake Powell",8394691,24322000,,06/02/2021,AZ&UT
"Lake Powell",8379414,24322000,,06/01/2021,AZ&UT
