reservoir,storage,capacity,pct_full,date,state
Echo,50064,74000,,04/30/2019,UT
Echo,49389,74000,,04/29/2019,UT
Echo,48631,74000,,04/28/2019,UT
Echo,47805,74000,,04/27/2019,UT
Echo,46851,74000,,04/26/2019,UT
Echo,46004,74000,,04/25/2019,UT
Echo,45238,74000,,04/24/2019,UT
Echo,44505,74000,,04/23/2019,UT
Echo,43781,74000,,04/22/2019,UT
Echo,43099,74000,,04/21/2019,UT
Echo,42313,74000,,04/20/2019,UT
Echo,41528,74000,,04/19/2019,UT
Echo,40893,74000,,04/18/2019,UT
Echo,40175,74000,,04/17/2019,UT
Echo,39355,74000,,04/16/2019,UT
Echo,38446,74000,,04/15/2019,UT
Echo,37799,74000,,04/14/2019,UT
Echo,37408,74000,,04/13/2019,UT
Echo,37008,74000,,04/12/2019,UT
Echo,36527,74000,,04/11/2019,UT
Echo,36027,74000,,04/10/2019,UT
Echo,35398,74000,,04/09/2019,UT
Echo,34778,74000,,04/08/2019,UT
Echo,34305,74000,,04/07/2019,UT
Echo,33828,74000,,04/06/2019,UT
Echo,33335,74000,,04/05/2019,UT
Echo,32888,74000,,04/04/2019,UT
Echo,32598,74000,,04/03/2019,UT
Echo,32310,74000,,04/02/2019,UT
Echo,32101,74000,,04/01/2019,UT
