reservoir,storage,capacity,pct_full,date,state
Causey,6627,8730,,04/30/2019,UT
Causey,6376,8730,,04/29/2019,UT
Causey,6021,8730,,04/28/2019,UT
Causey,5567,8730,,04/27/2019,UT
Causey,5047,8730,,04/26/2019,UT
Causey,4535,8730,,04/25/2019,UT
Causey,4098,8730,,04/24/2019,UT
Causey,3725,8730,,04/23/2019,UT
Causey,3477,8730,,04/22/2019,UT
Causey,3194,8730,,04/21/2019,UT
Causey,2892,8730,,04/20/2019,UT
Causey,2654,8730,,04/19/2019,UT
Causey,2516,8730,,04/18/2019,UT
Causey,2444,8730,,04/17/2019,UT
Causey,2342,8730,,04/16/2019,UT
Causey,2202,8730,,04/15/2019,UT
Causey,2094,8730,,04/14/2019,UT
Causey,2164,8730,,04/13/2019,UT
Causey,2248,8730,,04/12/2019,UT
Causey,2301,8730,,04/11/2019,UT
Causey,2291,8730,,04/10/2019,UT
Causey,2326,8730,,04/09/2019,UT
Causey,2340,8730,,04/08/2019,UT
Causey,2406,8730,,04/07/2019,UT
Causey,2478,8730,,04/06/2019,UT
Causey,2551,8730,,04/05/2019,UT
Causey,2652,8730,,04/04/2019,UT
Causey,2780,8730,,04/03/2019,UT
Causey,2929,8730,,04/02/2019,UT
Causey,3100,8730,,04/01/2019,UT
