reservoir,storage,capacity,pct_full,date,state
Rockport,41475,62100,,04/30/2019,UT
Rockport,41509,62100,,04/29/2019,UT
Rockport,41535,62100,,04/28/2019,UT
Rockport,41544,62100,,04/27/2019,UT
Rockport,41458,62100,,04/26/2019,UT
Rockport,41423,62100,,04/25/2019,UT
Rockport,41458,62100,,04/24/2019,UT
Rockport,41458,62100,,04/23/2019,UT
Rockport,41509,62100,,04/22/2019,UT
Rockport,41535,62100,,04/21/2019,UT
Rockport,41570,62100,,04/20/2019,UT
Rockport,41596,62100,,04/19/2019,UT
Rockport,41535,62100,,04/18/2019,UT
Rockport,41388,62100,,04/17/2019,UT
Rockport,41130,62100,,04/16/2019,UT
Rockport,40829,62100,,04/15/2019,UT
Rockport,40633,62100,,04/14/2019,UT
Rockport,40547,62100,,04/13/2019,UT
Rockport,40419,62100,,04/12/2019,UT
Rockport,40224,62100,,04/11/2019,UT
Rockport,40020,62100,,04/10/2019,UT
Rockport,39699,62100,,04/09/2019,UT
Rockport,39414,62100,,04/08/2019,UT
Rockport,39263,62100,,04/07/2019,UT
Rockport,39054,62100,,04/06/2019,UT
Rockport,38720,62100,,04/05/2019,UT
Rockport,38298,62100,,04/04/2019,UT
Rockport,37730,62100,,04/03/2019,UT
Rockport,37175,62100,,04/02/2019,UT
Rockport,36761,62100,,04/01/2019,UT
