reservoir,storage,capacity,pct_full,date,state
"Silver Jack",3156,12820,,04/30/2019,CO
"Silver Jack",3228,12820,,04/29/2019,CO
"Silver Jack",3173,12820,,04/28/2019,CO
"Silver Jack",3047,12820,,04/27/2019,CO
"Silver Jack",2902,12820,,04/26/2019,CO
"Silver Jack",2779,12820,,04/25/2019,CO
"Silver Jack",2688,12820,,04/24/2019,CO
"Silver Jack",2656,12820,,04/23/2019,CO
"Silver Jack",2635,12820,,04/22/2019,CO
"Silver Jack",2566,12820,,04/21/2019,CO
"Silver Jack",2467,12820,,04/20/2019,CO
"Silver Jack",2357,12820,,04/19/2019,CO
"Silver Jack",2283,12820,,04/18/2019,CO
"Silver Jack",2246,12820,,04/17/2019,CO
"Silver Jack",2226,12820,,04/16/2019,CO
"Silver Jack",2204,12820,,04/15/2019,CO
"Silver Jack",2190,12820,,04/14/2019,CO
"Silver Jack",2184,12820,,04/13/2019,CO
"Silver Jack",2173,12820,,04/12/2019,CO
"Silver Jack",2155,12820,,04/11/2019,CO
"Silver Jack",2131,12820,,04/10/2019,CO
"Silver Jack",2085,12820,,04/09/2019,CO
"Silver Jack",2035,12820,,04/08/2019,CO
"Silver Jack",2004,12820,,04/07/2019,CO
"Silver Jack",1992,12820,,04/06/2019,CO
"Silver Jack",1987,12820,,04/05/2019,CO
"Silver Jack",1984,12820,,04/04/2019,CO
"Silver Jack",1987,12820,,04/03/2019,CO
"Silver Jack",1991,12820,,04/02/2019,CO
"Silver Jack",1995,12820,,04/01/2019,CO
