reservoir,storage,capacity,pct_full,date,state
Newton,2173,5600,,06/30/2021,UT
Newton,2225,5600,,06/29/2021,UT
Newton,2290,5600,,06/28/2021,UT
Newton,2356,5600,,06/27/2021,UT
Newton,2425,5600,,06/26/2021,UT
Newton,2494,5600,,06/25/2021,UT
Newton,2569,5600,,06/24/2021,UT
Newton,2622,5600,,06/23/2021,UT
Newton,2677,5600,,06/22/2021,UT
Newton,2717,5600,,06/21/2021,UT
Newton,2776,5600,,06/20/2021,UT
Newton,2810,5600,,06/19/2021,UT
Newton,2859,5600,,06/18/2021,UT
Newton,2907,5600,,06/17/2021,UT
Newton,2960,5600,,06/16/2021,UT
Newton,3018,5600,,06/15/2021,UT
Newton,3060,5600,,06/14/2021,UT
Newton,3106,5600,,06/13/2021,UT
Newton,3170,5600,,06/12/2021,UT
Newton,3217,5600,,06/11/2021,UT
Newton,3249,5600,,06/10/2021,UT
Newton,3272,5600,,06/09/2021,UT
Newton,3306,5600,,06/08/2021,UT
Newton,3341,5600,,06/07/2021,UT
Newton,3381,5600,,06/06/2021,UT
Newton,3401,5600,,06/05/2021,UT
Newton,3426,5600,,06/04/2021,UT
Newton,3453,5600,,06/03/2021,UT
Newton,3483,5600,,06/02/2021,UT
Newton,3519,5600,,06/01/2021,UT
