reservoir,storage,capacity,pct_full,date,state
"Elephant Butte",139027,2065010,,06/30/2021,NM
"Elephant Butte",140139,2065010,,06/29/2021,NM
"Elephant Butte",143507,2065010,,06/28/2021,NM
"Elephant Butte",146669,2065010,,06/27/2021,NM
"Elephant Butte",150389,2065010,,06/26/2021,NM
"Elephant Butte",153967,2065010,,06/25/2021,NM
"Elephant Butte",157398,2065010,,06/24/2021,NM
"Elephant Butte",160874,2065010,,06/23/2021,NM
"Elephant Butte",164464,2065010,,06/22/2021,NM
"Elephant Butte",168101,2065010,,06/21/2021,NM
"Elephant Butte",171716,2065010,,06/20/2021,NM
"Elephant Butte",175236,2065010,,06/19/2021,NM
"Elephant Butte",178798,2065010,,06/18/2021,NM
"Elephant Butte",182183,2065010,,06/17/2021,NM
"Elephant Butte",185749,2065010,,06/16/2021,NM
"Elephant Butte",189279,2065010,,06/15/2021,NM
"Elephant Butte",192621,2065010,,06/14/2021,NM
"Elephant Butte",196074,2065010,,06/13/2021,NM
"Elephant Butte",199339,2065010,,06/12/2021,NM
"Elephant Butte",202407,2065010,,06/11/2021,NM
"Elephant Butte",205349,2065010,,06/10/2021,NM
"Elephant Butte",208320,2065010,,06/09/2021,NM
"Elephant Butte",211159,2065010,,06/08/2021,NM
"Elephant Butte",214182,2065010,,06/07/2021,NM
"Elephant Butte",217232,2065010,,06/06/2021,NM
"Elephant Butte",220229,2065010,,06/05/2021,NM
"Elephant Butte",223087,2065010,,06/04/2021,NM
"Elephant Butte",225720,2065010,,06/03/2021,NM
"Elephant Butte",228873,2065010,,06/02/2021,NM
"Elephant Butte",231298,2065010,,06/01/2021,NM
