reservoir,storage,capacity,pct_full,date,state
Paonia,6244,20950,,04/30/2019,CO
Paonia,5245,20950,,04/29/2019,CO
Paonia,4695,20950,,04/28/2019,CO
Paonia,4291,20950,,04/27/2019,CO
Paonia,3819,20950,,04/26/2019,CO
Paonia,3765,20950,,04/25/2019,CO
Paonia,3787,20950,,04/24/2019,CO
Paonia,3743,20950,,04/23/2019,CO
Paonia,3687,20950,,04/22/2019,CO
Paonia,3679,20950,,04/21/2019,CO
Paonia,3600,20950,,04/20/2019,CO
Paonia,3485,20950,,04/19/2019,CO
Paonia,3395,20950,,04/18/2019,CO
Paonia,3159,20950,,04/17/2019,CO
Paonia,2929,20950,,04/16/2019,CO
Paonia,2809,20950,,04/15/2019,CO
Paonia,2825,20950,,04/14/2019,CO
Paonia,2962,20950,,04/13/2019,CO
Paonia,3102,20950,,04/12/2019,CO
Paonia,3301,20950,,04/11/2019,CO
Paonia,3580,20950,,04/10/2019,CO
Paonia,3759,20950,,04/09/2019,CO
Paonia,3887,20950,,04/08/2019,CO
Paonia,3815,20950,,04/07/2019,CO
Paonia,3667,20950,,04/06/2019,CO
Paonia,3594,20950,,04/05/2019,CO
Paonia,3578,20950,,04/04/2019,CO
Paonia,3641,20950,,04/03/2019,CO
Paonia,3723,20950,,04/02/2019,CO
Paonia,3842,20950,,04/01/2019,CO
