reservoir,storage,capacity,pct_full,date,state
"Taylor Park",63932,106200,,04/30/2019,CO
"Taylor Park",63333,106200,,04/29/2019,CO
"Taylor Park",62783,106200,,04/28/2019,CO
"Taylor Park",62177,106200,,04/27/2019,CO
"Taylor Park",61370,106200,,04/26/2019,CO
"Taylor Park",61006,106200,,04/25/2019,CO
"Taylor Park",60628,106200,,04/24/2019,CO
"Taylor Park",60325,106200,,04/23/2019,CO
"Taylor Park",60123,106200,,04/22/2019,CO
"Taylor Park",60008,106200,,04/21/2019,CO
"Taylor Park",59806,106200,,04/20/2019,CO
"Taylor Park",59663,106200,,04/19/2019,CO
"Taylor Park",59534,106200,,04/18/2019,CO
"Taylor Park",59520,106200,,04/17/2019,CO
"Taylor Park",59591,106200,,04/16/2019,CO
"Taylor Park",59605,106200,,04/15/2019,CO
"Taylor Park",59591,106200,,04/14/2019,CO
"Taylor Park",59691,106200,,04/13/2019,CO
"Taylor Park",59749,106200,,04/12/2019,CO
"Taylor Park",59778,106200,,04/11/2019,CO
"Taylor Park",59864,106200,,04/10/2019,CO
"Taylor Park",59821,106200,,04/09/2019,CO
"Taylor Park",59806,106200,,04/08/2019,CO
"Taylor Park",59821,106200,,04/07/2019,CO
"Taylor Park",59878,106200,,04/06/2019,CO
"Taylor Park",59964,106200,,04/05/2019,CO
"Taylor Park",60008,106200,,04/04/2019,CO
"Taylor Park",60036,106200,,04/03/2019,CO
"Taylor Park",60281,106200,,04/02/2019,CO
"Taylor Park",60354,106200,,04/01/2019,CO
