reservoir,storage,capacity,pct_full,date,state
"Meeks Cabin",10138,32470,,06/30/2021,WY
"Meeks Cabin",10420,32470,,06/29/2021,WY
"Meeks Cabin",10723,32470,,06/28/2021,WY
"Meeks Cabin",11114,32470,,06/27/2021,WY
"Meeks Cabin",11507,32470,,06/26/2021,WY
"Meeks Cabin",11841,32470,,06/25/2021,WY
"Meeks Cabin",12024,32470,,06/24/2021,WY
"Meeks Cabin",12331,32470,,06/23/2021,WY
"Meeks Cabin",12721,32470,,06/22/2021,WY
"Meeks Cabin",13063,32470,,06/21/2021,WY
"Meeks Cabin",13390,32470,,06/20/2021,WY
"Meeks Cabin",13693,32470,,06/19/2021,WY
"Meeks Cabin",13955,32470,,06/18/2021,WY
"Meeks Cabin",14193,32470,,06/17/2021,WY
"Meeks Cabin",14411,32470,,06/16/2021,WY
"Meeks Cabin",14595,32470,,06/15/2021,WY
"Meeks Cabin",14891,32470,,06/14/2021,WY
"Meeks Cabin",15405,32470,,06/13/2021,WY
"Meeks Cabin",15938,32470,,06/12/2021,WY
"Meeks Cabin",16404,32470,,06/11/2021,WY
"Meeks Cabin",16824,32470,,06/10/2021,WY
"Meeks Cabin",17124,32470,,06/09/2021,WY
"Meeks Cabin",17330,32470,,06/08/2021,WY
"Meeks Cabin",17373,32470,,06/07/2021,WY
"Meeks Cabin",17484,32470,,06/06/2021,WY
"Meeks Cabin",17470,32470,,06/05/2021,WY
"Meeks Cabin",17305,32470,,06/04/2021,WY
"Meeks Cabin",16983,32470,,06/03/2021,WY
"Meeks Cabin",16674,32470,,06/02/2021,WY
"Meeks Cabin",16539,32470,,06/01/2021,WY
