reservoir,storage,capacity,pct_full,date,state
Steinaker,7390,38173,,06/30/2021,UT
Steinaker,7497,38173,,06/29/2021,UT
Steinaker,7611,38173,,06/28/2021,UT
Steinaker,7707,38173,,06/27/2021,UT
Steinaker,7827,38173,,06/26/2021,UT
Steinaker,7956,38173,,06/25/2021,UT
Steinaker,8121,38173,,06/24/2021,UT
Steinaker,8319,38173,,06/23/2021,UT
Steinaker,8528,38173,,06/22/2021,UT
Steinaker,8718,38173,,06/21/2021,UT
Steinaker,8890,38173,,06/20/2021,UT
Steinaker,9055,38173,,06/19/2021,UT
Steinaker,9217,38173,,06/18/2021,UT
Steinaker,9376,38173,,06/17/2021,UT
Steinaker,9554,38173,,06/16/2021,UT
Steinaker,9724,38173,,06/15/2021,UT
Steinaker,9861,38173,,06/14/2021,UT
Steinaker,9982,38173,,06/13/2021,UT
Steinaker,10116,38173,,06/12/2021,UT
Steinaker,10204,38173,,06/11/2021,UT
Steinaker,10296,38173,,06/10/2021,UT
Steinaker,10370,38173,,06/09/2021,UT
Steinaker,10414,38173,,06/08/2021,UT
Steinaker,10441,38173,,06/07/2021,UT
Steinaker,10427,38173,,06/06/2021,UT
Steinaker,10392,38173,,06/05/2021,UT
Steinaker,10309,38173,,06/04/2021,UT
Steinaker,10199,38173,,06/03/2021,UT
Steinaker,10138,38173,,06/02/2021,UT
Steinaker,10095,38173,,06/01/2021,UT
