reservoir,storage,capacity,pct_full,date,state
"Currant Creek",15133,15670,,06/30/2021,UT
"Currant Creek",15139,15670,,06/29/2021,UT
"Currant Creek",15150,15670,,06/28/2021,UT
"Currant Creek",15156,15670,,06/27/2021,UT
"Currant Creek",15116,15670,,06/26/2021,UT
"Currant Creek",15063,15670,,06/25/2021,UT
"Currant Creek",15012,15670,,06/24/2021,UT
"Currant Creek",14956,15670,,06/23/2021,UT
"Currant Creek",14909,15670,,06/22/2021,UT
"Currant Creek",14864,15670,,06/21/2021,UT
"Currant Creek",14814,15670,,06/20/2021,UT
"Currant Creek",14753,15670,,06/19/2021,UT
"Currant Creek",14683,15670,,06/18/2021,UT
"Currant Creek",14603,15670,,06/17/2021,UT
"Currant Creek",14534,15670,,06/16/2021,UT
"Currant Creek",14457,15670,,06/15/2021,UT
"Currant Creek",14389,15670,,06/14/2021,UT
"Currant Creek",14356,15670,,06/13/2021,UT
"Currant Creek",14364,15670,,06/12/2021,UT
"Currant Creek",14370,15670,,06/11/2021,UT
"Currant Creek",14375,15670,,06/10/2021,UT
"Currant Creek",14386,15670,,06/09/2021,UT
"Currant Creek",14408,15670,,06/08/2021,UT
"Currant Creek",14427,15670,,06/07/2021,UT
"Currant Creek",14490,15670,,06/06/2021,UT
"Currant Creek",14551,15670,,06/05/2021,UT
"Currant Creek",14609,15670,,06/04/2021,UT
"Currant Creek",14653,15670,,06/03/2021,UT
"Currant Creek",14689,15670,,06/02/2021,UT
"Currant Creek",14716,15670,,06/01/2021,UT
