reservoir,storage,capacity,pct_full,date,state
Stateline,5482,12000,,04/30/2019,UT
Stateline,5354,12000,,04/29/2019,UT
Stateline,5203,12000,,04/28/2019,UT
Stateline,5048,12000,,04/27/2019,UT
Stateline,4899,12000,,04/26/2019,UT
Stateline,4782,12000,,04/25/2019,UT
Stateline,4699,12000,,04/24/2019,UT
Stateline,4636,12000,,04/23/2019,UT
Stateline,4589,12000,,04/22/2019,UT
Stateline,4547,12000,,04/21/2019,UT
Stateline,4507,12000,,04/20/2019,UT
Stateline,4475,12000,,04/19/2019,UT
Stateline,4451,12000,,04/18/2019,UT
Stateline,4434,12000,,04/17/2019,UT
Stateline,4417,12000,,04/16/2019,UT
Stateline,4395,12000,,04/15/2019,UT
Stateline,4376,12000,,04/14/2019,UT
Stateline,4360,12000,,04/13/2019,UT
Stateline,4343,12000,,04/12/2019,UT
Stateline,4328,12000,,04/11/2019,UT
Stateline,4317,12000,,04/10/2019,UT
Stateline,4296,12000,,04/09/2019,UT
Stateline,4268,12000,,04/08/2019,UT
Stateline,4255,12000,,04/07/2019,UT
Stateline,4247,12000,,04/06/2019,UT
Stateline,4237,12000,,04/05/2019,UT
Stateline,4227,12000,,04/04/2019,UT
Stateline,4219,12000,,04/03/2019,UT
Stateline,4211,12000,,04/02/2019,UT
Stateline,4200,12000,,04/01/2019,UT
