Utah, Precipitation, February
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189502,1.61,0.39
189602,0.52,-0.70
189702,2.68,1.46
189802,0.47,-0.75
189902,1.62,0.40
190002,0.56,-0.66
190102,2.36,1.14
190202,0.89,-0.33
190302,1.15,-0.07
190402,1.58,0.36
190502,2.37,1.15
190602,0.89,-0.33
190702,1.60,0.38
190802,1.53,0.31
190902,2.07,0.85
191002,1.07,-0.15
191102,1.65,0.43
191202,0.80,-0.42
191302,1.56,0.34
191402,0.98,-0.24
191502,1.99,0.77
191602,1.22,0.00
191702,1.36,0.14
191802,1.07,-0.15
191902,1.63,0.41
192002,1.53,0.31
192102,0.66,-0.56
192202,1.61,0.39
192302,0.87,-0.35
192402,0.28,-0.94
192502,1.00,-0.22
192602,1.21,-0.01
192702,2.51,1.29
192802,1.06,-0.16
192902,1.36,0.14
193002,0.90,-0.32
193102,0.91,-0.31
193202,2.00,0.78
193302,0.53,-0.69
193402,1.26,0.04
193502,1.03,-0.19
193602,2.47,1.25
193702,1.67,0.45
193802,1.43,0.21
193902,1.12,-0.10
194002,1.86,0.64
194102,1.50,0.28
194202,1.00,-0.22
194302,0.99,-0.23
194402,1.15,-0.07
194502,1.46,0.24
194602,0.24,-0.98
194702,0.59,-0.63
194802,1.39,0.17
194902,0.96,-0.26
195002,0.61,-0.61
195102,0.74,-0.48
195202,0.68,-0.54
195302,0.56,-0.66
195402,0.45,-0.77
195502,1.53,0.31
195602,0.69,-0.53
195702,0.70,-0.52
195802,1.64,0.42
195902,1.78,0.56
196002,1.55,0.33
196102,0.51,-0.71
196202,2.48,1.26
196302,0.90,-0.32
196402,0.25,-0.97
196502,0.90,-0.32
196602,1.05,-0.17
196702,0.25,-0.97
196802,1.57,0.35
196902,2.35,1.13
197002,0.49,-0.73
197102,1.19,-0.03
197202,0.19,-1.03
197302,0.99,-0.23
197402,0.45,-0.77
197502,0.92,-0.30
197602,1.80,0.58
197702,0.42,-0.80
197802,1.78,0.56
197902,1.22,0.00
198002,2.67,1.45
198102,0.49,-0.73
198202,0.76,-0.46
198302,1.39,0.17
198402,0.78,-0.44
198502,0.68,-0.54
198602,1.91,0.69
198702,1.22,0.00
198802,0.36,-0.86
198902,1.06,-0.16
199002,1.20,-0.02
199102,0.49,-0.73
199202,1.35,0.13
199302,2.36,1.14
199402,1.58,0.36
199502,0.90,-0.32
199602,1.42,0.20
199702,1.00,-0.22
199802,2.33,1.11
199902,0.93,-0.29
200002,1.92,0.70
200102,1.24,0.02
200202,0.28,-0.94
200302,1.47,0.25
200402,1.89,0.67
200502,1.61,0.39
200602,0.56,-0.66
200702,1.05,-0.17
200802,1.53,0.31
200902,0.98,-0.24
201002,1.11,-0.11
201102,1.21,-0.01
201202,1.04,-0.18
201302,0.52,-0.70
201402,1.06,-0.16
201502,0.63,-0.59
201602,0.62,-0.60
201702,1.54,0.32
201802,0.83,-0.39
201902,2.23,1.01
