California, Precipitation, June
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189506,0.04,-0.31
189606,0.08,-0.27
189706,0.58,0.23
189806,0.48,0.13
189906,0.49,0.14
190006,0.32,-0.03
190106,0.04,-0.31
190206,0.08,-0.27
190306,0.21,-0.14
190406,0.09,-0.26
190506,0.13,-0.22
190606,0.77,0.42
190706,0.91,0.56
190806,0.19,-0.16
190906,0.21,-0.14
191006,0.07,-0.28
191106,0.18,-0.17
191206,0.49,0.14
191306,0.79,0.44
191406,0.70,0.35
191506,0.02,-0.33
191606,0.24,-0.11
191706,0.02,-0.33
191806,0.12,-0.23
191906,0.02,-0.33
192006,0.51,0.16
192106,0.19,-0.16
192206,0.34,-0.01
192306,0.66,0.31
192406,0.05,-0.30
192506,0.54,0.19
192606,0.09,-0.26
192706,0.37,0.02
192806,0.12,-0.23
192906,1.06,0.71
193006,0.05,-0.30
193106,0.78,0.43
193206,0.22,-0.13
193306,0.21,-0.14
193406,0.68,0.33
193506,0.02,-0.33
193606,0.83,0.48
193706,0.75,0.40
193806,0.23,-0.12
193906,0.13,-0.22
194006,0.13,-0.22
194106,0.45,0.10
194206,0.10,-0.25
194306,0.54,0.19
194406,0.63,0.28
194506,0.40,0.05
194606,0.06,-0.29
194706,0.76,0.41
194806,0.66,0.31
194906,0.09,-0.26
195006,0.34,-0.01
195106,0.07,-0.28
195206,0.68,0.33
195306,0.61,0.26
195406,0.68,0.33
195506,0.10,-0.25
195606,0.20,-0.15
195706,0.14,-0.21
195806,0.87,0.52
195906,0.05,-0.30
196006,0.02,-0.33
196106,0.24,-0.11
196206,0.11,-0.24
196306,0.46,0.11
196406,0.63,0.28
196506,0.32,-0.03
196606,0.12,-0.23
196706,0.66,0.31
196806,0.21,-0.14
196906,0.60,0.25
197006,0.59,0.24
197106,0.41,0.06
197206,0.40,0.05
197306,0.06,-0.29
197406,0.13,-0.22
197506,0.20,-0.15
197606,0.15,-0.20
197706,0.35,0.00
197806,0.17,-0.18
197906,0.05,-0.30
198006,0.33,-0.02
198106,0.09,-0.26
198206,0.68,0.33
198306,0.23,-0.12
198406,0.43,0.08
198506,0.21,-0.14
198606,0.08,-0.27
198706,0.20,-0.15
198806,0.57,0.22
198906,0.31,-0.04
199006,0.18,-0.17
199106,0.32,-0.03
199206,0.71,0.36
199306,0.87,0.52
199406,0.10,-0.25
199506,0.95,0.60
199606,0.18,-0.17
199706,0.65,0.30
199806,0.77,0.42
199906,0.25,-0.10
200006,0.31,-0.04
200106,0.23,-0.12
200206,0.07,-0.28
200306,0.04,-0.31
200406,0.08,-0.27
200506,0.67,0.32
200606,0.15,-0.20
200706,0.12,-0.23
200806,0.03,-0.32
200906,0.60,0.25
201006,0.26,-0.09
201106,0.92,0.57
201206,0.32,-0.03
201306,0.38,0.03
201406,0.06,-0.29
201506,0.23,-0.12
201606,0.27,-0.08
201706,0.26,-0.09
201806,0.07,-0.28
201906,0.09,-0.26
202006,0.18,-0.17
