Wyoming, Precipitation, January
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,2.18,1.12
189601,1.51,0.45
189701,0.96,-0.10
189801,0.99,-0.07
189901,2.03,0.97
190001,0.39,-0.67
190101,0.74,-0.32
190201,0.45,-0.61
190301,1.36,0.30
190401,0.72,-0.34
190501,1.19,0.13
190601,1.06,0.00
190701,1.20,0.14
190801,0.60,-0.46
190901,2.17,1.11
191001,0.97,-0.09
191101,1.66,0.60
191201,1.01,-0.05
191301,1.08,0.02
191401,1.57,0.51
191501,0.91,-0.15
191601,1.61,0.55
191701,0.92,-0.14
191801,1.56,0.50
191901,0.29,-0.77
192001,0.64,-0.42
192101,1.18,0.12
192201,1.07,0.01
192301,1.10,0.04
192401,0.84,-0.22
192501,0.77,-0.29
192601,0.96,-0.10
192701,1.11,0.05
192801,1.20,0.14
192901,1.12,0.06
193001,1.19,0.13
193101,0.34,-0.72
193201,1.45,0.39
193301,0.94,-0.12
193401,0.59,-0.47
193501,0.54,-0.52
193601,1.58,0.52
193701,0.92,-0.14
193801,0.94,-0.12
193901,0.95,-0.11
194001,1.61,0.55
194101,0.56,-0.50
194201,0.81,-0.25
194301,1.80,0.74
194401,1.16,0.10
194501,0.81,-0.25
194601,0.82,-0.24
194701,0.84,-0.22
194801,1.27,0.21
194901,1.89,0.83
195001,1.76,0.70
195101,1.25,0.19
195201,0.84,-0.22
195301,1.46,0.40
195401,1.09,0.03
195501,0.71,-0.35
195601,1.38,0.32
195701,0.89,-0.17
195801,0.53,-0.53
195901,0.81,-0.25
196001,0.78,-0.28
196101,0.15,-0.91
196201,1.49,0.43
196301,1.30,0.24
196401,1.02,-0.04
196501,1.36,0.30
196601,0.51,-0.55
196701,1.35,0.29
196801,0.75,-0.31
196901,1.50,0.44
197001,1.26,0.20
197101,1.40,0.34
197201,1.82,0.76
197301,0.88,-0.18
197401,1.07,0.01
197501,1.47,0.41
197601,0.93,-0.13
197701,0.82,-0.24
197801,1.34,0.28
197901,1.14,0.08
198001,2.04,0.98
198101,0.47,-0.59
198201,1.27,0.21
198301,0.59,-0.47
198401,0.62,-0.44
198501,0.65,-0.41
198601,0.77,-0.29
198701,0.90,-0.16
198801,0.88,-0.18
198901,0.80,-0.26
199001,0.98,-0.08
199101,0.60,-0.46
199201,0.46,-0.60
199301,0.98,-0.08
199401,0.94,-0.12
199501,1.07,0.01
199601,1.62,0.56
199701,1.60,0.54
199801,1.41,0.35
199901,1.22,0.16
200001,1.18,0.12
200101,0.37,-0.69
200201,0.67,-0.39
200301,0.81,-0.25
200401,0.61,-0.45
200501,0.95,-0.11
200601,0.99,-0.07
200701,0.70,-0.36
200801,1.07,0.01
200901,1.34,0.28
201001,0.59,-0.47
201101,1.01,-0.05
201201,0.92,-0.14
201301,0.74,-0.32
201401,0.94,-0.12
201501,0.62,-0.44
201601,0.87,-0.19
201701,1.66,0.60
201801,0.90,-0.16
201901,0.86,-0.20
