Utah, Precipitation, September
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189509,0.63,-0.43
189609,1.42,0.36
189709,1.99,0.93
189809,0.22,-0.84
189909,0.09,-0.97
190009,1.48,0.42
190109,0.16,-0.90
190209,0.75,-0.31
190309,1.14,0.08
190409,0.58,-0.48
190509,2.17,1.11
190609,1.49,0.43
190709,0.52,-0.54
190809,1.83,0.77
190909,1.67,0.61
191009,1.38,0.32
191109,2.23,1.17
191209,0.57,-0.49
191309,1.26,0.20
191409,0.69,-0.37
191509,1.70,0.64
191609,0.49,-0.57
191709,1.13,0.07
191809,1.40,0.34
191909,1.50,0.44
192009,0.73,-0.33
192109,0.30,-0.76
192209,0.25,-0.81
192309,1.10,0.04
192409,0.90,-0.16
192509,1.57,0.51
192609,0.84,-0.22
192709,2.55,1.49
192809,0.27,-0.79
192909,2.06,1.00
193009,1.53,0.47
193109,0.69,-0.37
193209,0.39,-0.67
193309,0.64,-0.42
193409,0.43,-0.63
193509,0.47,-0.59
193609,0.52,-0.54
193709,1.21,0.15
193809,1.05,-0.01
193909,2.77,1.71
194009,2.89,1.83
194109,1.30,0.24
194209,0.51,-0.55
194309,0.50,-0.56
194409,0.26,-0.80
194509,0.54,-0.52
194609,0.27,-0.79
194709,0.54,-0.52
194809,0.46,-0.60
194909,0.84,-0.22
195009,0.89,-0.17
195109,0.35,-0.71
195209,0.69,-0.37
195309,0.06,-1.00
195409,1.67,0.61
195509,0.61,-0.45
195609,0.11,-0.95
195709,0.10,-0.96
195809,1.09,0.03
195909,1.26,0.20
196009,1.02,-0.04
196109,2.34,1.28
196209,1.18,0.12
196309,1.50,0.44
196409,0.50,-0.56
196509,1.73,0.67
196609,0.92,-0.14
196709,1.57,0.51
196809,0.29,-0.77
196909,0.82,-0.24
197009,1.09,0.03
197109,0.68,-0.38
197209,1.29,0.23
197309,0.91,-0.15
197409,0.23,-0.83
197509,0.50,-0.56
197609,0.98,-0.08
197709,0.75,-0.31
197809,1.39,0.33
197909,0.09,-0.97
198009,1.76,0.70
198109,1.32,0.26
198209,3.67,2.61
198309,1.59,0.53
198409,0.95,-0.11
198509,1.64,0.58
198609,1.95,0.89
198709,0.31,-0.75
198809,0.73,-0.33
198909,0.68,-0.38
199009,1.35,0.29
199109,1.58,0.52
199209,0.52,-0.54
199309,0.39,-0.67
199409,1.18,0.12
199509,0.71,-0.35
199609,1.31,0.25
199709,2.96,1.90
199809,1.73,0.67
199909,0.80,-0.26
200009,0.93,-0.13
200109,0.31,-0.75
200209,2.27,1.21
200309,0.64,-0.42
200409,1.22,0.16
200509,0.92,-0.14
200609,1.40,0.34
200709,1.40,0.34
200809,0.62,-0.44
200909,0.75,-0.31
201009,0.26,-0.80
201109,0.96,-0.10
201209,1.04,-0.02
201309,2.74,1.68
201409,2.66,1.60
201509,0.88,-0.18
201609,2.08,1.02
201709,1.54,0.48
201809,0.09,-0.97
