reservoir,storage,capacity,pct_capacity,date
"Henry Hagg Lake",34447,53640,64.2,01/2000,or
"Henry Hagg Lake",42291,53640,78.8,02/2000,or
"Henry Hagg Lake",49846,53640,92.9,03/2000,or
"Henry Hagg Lake",52654,53640,98.2,04/2000,or
"Henry Hagg Lake",53659,53640,100,05/2000,or
"Henry Hagg Lake",52839,53640,98.5,06/2000,or
"Henry Hagg Lake",47084,53640,87.8,07/2000,or
"Henry Hagg Lake",36163,53640,67.4,08/2000,or
"Henry Hagg Lake",25758,53640,48,09/2000,or
"Henry Hagg Lake",17391,53640,32.4,10/2000,or
"Henry Hagg Lake",12346,53640,23,11/2000,or
"Henry Hagg Lake",13261,53640,24.7,12/2000,or
"Henry Hagg Lake",17290,53640,32.2,01/2001,or
"Henry Hagg Lake",20410,53640,38,02/2001,or
"Henry Hagg Lake",23399,53640,43.6,03/2001,or
"Henry Hagg Lake",26057,53640,48.6,04/2001,or
"Henry Hagg Lake",28290,53640,52.7,05/2001,or
"Henry Hagg Lake",27007,53640,50.3,06/2001,or
"Henry Hagg Lake",21873,53640,40.8,07/2001,or
"Henry Hagg Lake",15546,53640,29,08/2001,or
"Henry Hagg Lake",10112,53640,18.9,09/2001,or
"Henry Hagg Lake",6025,53640,11.2,10/2001,or
"Henry Hagg Lake",7352,53640,13.7,11/2001,or
"Henry Hagg Lake",29250,53640,54.5,12/2001,or
"Henry Hagg Lake",37677,53640,70.2,01/2002,or
"Henry Hagg Lake",42497,53640,79.2,02/2002,or
"Henry Hagg Lake",50093,53640,93.4,03/2002,or
"Henry Hagg Lake",52674,53640,98.2,04/2002,or
"Henry Hagg Lake",53684,53640,100.1,05/2002,or
"Henry Hagg Lake",51473,53640,96,06/2002,or
"Henry Hagg Lake",43964,53640,82,07/2002,or
"Henry Hagg Lake",34662,53640,64.6,08/2002,or
"Henry Hagg Lake",24747,53640,46.1,09/2002,or
"Henry Hagg Lake",16855,53640,31.4,10/2002,or
"Henry Hagg Lake",12395,53640,23.1,11/2002,or
"Henry Hagg Lake",16588,53640,30.9,12/2002,or
"Henry Hagg Lake",33370,53640,62.2,01/2003,or
"Henry Hagg Lake",45041,53640,84,02/2003,or
"Henry Hagg Lake",50102,53640,93.4,03/2003,or
"Henry Hagg Lake",52759,53640,98.4,04/2003,or
"Henry Hagg Lake",53732,53640,100.2,05/2003,or
"Henry Hagg Lake",51345,53640,95.7,06/2003,or
"Henry Hagg Lake",43641,53640,81.4,07/2003,or
"Henry Hagg Lake",32645,53640,60.9,08/2003,or
"Henry Hagg Lake",23331,53640,43.5,09/2003,or
"Henry Hagg Lake",16214,53640,30.2,10/2003,or
"Henry Hagg Lake",12082,53640,22.5,11/2003,or
"Henry Hagg Lake",18820,53640,35.1,12/2003,or
"Henry Hagg Lake",31226,53640,58.2,01/2004,or
"Henry Hagg Lake",44478,53640,82.9,02/2004,or
"Henry Hagg Lake",49849,53640,92.9,03/2004,or
"Henry Hagg Lake",53001,53640,98.8,04/2004,or
"Henry Hagg Lake",53744,53640,100.2,05/2004,or
"Henry Hagg Lake",52752,53640,98.3,06/2004,or
"Henry Hagg Lake",45932,53640,85.6,07/2004,or
"Henry Hagg Lake",34061,53640,63.5,08/2004,or
"Henry Hagg Lake",26610,53640,49.6,09/2004,or
"Henry Hagg Lake",22441,53640,41.8,10/2004,or
"Henry Hagg Lake",22729,53640,42.4,11/2004,or
"Henry Hagg Lake",27236,53640,50.8,12/2004,or
"Henry Hagg Lake",33297,53640,62.1,01/2005,or
"Henry Hagg Lake",37913,53640,70.7,02/2005,or
"Henry Hagg Lake",40756,53640,76,03/2005,or
