reservoir,storage,capacity,pct_capacity,date
"Clear Lake",5320,13100,40.6,01/2000,
"Clear Lake",5705,13100,43.5,02/2000,
"Clear Lake",5961,13100,45.5,03/2000,
"Clear Lake",7056,13100,53.9,04/2000,
"Clear Lake",8937,13100,68.2,05/2000,
"Clear Lake",9266,13100,70.7,06/2000,
"Clear Lake",7967,13100,60.8,07/2000,
"Clear Lake",6293,13100,48,08/2000,
"Clear Lake",4855,13100,37.1,09/2000,
"Clear Lake",3558,13100,27.2,10/2000,
"Clear Lake",3703,13100,28.3,11/2000,
"Clear Lake",3626,13100,27.7,12/2000,
"Clear Lake",3496,13100,26.7,01/2001,
"Clear Lake",3359,13100,25.6,02/2001,
"Clear Lake",3248,13100,24.8,03/2001,
"Clear Lake",3503,13100,26.7,04/2001,
"Clear Lake",3692,13100,28.2,05/2001,
"Clear Lake",2539,13100,19.4,06/2001,
"Clear Lake",1239,13100,9.5,07/2001,
"Clear Lake",434,13100,3.3,08/2001,
"Clear Lake",285,13100,2.2,09/2001,
"Clear Lake",31,13100,0.2,10/2001,
"Clear Lake",275,13100,2.1,11/2001,
"Clear Lake",729,13100,5.6,12/2001,
"Clear Lake",1091,13100,8.3,01/2002,
"Clear Lake",1404,13100,10.7,02/2002,
"Clear Lake",1633,13100,12.5,03/2002,
"Clear Lake",2614,13100,20,04/2002,
"Clear Lake",4497,13100,34.3,05/2002,
"Clear Lake",5846,13100,44.6,06/2002,
"Clear Lake",5459,13100,41.7,07/2002,
"Clear Lake",4347,13100,33.2,08/2002,
"Clear Lake",2953,13100,22.5,09/2002,
"Clear Lake",2031,13100,15.5,10/2002,
"Clear Lake",1829,13100,14,11/2002,
"Clear Lake",1847,13100,14.1,12/2002,
"Clear Lake",2059,13100,15.7,01/2003,
"Clear Lake",2799,13100,21.4,02/2003,
"Clear Lake",3510,13100,26.8,03/2003,
"Clear Lake",4680,13100,35.7,04/2003,
"Clear Lake",5236,13100,40,05/2003,
"Clear Lake",4197,13100,32,06/2003,
"Clear Lake",2884,13100,22,07/2003,
"Clear Lake",1693,13100,12.9,08/2003,
"Clear Lake",868,13100,6.6,09/2003,
"Clear Lake",461,13100,3.5,10/2003,
"Clear Lake",559,13100,4.3,11/2003,
"Clear Lake",809,13100,6.2,12/2003,
"Clear Lake",1027,13100,7.8,01/2004,
"Clear Lake",1480,13100,11.3,02/2004,
"Clear Lake",1948,13100,14.9,03/2004,
"Clear Lake",3207,13100,24.5,04/2004,
"Clear Lake",4056,13100,31,05/2004,
"Clear Lake",4036,13100,30.8,06/2004,
"Clear Lake",2761,13100,21.1,07/2004,
"Clear Lake",1562,13100,11.9,08/2004,
"Clear Lake",556,13100,4.2,09/2004,
"Clear Lake",7,13100,0.1,10/2004,
"Clear Lake",202,13100,1.5,11/2004,
"Clear Lake",403,13100,3.1,12/2004,
"Clear Lake",549,13100,4.2,01/2005,
"Clear Lake",678,13100,5.2,02/2005,
"Clear Lake",761,13100,5.8,03/2005,
"Clear Lake",1071,13100,8.2,04/2005,
"Clear Lake",1327,13100,10.1,05/2005,
"Clear Lake",1284,13100,9.8,06/2005,
"Clear Lake",469,13100,3.6,07/2005,
