Arizona, Average Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189505,65.8,0.8
189605,65.8,0.8
189705,68.1,3.1
189805,63.6,-1.4
189905,61.4,-3.6
190005,67.1,2.1
190105,65.6,0.6
190205,65.4,0.4
190305,64.3,-0.7
190405,66.0,1.0
190505,61.1,-3.9
190605,63.9,-1.1
190705,61.4,-3.6
190805,61.1,-3.9
190905,62.4,-2.6
191005,68.3,3.3
191105,63.8,-1.2
191205,63.4,-1.6
191305,64.4,-0.6
191405,65.6,0.6
191505,60.8,-4.2
191605,63.6,-1.4
191705,59.3,-5.7
191805,61.6,-3.4
191905,66.8,1.8
192005,64.6,-0.4
192105,62.8,-2.2
192205,65.0,0.0
192305,66.5,1.5
192405,66.6,1.6
192505,68.3,3.3
192605,64.6,-0.4
192705,65.8,0.8
192805,67.6,2.6
192905,65.7,0.7
193005,60.7,-4.3
193105,66.6,1.6
193205,64.3,-0.7
193305,60.0,-5.0
193405,70.5,5.5
193505,61.3,-3.7
193605,68.4,3.4
193705,67.1,2.1
193805,64.7,-0.3
193905,66.9,1.9
194005,69.1,4.1
194105,65.1,0.1
194205,63.7,-1.3
194305,67.0,2.0
194405,63.9,-1.1
194505,64.8,-0.2
194605,64.7,-0.3
194705,68.5,3.5
194805,65.8,0.8
194905,64.2,-0.8
195005,63.6,-1.4
195105,65.2,0.2
195205,67.4,2.4
195305,59.8,-5.2
195405,67.5,2.5
195505,63.6,-1.4
195605,67.1,2.1
195705,61.3,-3.7
195805,69.7,4.7
195905,64.4,-0.6
196005,65.3,0.3
196105,65.1,0.1
196205,63.3,-1.7
196305,68.2,3.2
196405,64.3,-0.7
196505,61.8,-3.2
196605,68.1,3.1
196705,63.9,-1.1
196805,64.6,-0.4
196905,67.0,2.0
197005,66.4,1.4
197105,61.5,-3.5
197205,65.2,0.2
197305,66.1,1.1
197405,67.1,2.1
197505,62.1,-2.9
197605,66.3,1.3
197705,61.3,-3.7
197805,64.0,-1.0
197905,64.1,-0.9
198005,61.4,-3.6
198105,65.3,0.3
198205,64.2,-0.8
198305,64.0,-1.0
198405,70.9,5.9
198505,66.7,1.7
198605,66.6,1.6
198705,65.1,0.1
198805,65.4,0.4
198905,67.7,2.7
199005,64.9,-0.1
199105,63.2,-1.8
199205,66.7,1.7
199305,67.3,2.3
199405,65.2,0.2
199505,61.7,-3.3
199605,69.6,4.6
199705,70.5,5.5
199805,63.0,-2.0
199905,65.3,0.3
200005,71.2,6.2
200105,70.8,5.8
200205,67.0,2.0
200305,68.3,3.3
200405,68.4,3.4
200505,67.9,2.9
200605,70.0,5.0
200705,68.4,3.4
200805,63.6,-1.4
200905,70.8,5.8
201005,63.1,-1.9
201105,63.2,-1.8
201205,69.3,4.3
201305,67.4,2.4
201405,66.8,1.8
201505,62.9,-2.1
201605,64.6,-0.4
201705,66.1,1.1
201805,68.5,3.5
