Montana, Average Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189505,49.2,-1.0
189605,47.0,-3.2
189705,56.8,6.6
189805,49.0,-1.2
189905,45.4,-4.8
190005,54.6,4.4
190105,56.1,5.9
190205,51.7,1.5
190305,47.5,-2.7
190405,49.7,-0.5
190505,46.8,-3.4
190605,48.4,-1.8
190705,45.0,-5.2
190805,47.9,-2.3
190905,47.2,-3.0
191005,50.8,0.6
191105,49.0,-1.2
191205,49.0,-1.2
191305,48.8,-1.4
191405,51.0,0.8
191505,48.8,-1.4
191605,45.7,-4.5
191705,47.3,-2.9
191805,48.1,-2.1
191905,52.2,2.0
192005,48.6,-1.6
192105,49.8,-0.4
192205,49.3,-0.9
192305,50.4,0.2
192405,49.6,-0.6
192505,52.2,2.0
192605,52.6,2.4
192705,45.0,-5.2
192805,55.3,5.1
192905,47.7,-2.5
193005,49.5,-0.7
193105,52.0,1.8
193205,51.8,1.6
193305,48.4,-1.8
193405,58.3,8.1
193505,46.9,-3.3
193605,57.5,7.3
193705,53.4,3.2
193805,48.8,-1.4
193905,54.4,4.2
194005,53.8,3.6
194105,53.5,3.3
194205,47.3,-2.9
194305,46.9,-3.3
194405,53.1,2.9
194505,47.8,-2.4
194605,47.9,-2.3
194705,50.8,0.6
194805,51.5,1.3
194905,53.6,3.4
195005,46.5,-3.7
195105,50.9,0.7
195205,51.5,1.3
195305,46.3,-3.9
195405,49.1,-1.1
195505,48.4,-1.8
195605,51.2,1.0
195705,52.2,2.0
195805,57.2,7.0
195905,46.2,-4.0
196005,49.6,-0.6
196105,51.1,0.9
196205,49.2,-1.0
196305,50.1,-0.1
196405,50.7,0.5
196505,47.9,-2.3
196605,52.4,2.2
196705,47.6,-2.6
196805,47.2,-3.0
196905,51.9,1.7
197005,50.3,0.1
197105,50.8,0.6
197205,50.2,0.0
197305,50.2,0.0
197405,46.1,-4.1
197505,47.4,-2.8
197605,52.7,2.5
197705,51.7,1.5
197805,49.2,-1.0
197905,48.5,-1.7
198005,53.6,3.4
198105,50.7,0.5
198205,47.3,-2.9
198305,48.2,-2.0
198405,49.5,-0.7
198505,54.4,4.2
198605,50.8,0.6
198705,54.7,4.5
198805,54.7,4.5
198905,49.9,-0.3
199005,48.8,-1.4
199105,49.8,-0.4
199205,53.5,3.3
199305,53.7,3.5
199405,53.6,3.4
199505,48.4,-1.8
199605,45.9,-4.3
199705,51.0,0.8
199805,52.7,2.5
199905,48.7,-1.5
200005,51.5,1.3
200105,53.3,3.1
200205,47.5,-2.7
200305,50.1,-0.1
200405,48.1,-2.1
200505,49.0,-1.2
200605,52.9,2.7
200705,52.1,1.9
200805,49.6,-0.6
200905,50.5,0.3
201005,46.3,-3.9
201105,47.1,-3.1
201205,49.5,-0.7
201305,51.9,1.7
201405,51.1,0.9
201505,49.6,-0.6
201605,51.0,0.8
201705,52.3,2.1
201805,55.7,5.5
201905,47.7,-2.5
202005,50.5,0.3
202105,48.6,-1.6
