county,year,month,D0,D1,D2,D3,D4
Apache,2000,01,85.7,0.0,0.0,0.0,0.0
Apache,2000,02,100.0,0.0,0.0,0.0,0.0
Apache,2000,03,85.8,0.0,0.0,0.0,0.0
Apache,2000,04,62.4,5.1,0.0,0.0,0.0
Apache,2000,05,88.7,39.9,4.1,0.0,0.0
Apache,2000,06,100.0,68.2,8.1,0.0,0.0
Apache,2000,07,100.0,3.0,0.0,0.0,0.0
Apache,2000,08,83.6,14.2,0.0,0.0,0.0
Apache,2000,09,75.9,19.6,0.0,0.0,0.0
Apache,2000,10,70.7,54.4,0.9,0.0,0.0
Apache,2000,11,0.0,0.0,0.0,0.0,0.0
Apache,2000,12,0.0,0.0,0.0,0.0,0.0
Apache,2001,01,0.0,0.0,0.0,0.0,0.0
Apache,2001,02,0.0,0.0,0.0,0.0,0.0
Apache,2001,03,0.0,0.0,0.0,0.0,0.0
Apache,2001,04,0.0,0.0,0.0,0.0,0.0
Apache,2001,05,0.0,0.0,0.0,0.0,0.0
Apache,2001,06,14.6,0.0,0.0,0.0,0.0
Apache,2001,07,5.8,0.0,0.0,0.0,0.0
Apache,2001,08,0.0,0.0,0.0,0.0,0.0
Apache,2001,09,0.0,0.0,0.0,0.0,0.0
Apache,2001,10,0.0,0.0,0.0,0.0,0.0
Apache,2001,11,0.0,0.0,0.0,0.0,0.0
Apache,2001,12,0.0,0.0,0.0,0.0,0.0
Apache,2002,01,40.8,0.0,0.0,0.0,0.0
Apache,2002,02,96.8,42.3,0.0,0.0,0.0
Apache,2002,03,100.0,88.5,19.3,0.0,0.0
Apache,2002,04,100.0,100.0,96.0,21.4,0.0
Apache,2002,05,100.0,100.0,100.0,90.1,10.4
Apache,2002,06,100.0,100.0,100.0,100.0,50.4
Apache,2002,07,100.0,100.0,100.0,97.0,74.8
Apache,2002,08,100.0,100.0,100.0,81.8,40.7
Apache,2002,09,100.0,100.0,99.7,68.5,24.1
Apache,2002,10,100.0,100.0,99.1,55.2,20.5
Apache,2002,11,100.0,100.0,92.8,41.4,13.8
Apache,2002,12,100.0,100.0,88.0,41.8,12.5
Apache,2003,01,100.0,100.0,90.8,42.0,12.3
Apache,2003,02,100.0,100.0,84.9,36.1,7.5
