state,year,month,D0,D1,D2,D3,D4
CA,2000,01,64.5,0.0,0.0,0.0,0.0
CA,2000,02,34.7,0.0,0.0,0.0,0.0
CA,2000,03,4.3,0.0,0.0,0.0,0.0
CA,2000,04,2.5,0.0,0.0,0.0,0.0
CA,2000,05,0.0,0.0,0.0,0.0,0.0
CA,2000,06,0.0,0.0,0.0,0.0,0.0
CA,2000,07,1.9,0.0,0.0,0.0,0.0
CA,2000,08,18.4,0.5,0.0,0.0,0.0
CA,2000,09,12.3,0.0,0.0,0.0,0.0
CA,2000,10,10.6,0.0,0.0,0.0,0.0
CA,2000,11,0.0,0.0,0.0,0.0,0.0
CA,2000,12,0.0,0.0,0.0,0.0,0.0
CA,2001,01,27.0,0.0,0.0,0.0,0.0
CA,2001,02,33.0,2.0,0.0,0.0,0.0
CA,2001,03,26.7,3.8,0.0,0.0,0.0
CA,2001,04,30.8,13.9,3.4,0.6,0.0
CA,2001,05,37.6,16.2,4.0,0.2,0.0
CA,2001,06,51.9,25.1,12.6,0.3,0.0
CA,2001,07,47.3,27.2,19.0,8.7,0.0
CA,2001,08,46.8,30.6,23.3,13.7,0.0
CA,2001,09,61.9,44.6,32.2,18.9,0.0
CA,2001,10,68.6,47.5,33.4,18.8,0.0
CA,2001,11,67.6,46.9,31.7,18.1,0.0
CA,2001,12,47.0,28.5,17.3,4.4,0.0
CA,2002,01,12.4,2.3,1.0,0.0,0.0
CA,2002,02,40.3,0.2,0.0,0.0,0.0
CA,2002,03,45.8,16.7,0.4,0.0,0.0
CA,2002,04,46.4,35.3,22.1,0.1,0.0
CA,2002,05,55.0,38.3,26.5,1.3,0.0
CA,2002,06,84.6,46.4,30.7,7.6,0.0
CA,2002,07,93.7,53.8,37.1,19.9,0.0
CA,2002,08,95.0,56.4,40.1,25.1,0.0
CA,2002,09,94.6,55.8,39.9,23.6,0.0
CA,2002,10,98.8,67.4,39.3,23.8,0.0
CA,2002,11,96.0,45.7,33.0,21.6,0.0
