county,year,month,D0,D1,D2,D3,D4
Baker,2000,01,0.0,0.0,0.0,0.0,0.0
Baker,2000,02,0.0,0.0,0.0,0.0,0.0
Baker,2000,03,0.0,0.0,0.0,0.0,0.0
Baker,2000,04,0.0,0.0,0.0,0.0,0.0
Baker,2000,05,0.0,0.0,0.0,0.0,0.0
Baker,2000,06,0.0,0.0,0.0,0.0,0.0
Baker,2000,07,0.0,0.0,0.0,0.0,0.0
Baker,2000,08,80.9,31.2,0.0,0.0,0.0
Baker,2000,09,36.5,0.0,0.0,0.0,0.0
Baker,2000,10,6.2,0.0,0.0,0.0,0.0
Baker,2000,11,0.0,0.0,0.0,0.0,0.0
Baker,2000,12,0.0,0.0,0.0,0.0,0.0
Baker,2001,01,6.3,0.0,0.0,0.0,0.0
Baker,2001,02,34.6,6.6,0.0,0.0,0.0
Baker,2001,03,100.0,98.1,0.0,0.0,0.0
Baker,2001,04,100.0,100.0,0.0,0.0,0.0
Baker,2001,05,100.0,100.0,0.0,0.0,0.0
Baker,2001,06,100.0,100.0,34.5,0.0,0.0
Baker,2001,07,100.0,100.0,100.0,0.0,0.0
Baker,2001,08,100.0,100.0,100.0,0.0,0.0
Baker,2001,09,100.0,100.0,100.0,37.6,0.0
Baker,2001,10,100.0,100.0,100.0,50.2,0.0
Baker,2001,11,100.0,100.0,100.0,50.2,0.0
Baker,2001,12,100.0,100.0,100.0,33.8,0.0
Baker,2002,01,100.0,100.0,75.3,6.5,0.0
Baker,2002,02,100.0,100.0,0.0,0.0,0.0
Baker,2002,03,100.0,34.7,0.0,0.0,0.0
Baker,2002,04,75.5,15.0,0.0,0.0,0.0
Baker,2002,05,91.5,0.0,0.0,0.0,0.0
Baker,2002,06,92.4,1.0,0.0,0.0,0.0
Baker,2002,07,96.1,80.1,7.2,0.0,0.0
Baker,2002,08,100.0,100.0,91.0,0.0,0.0
Baker,2002,09,100.0,100.0,97.9,0.0,0.0
Baker,2002,10,100.0,100.0,99.9,0.0,0.0
Baker,2002,11,100.0,100.0,100.0,0.0,0.0
Baker,2002,12,100.0,100.0,100.0,0.0,0.0
Baker,2003,01,100.0,100.0,100.0,0.0,0.0
Baker,2003,02,100.0,100.0,95.6,0.0,0.0
Baker,2003,03,100.0,100.0,67.2,0.0,0.0
Baker,2003,04,99.8,80.9,11.4,0.0,0.0
Baker,2003,05,73.9,4.7,0.0,0.0,0.0
Baker,2003,06,49.4,0.0,0.0,0.0,0.0
Baker,2003,07,95.9,37.6,8.4,0.0,0.0
Baker,2003,08,100.0,100.0,29.5,0.0,0.0
Baker,2003,09,100.0,100.0,34.0,0.2,0.0
Baker,2003,10,100.0,100.0,80.0,0.0,0.0
Baker,2003,11,100.0,100.0,84.8,0.5,0.0
Baker,2003,12,100.0,100.0,82.2,23.4,0.0
Baker,2004,01,100.0,98.1,7.2,0.0,0.0
Baker,2004,02,34.2,3.1,0.0,0.0,0.0
Baker,2004,03,14.7,0.0,0.0,0.0,0.0
Baker,2004,04,13.3,0.0,0.0,0.0,0.0
Baker,2004,05,11.2,0.0,0.0,0.0,0.0
Baker,2004,06,7.9,0.0,0.0,0.0,0.0
Baker,2004,07,6.5,0.0,0.0,0.0,0.0
Baker,2004,08,3.7,0.0,0.0,0.0,0.0
Baker,2004,09,0.9,0.0,0.0,0.0,0.0
Baker,2004,10,1.3,0.0,0.0,0.0,0.0
Baker,2004,11,0.2,0.0,0.0,0.0,0.0
Baker,2004,12,0.1,0.0,0.0,0.0,0.0
Baker,2005,01,75.0,0.0,0.0,0.0,0.0
Baker,2005,02,100.0,100.0,34.3,0.0,0.0
Baker,2005,03,100.0,100.0,99.2,0.0,0.0
Baker,2005,04,100.0,100.0,100.0,0.0,0.0
Baker,2005,05,100.0,100.0,91.8,0.0,0.0
Baker,2005,06,100.0,100.0,6.1,0.0,0.0
Baker,2005,07,100.0,100.0,4.5,0.0,0.0
Baker,2005,08,100.0,100.0,4.5,0.0,0.0
Baker,2005,09,100.0,100.0,4.5,0.0,0.0
Baker,2005,10,100.0,100.0,4.5,0.0,0.0
Baker,2005,11,100.0,56.2,4.5,0.0,0.0
Baker,2005,12,99.4,0.3,0.0,0.0,0.0
Baker,2006,01,0.0,0.0,0.0,0.0,0.0
Baker,2006,02,0.0,0.0,0.0,0.0,0.0
Baker,2006,03,0.0,0.0,0.0,0.0,0.0
Baker,2006,04,0.0,0.0,0.0,0.0,0.0
Baker,2006,05,0.0,0.0,0.0,0.0,0.0
Baker,2006,06,0.0,0.0,0.0,0.0,0.0
Baker,2006,07,0.0,0.0,0.0,0.0,0.0
Baker,2006,08,0.0,0.0,0.0,0.0,0.0
Baker,2006,09,0.0,0.0,0.0,0.0,0.0
Baker,2006,10,17.6,0.0,0.0,0.0,0.0
Baker,2006,11,0.0,0.0,0.0,0.0,0.0
Baker,2006,12,0.0,0.0,0.0,0.0,0.0
Baker,2007,01,0.0,0.0,0.0,0.0,0.0
Baker,2007,02,3.7,0.0,0.0,0.0,0.0
Baker,2007,03,74.6,0.0,0.0,0.0,0.0
Baker,2007,04,90.9,0.0,0.0,0.0,0.0
Baker,2007,05,100.0,31.7,4.0,0.0,0.0
Baker,2007,06,100.0,69.4,20.2,0.0,0.0
Baker,2007,07,100.0,99.9,93.7,0.0,0.0
Baker,2007,08,100.0,100.0,100.0,0.0,0.0
Baker,2007,09,100.0,100.0,100.0,18.2,0.0
Baker,2007,10,100.0,100.0,100.0,21.0,0.0
Baker,2007,11,100.0,100.0,96.3,0.0,0.0
Baker,2007,12,100.0,100.0,0.0,0.0,0.0
Baker,2008,01,100.0,82.8,0.0,0.0,0.0
Baker,2008,02,100.0,41.3,0.0,0.0,0.0
Baker,2008,03,100.0,32.7,0.0,0.0,0.0
Baker,2008,04,37.3,0.0,0.0,0.0,0.0
Baker,2008,05,27.7,0.0,0.0,0.0,0.0
Baker,2008,06,49.5,0.0,0.0,0.0,0.0
Baker,2008,07,82.6,0.0,0.0,0.0,0.0
Baker,2008,08,100.0,0.0,0.0,0.0,0.0
Baker,2008,09,100.0,0.0,0.0,0.0,0.0
Baker,2008,10,100.0,0.0,0.0,0.0,0.0
Baker,2008,11,57.0,0.0,0.0,0.0,0.0
Baker,2008,12,13.9,0.0,0.0,0.0,0.0
Baker,2009,01,14.3,0.0,0.0,0.0,0.0
Baker,2009,02,54.0,9.5,0.0,0.0,0.0
Baker,2009,03,92.8,37.9,0.0,0.0,0.0
Baker,2009,04,92.8,37.9,0.0,0.0,0.0
Baker,2009,05,93.0,37.9,0.0,0.0,0.0
Baker,2009,06,49.5,15.0,0.0,0.0,0.0
Baker,2009,07,0.0,0.0,0.0,0.0,0.0
Baker,2009,08,0.0,0.0,0.0,0.0,0.0
Baker,2009,09,17.3,0.0,0.0,0.0,0.0
Baker,2009,10,43.2,0.0,0.0,0.0,0.0
Baker,2009,11,0.0,0.0,0.0,0.0,0.0
Baker,2009,12,0.0,0.0,0.0,0.0,0.0
Baker,2010,01,0.0,0.0,0.0,0.0,0.0
Baker,2010,02,75.0,0.0,0.0,0.0,0.0
Baker,2010,03,100.0,3.1,0.0,0.0,0.0
Baker,2010,04,97.1,4.0,0.0,0.0,0.0
Baker,2010,05,90.0,1.6,0.0,0.0,0.0
Baker,2010,06,13.9,0.0,0.0,0.0,0.0
Baker,2010,07,0.0,0.0,0.0,0.0,0.0
Baker,2010,08,0.0,0.0,0.0,0.0,0.0
Baker,2010,09,0.0,0.0,0.0,0.0,0.0
Baker,2010,10,0.1,0.0,0.0,0.0,0.0
