county,year,month,D0,D1,D2,D3,D4
Beaver,2000,01,60.2,0.0,0.0,0.0,0.0
Beaver,2000,02,30.3,0.0,0.0,0.0,0.0
Beaver,2000,03,0.0,0.0,0.0,0.0,0.0
Beaver,2000,04,0.0,0.0,0.0,0.0,0.0
Beaver,2000,05,0.0,0.0,0.0,0.0,0.0
Beaver,2000,06,46.5,0.0,0.0,0.0,0.0
Beaver,2000,07,100.0,0.0,0.0,0.0,0.0
Beaver,2000,08,100.0,68.6,0.0,0.0,0.0
Beaver,2000,09,100.0,34.8,0.0,0.0,0.0
Beaver,2000,10,79.6,15.1,0.0,0.0,0.0
Beaver,2000,11,0.0,0.0,0.0,0.0,0.0
Beaver,2000,12,0.0,0.0,0.0,0.0,0.0
Beaver,2001,01,0.0,0.0,0.0,0.0,0.0
Beaver,2001,02,0.0,0.0,0.0,0.0,0.0
Beaver,2001,03,0.0,0.0,0.0,0.0,0.0
Beaver,2001,04,0.0,0.0,0.0,0.0,0.0
Beaver,2001,05,0.0,0.0,0.0,0.0,0.0
Beaver,2001,06,69.4,0.0,0.0,0.0,0.0
Beaver,2001,07,52.5,0.0,0.0,0.0,0.0
Beaver,2001,08,54.4,0.0,0.0,0.0,0.0
Beaver,2001,09,85.7,0.0,0.0,0.0,0.0
Beaver,2001,10,98.0,0.0,0.0,0.0,0.0
Beaver,2001,11,100.0,0.0,0.0,0.0,0.0
Beaver,2001,12,100.0,0.0,0.0,0.0,0.0
Beaver,2002,01,100.0,0.0,0.0,0.0,0.0
Beaver,2002,02,100.0,0.0,0.0,0.0,0.0
Beaver,2002,03,100.0,23.4,0.0,0.0,0.0
Beaver,2002,04,100.0,92.7,41.5,0.0,0.0
Beaver,2002,05,100.0,100.0,100.0,6.0,0.0
Beaver,2002,06,100.0,100.0,100.0,8.7,0.0
Beaver,2002,07,100.0,100.0,96.3,33.5,0.0
Beaver,2002,08,100.0,100.0,50.4,6.6,0.0
Beaver,2002,09,100.0,100.0,100.0,26.5,0.0
Beaver,2002,10,100.0,100.0,21.4,0.0,0.0
Beaver,2002,11,100.0,100.0,50.6,0.0,0.0
Beaver,2002,12,100.0,100.0,92.6,0.0,0.0
Beaver,2003,01,100.0,100.0,100.0,50.0,0.0
Beaver,2003,02,100.0,100.0,100.0,100.0,0.0
Beaver,2003,03,100.0,100.0,100.0,100.0,0.0
Beaver,2003,04,100.0,100.0,100.0,100.0,0.0
Beaver,2003,05,100.0,100.0,100.0,100.0,0.0
Beaver,2003,06,100.0,100.0,100.0,100.0,0.0
Beaver,2003,07,100.0,100.0,100.0,100.0,1.3
Beaver,2003,08,100.0,100.0,100.0,100.0,3.0
Beaver,2003,09,100.0,100.0,100.0,100.0,1.5
Beaver,2003,10,100.0,100.0,100.0,100.0,0.0
Beaver,2003,11,100.0,100.0,100.0,100.0,0.0
Beaver,2003,12,100.0,100.0,100.0,99.9,0.0
Beaver,2004,01,100.0,100.0,100.0,91.9,0.0
Beaver,2004,02,100.0,100.0,100.0,93.6,0.0
Beaver,2004,03,100.0,100.0,100.0,25.1,0.0
Beaver,2004,04,100.0,100.0,100.0,26.6,0.0
Beaver,2004,05,100.0,100.0,100.0,51.4,0.0
Beaver,2004,06,100.0,100.0,100.0,53.6,0.0
Beaver,2004,07,100.0,100.0,100.0,53.7,0.0
Beaver,2004,08,100.0,100.0,100.0,42.5,0.0
Beaver,2004,09,100.0,100.0,100.0,42.5,0.0
Beaver,2004,10,100.0,100.0,88.3,31.9,0.0
Beaver,2004,11,100.0,80.2,29.9,0.0,0.0
Beaver,2004,12,100.0,1.3,0.0,0.0,0.0
Beaver,2005,01,100.0,0.0,0.0,0.0,0.0
Beaver,2005,02,85.6,0.0,0.0,0.0,0.0
Beaver,2005,03,70.2,0.0,0.0,0.0,0.0
Beaver,2005,04,14.4,0.0,0.0,0.0,0.0
Beaver,2005,05,0.0,0.0,0.0,0.0,0.0
Beaver,2005,06,0.0,0.0,0.0,0.0,0.0
Beaver,2005,07,0.0,0.0,0.0,0.0,0.0
Beaver,2005,08,0.0,0.0,0.0,0.0,0.0
Beaver,2005,09,0.0,0.0,0.0,0.0,0.0
Beaver,2005,10,0.0,0.0,0.0,0.0,0.0
Beaver,2005,11,0.0,0.0,0.0,0.0,0.0
Beaver,2005,12,0.0,0.0,0.0,0.0,0.0
Beaver,2006,01,0.0,0.0,0.0,0.0,0.0
Beaver,2006,02,0.0,0.0,0.0,0.0,0.0
Beaver,2006,03,0.0,0.0,0.0,0.0,0.0
Beaver,2006,04,0.0,0.0,0.0,0.0,0.0
Beaver,2006,05,0.0,0.0,0.0,0.0,0.0
Beaver,2006,06,0.0,0.0,0.0,0.0,0.0
Beaver,2006,07,0.0,0.0,0.0,0.0,0.0
Beaver,2006,08,0.0,0.0,0.0,0.0,0.0
Beaver,2006,09,0.0,0.0,0.0,0.0,0.0
Beaver,2006,10,0.0,0.0,0.0,0.0,0.0
Beaver,2006,11,0.0,0.0,0.0,0.0,0.0
Beaver,2006,12,0.0,0.0,0.0,0.0,0.0
Beaver,2007,01,0.0,0.0,0.0,0.0,0.0
Beaver,2007,02,100.0,0.0,0.0,0.0,0.0
Beaver,2007,03,100.0,25.0,0.0,0.0,0.0
Beaver,2007,04,100.0,100.0,0.0,0.0,0.0
Beaver,2007,05,100.0,100.0,0.0,0.0,0.0
Beaver,2007,06,100.0,100.0,0.0,0.0,0.0
Beaver,2007,07,100.0,100.0,40.0,0.0,0.0
Beaver,2007,08,100.0,100.0,100.0,0.0,0.0
Beaver,2007,09,100.0,100.0,100.0,0.0,0.0
Beaver,2007,10,100.0,100.0,100.0,0.0,0.0
Beaver,2007,11,100.0,100.0,100.0,0.0,0.0
Beaver,2007,12,100.0,100.0,92.5,0.0,0.0
