state,year,month,D0,D1,D2,D3,D4
OR,2000,01,4.3,0.0,0.0,0.0,0.0
OR,2000,02,0.0,0.0,0.0,0.0,0.0
OR,2000,03,0.0,0.0,0.0,0.0,0.0
OR,2000,04,0.0,0.0,0.0,0.0,0.0
OR,2000,05,0.0,0.0,0.0,0.0,0.0
OR,2000,06,0.0,0.0,0.0,0.0,0.0
OR,2000,07,0.1,0.0,0.0,0.0,0.0
OR,2000,08,47.2,3.7,0.0,0.0,0.0
OR,2000,09,14.3,0.0,0.0,0.0,0.0
OR,2000,10,2.3,0.0,0.0,0.0,0.0
OR,2000,11,0.0,0.0,0.0,0.0,0.0
OR,2000,12,0.0,0.0,0.0,0.0,0.0
OR,2001,01,39.4,0.0,0.0,0.0,0.0
OR,2001,02,84.7,59.5,0.0,0.0,0.0
OR,2001,03,100.0,95.8,10.2,0.0,0.0
OR,2001,04,100.0,100.0,33.0,6.7,0.0
OR,2001,05,100.0,100.0,34.4,6.2,0.0
OR,2001,06,100.0,100.0,66.6,9.4,0.0
OR,2001,07,100.0,100.0,97.8,26.8,0.0
OR,2001,08,100.0,100.0,97.7,26.7,0.0
OR,2001,09,100.0,100.0,97.5,48.5,0.0
OR,2001,10,100.0,100.0,97.5,55.5,0.0
OR,2001,11,100.0,99.5,96.2,54.7,0.0
OR,2001,12,92.7,82.6,65.3,33.7,0.0
OR,2002,01,72.4,47.7,27.7,5.9,0.0
OR,2002,02,59.3,26.0,5.2,0.0,0.0
OR,2002,03,48.9,13.9,1.8,0.0,0.0
OR,2002,04,39.7,5.0,0.0,0.0,0.0
OR,2002,05,44.4,6.0,0.0,0.0,0.0
OR,2002,06,52.6,15.3,0.0,0.0,0.0
OR,2002,07,76.4,50.0,8.3,0.0,0.0
OR,2002,08,81.5,65.1,38.6,0.0,0.0
OR,2002,09,82.3,64.4,38.8,0.0,0.0
OR,2002,10,90.6,61.3,33.5,0.0,0.0
OR,2002,11,96.1,65.5,38.5,0.0,0.0
OR,2002,12,86.3,61.0,37.3,0.0,0.0
OR,2003,01,64.7,47.8,32.0,0.3,0.0
OR,2003,02,72.5,61.7,32.7,0.4,0.0
OR,2003,03,72.2,59.0,42.9,19.3,0.0
OR,2003,04,63.7,49.5,31.6,15.9,0.0
OR,2003,05,53.0,33.0,16.0,4.0,0.0
OR,2003,06,54.0,26.3,12.3,3.5,0.0
OR,2003,07,97.4,48.4,28.6,16.4,1.3
OR,2003,08,97.6,87.2,35.8,23.2,3.1
