county,year,month,D0,D1,D2,D3,D4
Beaverhead,2000,01,0.0,0.0,0.0,0.0,0.0
Beaverhead,2000,02,0.0,0.0,0.0,0.0,0.0
Beaverhead,2000,03,0.0,0.0,0.0,0.0,0.0
Beaverhead,2000,04,58.7,0.0,0.0,0.0,0.0
Beaverhead,2000,05,47.1,0.0,0.0,0.0,0.0
Beaverhead,2000,06,21.6,0.3,0.0,0.0,0.0
Beaverhead,2000,07,100.0,37.8,0.0,0.0,0.0
Beaverhead,2000,08,100.0,77.2,27.9,5.3,0.0
Beaverhead,2000,09,100.0,84.5,66.7,32.7,0.0
Beaverhead,2000,10,100.0,92.6,53.8,20.4,0.0
Beaverhead,2000,11,26.8,0.0,0.0,0.0,0.0
Beaverhead,2000,12,0.0,0.0,0.0,0.0,0.0
Beaverhead,2001,01,40.0,0.0,0.0,0.0,0.0
Beaverhead,2001,02,100.0,75.0,0.0,0.0,0.0
Beaverhead,2001,03,100.0,100.0,75.0,0.0,0.0
Beaverhead,2001,04,100.0,100.0,100.0,0.0,0.0
Beaverhead,2001,05,100.0,100.0,100.0,0.0,0.0
Beaverhead,2001,06,100.0,100.0,98.4,0.0,0.0
Beaverhead,2001,07,100.0,100.0,96.7,0.0,0.0
Beaverhead,2001,08,100.0,100.0,99.2,36.4,0.0
Beaverhead,2001,09,100.0,100.0,100.0,41.7,0.0
Beaverhead,2001,10,100.0,100.0,100.0,39.5,0.0
Beaverhead,2001,11,100.0,100.0,100.0,41.4,0.0
Beaverhead,2001,12,100.0,100.0,100.0,41.4,0.0
Beaverhead,2002,01,100.0,100.0,100.0,40.4,0.0
Beaverhead,2002,02,100.0,100.0,100.0,43.8,0.0
Beaverhead,2002,03,100.0,100.0,94.3,47.8,0.0
Beaverhead,2002,04,100.0,100.0,90.2,48.1,0.0
Beaverhead,2002,05,100.0,99.3,76.9,51.3,0.0
Beaverhead,2002,06,100.0,86.1,56.9,30.4,0.0
Beaverhead,2002,07,100.0,97.9,53.9,31.5,0.0
