state,year,month,D0,D1,D2,D3,D4
CO,2000,01,38.3,0.0,0.0,0.0,0.0
CO,2000,02,18.1,0.3,0.0,0.0,0.0
CO,2000,03,3.6,0.0,0.0,0.0,0.0
CO,2000,04,2.1,0.0,0.0,0.0,0.0
CO,2000,05,0.6,0.0,0.0,0.0,0.0
CO,2000,06,75.5,2.2,0.4,0.0,0.0
CO,2000,07,97.1,25.1,3.0,0.0,0.0
CO,2000,08,81.8,21.9,2.3,0.0,0.0
CO,2000,09,69.1,11.0,3.2,0.1,0.0
CO,2000,10,78.4,20.1,1.0,0.0,0.0
CO,2000,11,32.3,0.0,0.0,0.0,0.0
CO,2000,12,9.4,0.0,0.0,0.0,0.0
CO,2001,01,3.7,0.0,0.0,0.0,0.0
CO,2001,02,0.6,0.0,0.0,0.0,0.0
CO,2001,03,2.0,0.0,0.0,0.0,0.0
CO,2001,04,2.1,0.0,0.0,0.0,0.0
CO,2001,05,0.2,0.0,0.0,0.0,0.0
CO,2001,06,19.7,0.0,0.0,0.0,0.0
CO,2001,07,14.3,0.4,0.0,0.0,0.0
CO,2001,08,6.1,0.0,0.0,0.0,0.0
CO,2001,09,31.2,0.0,0.0,0.0,0.0
CO,2001,10,38.6,0.5,0.0,0.0,0.0
CO,2001,11,52.6,4.2,0.0,0.0,0.0
CO,2001,12,53.1,7.1,0.0,0.0,0.0
CO,2002,01,90.1,15.4,0.0,0.0,0.0
CO,2002,02,99.9,62.9,0.0,0.0,0.0
CO,2002,03,100.0,80.1,27.8,0.0,0.0
CO,2002,04,100.0,100.0,74.0,20.9,0.0
CO,2002,05,100.0,100.0,100.0,72.5,2.3
CO,2002,06,100.0,100.0,100.0,65.1,11.4
CO,2002,07,100.0,100.0,100.0,82.1,30.1
CO,2002,08,100.0,100.0,100.0,100.0,20.0
CO,2002,09,100.0,100.0,99.8,79.7,30.5
CO,2002,10,100.0,100.0,99.9,76.3,11.0
CO,2002,11,100.0,99.7,99.2,72.5,7.3
CO,2002,12,100.0,99.7,99.1,72.6,7.0
CO,2003,01,100.0,99.7,99.1,73.4,6.6
CO,2003,02,100.0,99.5,99.0,75.5,7.0
CO,2003,03,100.0,99.6,96.3,69.6,6.4
CO,2003,04,100.0,99.6,82.3,54.6,0.7
CO,2003,05,100.0,91.0,70.4,48.8,0.0
CO,2003,06,89.9,70.7,58.8,36.7,0.6
CO,2003,07,90.3,78.4,58.8,34.4,0.8
CO,2003,08,100.0,100.0,64.9,36.9,0.1
CO,2003,09,100.0,83.1,63.1,21.7,0.0
CO,2003,10,100.0,79.2,66.1,17.1,0.0
CO,2003,11,100.0,77.0,58.3,18.2,0.0
CO,2003,12,100.0,79.4,62.6,18.2,0.0
CO,2004,01,100.0,74.0,52.2,28.6,0.0
CO,2004,02,100.0,79.0,54.4,28.7,0.0
CO,2004,03,100.0,83.2,57.8,26.6,0.0
CO,2004,04,100.0,92.6,54.9,22.2,0.0
CO,2004,05,100.0,93.8,48.8,12.3,0.0
CO,2004,06,100.0,92.1,52.8,9.2,0.0
CO,2004,07,99.9,79.2,39.1,1.4,0.0
CO,2004,08,92.0,65.7,20.5,4.7,0.0
CO,2004,09,82.6,55.8,15.9,5.2,0.0
CO,2004,10,77.9,53.1,15.9,5.3,0.0
CO,2004,11,77.1,49.1,13.1,4.0,0.0
CO,2004,12,76.0,39.4,8.4,0.0,0.0
CO,2005,01,76.0,32.7,8.6,0.0,0.0
CO,2005,02,75.6,22.9,7.4,0.0,0.0
CO,2005,03,77.1,20.4,6.3,0.0,0.0
CO,2005,04,52.5,15.4,2.8,0.0,0.0
CO,2005,05,34.1,11.5,1.3,0.0,0.0
CO,2005,06,26.6,10.8,1.2,0.0,0.0
CO,2005,07,35.7,7.7,1.2,0.0,0.0
CO,2005,08,57.1,7.9,1.1,0.0,0.0
CO,2005,09,48.9,8.0,1.0,0.0,0.0
CO,2005,10,35.9,6.2,0.3,0.0,0.0
CO,2005,11,30.2,5.8,0.0,0.0,0.0
CO,2005,12,30.4,5.8,0.0,0.0,0.0
CO,2006,01,49.4,16.3,0.0,0.0,0.0
CO,2006,02,70.7,25.2,0.0,0.0,0.0
CO,2006,03,66.1,28.2,5.1,0.0,0.0
CO,2006,04,72.8,50.9,12.7,0.0,0.0
CO,2006,05,81.0,58.1,30.6,3.6,0.0
CO,2006,06,100.0,79.9,62.1,20.6,0.0
CO,2006,07,100.0,92.3,41.5,8.9,0.0
CO,2006,08,100.0,85.2,33.4,4.7,0.0
CO,2006,09,100.0,62.1,15.8,2.1,0.0
CO,2006,10,75.8,31.1,8.3,0.0,0.0
CO,2006,11,53.9,21.9,7.0,0.0,0.0
CO,2006,12,52.5,20.9,5.8,0.0,0.0
CO,2007,01,31.9,13.0,2.3,0.0,0.0
CO,2007,02,24.8,10.6,1.8,0.0,0.0
CO,2007,03,33.6,11.3,0.7,0.0,0.0
CO,2007,04,43.8,22.1,1.3,0.0,0.0
CO,2007,05,33.0,18.2,1.8,0.0,0.0
CO,2007,06,32.1,17.7,2.0,0.0,0.0
CO,2007,07,43.7,18.9,2.1,0.0,0.0
CO,2007,08,42.6,12.9,0.6,0.0,0.0
CO,2007,09,42.9,7.7,0.3,0.0,0.0
CO,2007,10,19.6,0.5,0.0,0.0,0.0
CO,2007,11,30.4,1.5,0.0,0.0,0.0
CO,2007,12,44.2,2.0,0.0,0.0,0.0
CO,2008,01,40.6,3.3,0.0,0.0,0.0
CO,2008,02,40.6,3.9,0.0,0.0,0.0
CO,2008,03,38.8,5.6,0.0,0.0,0.0
CO,2008,04,39.1,14.6,0.0,0.0,0.0
CO,2008,05,36.1,16.2,1.2,0.2,0.0
CO,2008,06,44.6,17.3,5.3,1.7,0.1
CO,2008,07,52.7,27.4,9.8,3.2,0.6
CO,2008,08,63.1,29.8,8.2,1.9,0.2
CO,2008,09,57.3,14.8,3.4,0.0,0.0
CO,2008,10,56.8,7.7,0.8,0.0,0.0
CO,2008,11,67.1,5.9,0.0,0.0,0.0
