county,year,month,D0,D1,D2,D3,D4
Bernalillo,2000,01,75.0,0.0,0.0,0.0,0.0
Bernalillo,2000,02,100.0,0.0,0.0,0.0,0.0
Bernalillo,2000,03,75.1,0.0,0.0,0.0,0.0
Bernalillo,2000,04,44.0,0.0,0.0,0.0,0.0
Bernalillo,2000,05,92.5,60.0,2.8,0.0,0.0
Bernalillo,2000,06,100.0,100.0,7.7,0.0,0.0
Bernalillo,2000,07,100.0,56.6,0.0,0.0,0.0
Bernalillo,2000,08,88.5,2.6,0.0,0.0,0.0
Bernalillo,2000,09,100.0,0.6,0.0,0.0,0.0
Bernalillo,2000,10,64.3,19.5,0.0,0.0,0.0
Bernalillo,2000,11,32.0,0.0,0.0,0.0,0.0
Bernalillo,2000,12,24.5,0.0,0.0,0.0,0.0
Bernalillo,2001,01,0.0,0.0,0.0,0.0,0.0
Bernalillo,2001,02,0.0,0.0,0.0,0.0,0.0
Bernalillo,2001,03,0.0,0.0,0.0,0.0,0.0
Bernalillo,2001,04,0.0,0.0,0.0,0.0,0.0
Bernalillo,2001,05,0.0,0.0,0.0,0.0,0.0
Bernalillo,2001,06,0.0,0.0,0.0,0.0,0.0
Bernalillo,2001,07,0.0,0.0,0.0,0.0,0.0
Bernalillo,2001,08,0.0,0.0,0.0,0.0,0.0
Bernalillo,2001,09,3.7,0.0,0.0,0.0,0.0
Bernalillo,2001,10,21.9,0.0,0.0,0.0,0.0
Bernalillo,2001,11,100.0,15.6,0.0,0.0,0.0
Bernalillo,2001,12,100.0,27.2,0.0,0.0,0.0
Bernalillo,2002,01,100.0,25.3,0.0,0.0,0.0
Bernalillo,2002,02,100.0,75.0,0.0,0.0,0.0
Bernalillo,2002,03,100.0,100.0,9.3,0.0,0.0
Bernalillo,2002,04,100.0,100.0,100.0,16.3,0.0
Bernalillo,2002,05,100.0,100.0,100.0,96.9,0.0
Bernalillo,2002,06,100.0,100.0,100.0,100.0,10.7
Bernalillo,2002,07,100.0,100.0,100.0,99.9,37.3
Bernalillo,2002,08,100.0,100.0,100.0,0.0,0.0
Bernalillo,2002,09,100.0,100.0,99.2,17.9,0.0
Bernalillo,2002,10,100.0,100.0,0.0,0.0,0.0
Bernalillo,2002,11,100.0,100.0,0.0,0.0,0.0
Bernalillo,2002,12,100.0,100.0,0.0,0.0,0.0
Bernalillo,2003,01,100.0,100.0,0.0,0.0,0.0
Bernalillo,2003,02,100.0,100.0,0.0,0.0,0.0
Bernalillo,2003,03,100.0,100.0,0.0,0.0,0.0
Bernalillo,2003,04,100.0,100.0,17.6,0.0,0.0
Bernalillo,2003,05,100.0,100.0,99.0,6.0,0.0
Bernalillo,2003,06,100.0,100.0,100.0,22.3,0.0
Bernalillo,2003,07,100.0,100.0,100.0,30.7,0.0
Bernalillo,2003,08,100.0,100.0,100.0,39.0,0.0
Bernalillo,2003,09,100.0,100.0,100.0,88.5,0.0
Bernalillo,2003,10,100.0,100.0,100.0,100.0,0.0
Bernalillo,2003,11,100.0,100.0,100.0,100.0,0.0
Bernalillo,2003,12,100.0,100.0,100.0,100.0,0.0
Bernalillo,2004,01,100.0,100.0,100.0,100.0,0.0
Bernalillo,2004,02,100.0,100.0,100.0,100.0,0.0
Bernalillo,2004,03,100.0,100.0,100.0,100.0,0.0
Bernalillo,2004,04,100.0,100.0,94.1,0.0,0.0
Bernalillo,2004,05,100.0,100.0,92.2,0.0,0.0
Bernalillo,2004,06,100.0,100.0,97.7,0.0,0.0
Bernalillo,2004,07,100.0,100.0,100.0,0.0,0.0
Bernalillo,2004,08,100.0,100.0,100.0,0.0,0.0
Bernalillo,2004,09,100.0,100.0,100.0,0.0,0.0
Bernalillo,2004,10,100.0,100.0,82.3,0.0,0.0
Bernalillo,2004,11,100.0,100.0,76.4,0.0,0.0
Bernalillo,2004,12,100.0,100.0,74.4,0.0,0.0
Bernalillo,2005,01,100.0,100.0,67.7,0.0,0.0
Bernalillo,2005,02,100.0,85.5,27.9,0.0,0.0
Bernalillo,2005,03,100.0,69.4,0.2,0.0,0.0
