county,year,month,D0,D1,D2,D3,D4
Carson City,2000,01,59.5,0.0,0.0,0.0,0.0
Carson City,2000,02,0.1,0.0,0.0,0.0,0.0
Carson City,2000,03,0.1,0.0,0.0,0.0,0.0
Carson City,2000,04,0.0,0.0,0.0,0.0,0.0
Carson City,2000,05,0.0,0.0,0.0,0.0,0.0
Carson City,2000,06,0.0,0.0,0.0,0.0,0.0
Carson City,2000,07,0.0,0.0,0.0,0.0,0.0
Carson City,2000,08,0.0,0.0,0.0,0.0,0.0
Carson City,2000,09,0.0,0.0,0.0,0.0,0.0
Carson City,2000,10,0.0,0.0,0.0,0.0,0.0
Carson City,2000,11,0.0,0.0,0.0,0.0,0.0
Carson City,2000,12,0.0,0.0,0.0,0.0,0.0
Carson City,2001,01,71.7,0.0,0.0,0.0,0.0
Carson City,2001,02,85.4,0.0,0.0,0.0,0.0
Carson City,2001,03,90.1,0.0,0.0,0.0,0.0
Carson City,2001,04,100.0,93.0,0.0,0.0,0.0
Carson City,2001,05,100.0,100.0,0.0,0.0,0.0
Carson City,2001,06,100.0,100.0,50.0,0.0,0.0
Carson City,2001,07,100.0,100.0,100.0,100.0,0.0
Carson City,2001,08,100.0,100.0,100.0,100.0,0.0
Carson City,2001,09,100.0,100.0,100.0,100.0,0.0
Carson City,2001,10,100.0,100.0,100.0,100.0,0.0
Carson City,2001,11,100.0,100.0,100.0,100.0,0.0
Carson City,2001,12,100.0,100.0,100.0,81.8,0.0
Carson City,2002,01,99.8,20.0,20.0,0.0,0.0
Carson City,2002,02,99.1,0.0,0.0,0.0,0.0
Carson City,2002,03,41.7,0.0,0.0,0.0,0.0
Carson City,2002,04,23.8,0.0,0.0,0.0,0.0
Carson City,2002,05,44.0,0.0,0.0,0.0,0.0
Carson City,2002,06,100.0,83.5,0.0,0.0,0.0
Carson City,2002,07,100.0,99.6,0.0,0.0,0.0
Carson City,2002,08,100.0,100.0,0.0,0.0,0.0
Carson City,2002,09,100.0,100.0,0.0,0.0,0.0
Carson City,2002,10,100.0,16.9,0.0,0.0,0.0
Carson City,2002,11,100.0,25.0,25.0,0.0,0.0
Carson City,2002,12,88.5,21.4,0.0,0.0,0.0
Carson City,2003,01,21.7,0.0,0.0,0.0,0.0
