state,year,month,D0,D1,D2,D3,D4
MT,2000,01,6.8,0.0,0.0,0.0,0.0
MT,2000,02,21.2,0.0,0.0,0.0,0.0
MT,2000,03,25.4,0.0,0.0,0.0,0.0
MT,2000,04,66.5,0.0,0.0,0.0,0.0
MT,2000,05,71.9,15.5,0.0,0.0,0.0
MT,2000,06,65.1,26.4,0.0,0.0,0.0
MT,2000,07,69.4,38.4,0.0,0.0,0.0
MT,2000,08,71.3,48.3,31.4,0.6,0.0
MT,2000,09,78.7,57.9,42.6,5.3,0.0
MT,2000,10,84.8,69.5,40.7,5.4,0.0
MT,2000,11,74.9,55.4,21.6,1.9,0.0
MT,2000,12,70.4,53.7,21.0,1.6,0.0
MT,2001,01,78.9,52.4,22.6,1.3,0.0
MT,2001,02,95.5,78.5,23.9,0.0,0.0
MT,2001,03,95.2,86.9,56.6,0.0,0.0
MT,2001,04,89.9,77.1,64.8,0.0,0.0
MT,2001,05,96.2,81.1,65.7,7.6,0.0
MT,2001,06,86.5,73.2,52.6,10.0,0.0
MT,2001,07,79.0,69.9,36.2,7.1,0.0
MT,2001,08,77.4,67.7,50.3,19.1,0.0
MT,2001,09,94.4,81.6,75.2,37.9,0.0
MT,2001,10,99.8,84.2,75.2,46.5,0.0
MT,2001,11,100.0,87.4,75.6,48.0,0.0
MT,2001,12,100.0,100.0,88.2,48.1,0.0
MT,2002,01,100.0,99.4,85.7,43.3,0.0
MT,2002,02,100.0,98.0,80.7,42.4,0.0
MT,2002,03,96.8,93.2,75.2,42.1,0.0
MT,2002,04,93.0,88.5,75.4,46.2,1.1
MT,2002,05,92.5,82.9,70.7,45.9,13.0
MT,2002,06,90.1,69.9,50.9,28.4,3.3
MT,2002,07,90.2,73.1,54.5,27.1,0.0
MT,2002,08,95.3,74.0,50.9,29.4,0.0
MT,2002,09,93.4,67.7,42.0,26.2,0.0
MT,2002,10,99.6,66.7,42.3,27.8,0.0
MT,2002,11,100.0,79.6,54.8,28.5,0.0
MT,2002,12,100.0,82.8,62.3,30.0,0.0
MT,2003,01,100.0,91.3,74.5,41.3,8.3
MT,2003,02,100.0,90.7,68.1,39.3,5.2
MT,2003,03,98.3,91.2,73.5,46.3,1.2
MT,2003,04,90.9,79.8,53.6,26.8,0.0
MT,2003,05,83.3,68.1,44.0,3.3,0.0
MT,2003,06,88.6,70.1,43.3,2.6,0.0
MT,2003,07,87.5,77.1,58.6,15.9,1.4
MT,2003,08,99.7,91.7,77.8,43.0,4.8
MT,2003,09,100.0,96.4,82.5,60.5,12.2
MT,2003,10,100.0,100.0,84.2,59.1,12.7
MT,2003,11,100.0,100.0,85.9,53.1,13.0
MT,2003,12,100.0,99.4,83.4,41.6,13.2
MT,2004,01,100.0,92.0,71.1,37.7,9.6
MT,2004,02,100.0,89.0,70.2,37.9,6.9
MT,2004,03,98.6,84.9,68.1,36.3,5.4
MT,2004,04,97.8,86.0,69.1,41.9,6.8
MT,2004,05,96.3,89.1,73.8,53.0,11.2
MT,2004,06,88.3,79.3,62.9,36.7,6.5
MT,2004,07,87.5,76.2,62.0,34.0,10.3
MT,2004,08,92.1,77.3,61.8,36.3,11.6
MT,2004,09,85.1,71.0,54.1,32.4,8.7
MT,2004,10,84.9,66.9,48.1,30.3,7.4
MT,2004,11,84.7,66.7,46.0,29.7,7.1
MT,2004,12,87.9,71.4,50.1,29.6,7.4
MT,2005,01,97.6,76.0,51.9,31.1,7.6
MT,2005,02,100.0,94.6,79.0,46.4,9.4
MT,2005,03,100.0,100.0,85.4,59.6,10.4
MT,2005,04,100.0,99.9,81.5,48.7,7.6
MT,2005,05,100.0,100.0,65.2,20.6,0.5
MT,2005,06,96.5,79.6,24.9,4.3,0.0
MT,2005,07,88.5,58.3,20.0,0.0,0.0
MT,2005,08,95.9,49.0,17.2,0.0,0.0
MT,2005,09,96.0,42.7,13.9,0.0,0.0
MT,2005,10,82.4,33.5,5.9,0.0,0.0
MT,2005,11,56.7,19.6,0.4,0.0,0.0
MT,2005,12,27.5,8.9,0.0,0.0,0.0
MT,2006,01,29.7,8.4,0.0,0.0,0.0
MT,2006,02,23.3,7.1,0.0,0.0,0.0
MT,2006,03,21.7,2.4,0.0,0.0,0.0
MT,2006,04,15.5,0.0,0.0,0.0,0.0
MT,2006,05,16.7,4.7,0.0,0.0,0.0
MT,2006,06,12.6,6.6,0.7,0.0,0.0
MT,2006,07,65.9,34.2,5.8,1.2,0.0
MT,2006,08,100.0,81.6,39.3,5.3,0.0
MT,2006,09,100.0,94.5,52.5,6.5,0.0
MT,2006,10,100.0,97.5,52.1,3.4,0.0
MT,2006,11,91.1,60.9,20.9,2.7,0.0
MT,2006,12,81.6,44.1,10.9,2.4,0.0
MT,2007,01,77.9,39.0,14.4,2.8,0.0
MT,2007,02,62.0,39.5,20.6,3.0,0.0
MT,2007,03,59.9,33.8,10.9,1.0,0.0
MT,2007,04,67.2,29.8,1.2,0.0,0.0
MT,2007,05,50.4,17.7,0.0,0.0,0.0
MT,2007,06,25.5,2.1,0.0,0.0,0.0
MT,2007,07,51.8,30.7,6.4,0.0,0.0
MT,2007,08,93.8,72.7,48.5,10.3,0.0
MT,2007,09,95.4,88.0,50.8,12.1,0.0
MT,2007,10,93.4,74.4,40.0,9.3,0.0
MT,2007,11,81.1,58.6,30.7,2.3,0.0
MT,2007,12,89.9,59.4,25.3,0.0,0.0
MT,2008,01,96.9,72.0,26.0,0.0,0.0
MT,2008,02,84.9,56.5,12.2,0.0,0.0
MT,2008,03,74.7,50.3,10.5,0.0,0.0
MT,2008,04,78.8,55.8,20.7,0.0,0.0
MT,2008,05,64.6,43.6,11.6,0.0,0.0
MT,2008,06,29.8,6.0,0.7,0.0,0.0
MT,2008,07,48.8,6.4,2.3,0.6,0.0
MT,2008,08,92.1,12.2,7.9,2.4,0.0
MT,2008,09,72.3,10.6,4.8,1.2,0.0
MT,2008,10,38.6,4.9,1.8,0.3,0.0
MT,2008,11,39.7,6.5,0.5,0.0,0.0
MT,2008,12,46.6,8.8,0.0,0.0,0.0
MT,2009,01,24.3,4.1,0.0,0.0,0.0
MT,2009,02,36.0,6.3,0.0,0.0,0.0
MT,2009,03,44.2,3.9,0.0,0.0,0.0
MT,2009,04,39.5,1.9,0.0,0.0,0.0
MT,2009,05,7.9,1.4,0.0,0.0,0.0
MT,2009,06,42.3,3.3,0.6,0.0,0.0
MT,2009,07,55.5,15.5,3.0,0.0,0.0
MT,2009,08,25.0,4.5,1.5,0.0,0.0
MT,2009,09,16.3,3.2,1.0,0.0,0.0
MT,2009,10,26.3,1.5,0.0,0.0,0.0
MT,2009,11,12.3,0.0,0.0,0.0,0.0
MT,2009,12,41.6,0.0,0.0,0.0,0.0
MT,2010,01,43.6,8.0,0.0,0.0,0.0
MT,2010,02,53.3,14.9,0.4,0.0,0.0
MT,2010,03,57.9,29.1,2.2,0.0,0.0
MT,2010,04,73.8,29.7,2.6,0.0,0.0
MT,2010,05,46.1,24.1,3.2,0.0,0.0
MT,2010,06,23.3,7.1,1.3,0.0,0.0
MT,2010,07,4.8,0.0,0.0,0.0,0.0
MT,2010,08,3.8,0.0,0.0,0.0,0.0
MT,2010,09,1.4,0.0,0.0,0.0,0.0
MT,2010,10,0.6,0.0,0.0,0.0,0.0
MT,2010,11,0.4,0.0,0.0,0.0,0.0
MT,2010,12,0.0,0.0,0.0,0.0,0.0
MT,2011,01,0.0,0.0,0.0,0.0,0.0
MT,2011,02,0.0,0.0,0.0,0.0,0.0
MT,2011,03,0.0,0.0,0.0,0.0,0.0
MT,2011,04,0.0,0.0,0.0,0.0,0.0
MT,2011,05,0.0,0.0,0.0,0.0,0.0
MT,2011,06,0.0,0.0,0.0,0.0,0.0
MT,2011,07,0.0,0.0,0.0,0.0,0.0
MT,2011,08,0.0,0.0,0.0,0.0,0.0
MT,2011,09,12.1,0.0,0.0,0.0,0.0
MT,2011,10,13.2,0.0,0.0,0.0,0.0
MT,2011,11,3.1,0.0,0.0,0.0,0.0
MT,2011,12,4.0,0.0,0.0,0.0,0.0
MT,2012,01,7.7,0.0,0.0,0.0,0.0
MT,2012,02,12.2,0.0,0.0,0.0,0.0
MT,2012,03,12.2,0.0,0.0,0.0,0.0
MT,2012,04,22.2,0.0,0.0,0.0,0.0
MT,2012,05,17.1,0.0,0.0,0.0,0.0
MT,2012,06,30.9,5.7,0.0,0.0,0.0
MT,2012,07,62.5,33.4,12.3,0.0,0.0
MT,2012,08,77.5,40.5,17.1,0.0,0.0
MT,2012,09,80.5,60.9,29.1,4.2,0.0
MT,2012,10,86.5,60.9,34.3,7.6,0.0
MT,2012,11,57.8,38.5,22.4,5.7,0.0
MT,2012,12,47.9,33.6,18.3,5.7,0.0
MT,2013,01,49.5,34.1,18.9,7.0,0.0
MT,2013,02,42.7,30.2,17.9,4.4,0.0
MT,2013,03,42.7,29.8,18.7,3.5,0.0
MT,2013,04,45.8,32.1,14.5,2.8,0.0
MT,2013,05,46.0,32.9,14.2,3.2,0.0
MT,2013,06,32.6,15.7,6.3,2.5,0.0
MT,2013,07,37.1,19.4,6.4,3.1,0.0
MT,2013,08,42.4,23.8,7.2,3.1,0.0
MT,2013,09,40.8,20.1,7.2,2.0,0.0
MT,2013,10,14.9,2.9,1.0,0.0,0.0
MT,2013,11,14.4,2.4,1.0,0.0,0.0
MT,2013,12,14.4,2.4,0.2,0.0,0.0
MT,2014,01,17.0,2.5,0.0,0.0,0.0
MT,2014,02,11.4,1.2,0.0,0.0,0.0
MT,2014,03,1.3,0.0,0.0,0.0,0.0
MT,2014,04,1.3,0.0,0.0,0.0,0.0
MT,2014,05,1.3,0.0,0.0,0.0,0.0
MT,2014,06,1.8,0.0,0.0,0.0,0.0
MT,2014,07,6.2,0.0,0.0,0.0,0.0
MT,2014,08,16.1,1.0,0.0,0.0,0.0
MT,2014,09,9.1,1.3,0.0,0.0,0.0
MT,2014,10,6.6,0.8,0.0,0.0,0.0
MT,2014,11,1.3,0.0,0.0,0.0,0.0
MT,2014,12,1.2,0.0,0.0,0.0,0.0
MT,2015,01,2.2,0.0,0.0,0.0,0.0
MT,2015,02,3.6,0.0,0.0,0.0,0.0
MT,2015,03,4.5,0.0,0.0,0.0,0.0
MT,2015,04,10.1,2.3,0.0,0.0,0.0
MT,2015,05,28.9,2.9,0.0,0.0,0.0
MT,2015,06,43.6,16.0,3.4,0.0,0.0
MT,2015,07,69.5,40.7,25.3,13.7,0.0
MT,2015,08,64.2,35.8,24.5,15.2,0.0
MT,2015,09,70.9,38.4,28.9,18.5,0.0
MT,2015,10,54.5,35.0,28.0,16.9,0.0
MT,2015,11,53.8,33.9,26.1,6.5,0.0
MT,2015,12,54.2,32.7,24.0,4.4,0.0
MT,2016,01,53.1,33.3,16.3,3.5,0.0
MT,2016,02,52.3,29.4,11.5,1.8,0.0
MT,2016,03,50.2,15.2,4.5,0.0,0.0
MT,2016,04,29.3,8.3,1.4,0.0,0.0
MT,2016,05,21.8,7.8,0.0,0.0,0.0
MT,2016,06,27.8,8.0,0.1,0.0,0.0
MT,2016,07,35.1,11.7,0.7,0.2,0.0
MT,2016,08,53.8,23.6,7.2,0.5,0.0
MT,2016,09,51.2,24.7,6.7,0.4,0.0
MT,2016,10,27.3,11.4,1.6,0.0,0.0
MT,2016,11,19.0,5.2,0.3,0.0,0.0
MT,2016,12,26.7,4.9,0.3,0.0,0.0
MT,2017,01,16.9,3.2,0.0,0.0,0.0
MT,2017,02,16.5,2.3,0.0,0.0,0.0
MT,2017,03,12.5,1.1,0.0,0.0,0.0
MT,2017,04,12.6,0.3,0.0,0.0,0.0
MT,2017,05,8.4,0.0,0.0,0.0,0.0
MT,2017,06,41.0,26.6,11.9,3.3,0.0
MT,2017,07,62.3,45.5,37.0,20.2,3.4
MT,2017,08,93.7,72.9,50.8,29.8,14.4
MT,2017,09,98.1,88.7,70.3,44.8,21.8
MT,2017,10,87.7,75.2,50.3,17.2,3.1
MT,2017,11,75.0,56.7,30.2,12.3,0.0
MT,2017,12,71.3,52.7,30.2,12.3,0.0
MT,2018,01,44.8,31.0,16.9,2.4,0.0
MT,2018,02,38.4,22.5,8.2,0.0,0.0
MT,2018,03,21.6,11.0,4.5,0.0,0.0
MT,2018,04,10.3,4.8,1.6,0.0,0.0
MT,2018,05,9.4,2.8,0.0,0.0,0.0
MT,2018,06,14.1,2.0,0.0,0.0,0.0
MT,2018,07,19.6,7.3,0.0,0.0,0.0
MT,2018,08,48.3,11.5,2.6,0.0,0.0
MT,2018,09,53.7,13.1,3.3,0.0,0.0
MT,2018,10,31.7,8.9,1.1,0.0,0.0
MT,2018,11,13.0,1.5,0.0,0.0,0.0
MT,2018,12,7.4,1.5,0.0,0.0,0.0
MT,2019,01,9.9,0.9,0.0,0.0,0.0
