state,year,month,D0,D1,D2,D3,D4
WY,2000,01,3.5,0.0,0.0,0.0,0.0
WY,2000,02,0.0,0.0,0.0,0.0,0.0
WY,2000,03,0.0,0.0,0.0,0.0,0.0
WY,2000,04,21.2,0.0,0.0,0.0,0.0
WY,2000,05,26.8,0.0,0.0,0.0,0.0
WY,2000,06,48.8,0.0,0.0,0.0,0.0
WY,2000,07,87.9,25.0,0.0,0.0,0.0
WY,2000,08,82.8,30.4,1.9,0.0,0.0
WY,2000,09,95.3,44.3,5.0,0.0,0.0
WY,2000,10,99.6,21.9,0.9,0.0,0.0
WY,2000,11,93.9,2.0,0.0,0.0,0.0
WY,2000,12,73.8,1.9,0.0,0.0,0.0
WY,2001,01,55.3,0.0,0.0,0.0,0.0
WY,2001,02,79.6,32.5,0.0,0.0,0.0
WY,2001,03,88.0,45.3,6.5,0.0,0.0
WY,2001,04,85.7,28.7,5.7,0.0,0.0
WY,2001,05,68.9,35.4,7.7,0.0,0.0
WY,2001,06,81.0,46.1,13.3,0.0,0.0
WY,2001,07,95.0,65.6,49.6,10.0,0.0
WY,2001,08,99.8,70.8,52.8,32.0,0.0
WY,2001,09,98.1,73.5,57.0,42.9,0.0
WY,2001,10,97.9,73.8,56.9,42.5,0.0
WY,2001,11,97.5,72.0,57.0,42.5,0.0
WY,2001,12,97.5,73.7,56.4,31.2,0.0
WY,2002,01,99.4,85.0,61.6,27.3,0.0
WY,2002,02,100.0,98.4,72.3,24.5,0.0
WY,2002,03,100.0,99.9,85.8,25.0,0.0
WY,2002,04,100.0,99.9,88.1,41.5,0.0
WY,2002,05,100.0,99.5,90.4,58.3,0.0
WY,2002,06,100.0,99.7,90.8,64.9,0.0
WY,2002,07,100.0,100.0,100.0,87.4,25.3
WY,2002,08,100.0,100.0,100.0,96.7,39.4
WY,2002,09,100.0,100.0,100.0,94.8,28.5
WY,2002,10,100.0,100.0,100.0,85.5,12.0
WY,2002,11,100.0,100.0,100.0,82.9,9.6
WY,2002,12,100.0,100.0,100.0,84.6,12.8
WY,2003,01,100.0,100.0,100.0,96.7,31.0
WY,2003,02,100.0,100.0,100.0,96.0,36.1
WY,2003,03,100.0,100.0,100.0,87.3,33.2
WY,2003,04,100.0,100.0,86.6,56.1,7.8
WY,2003,05,100.0,99.2,69.5,36.9,10.4
WY,2003,06,96.8,85.4,58.8,34.9,11.9
WY,2003,07,99.3,90.4,67.9,42.6,6.7
WY,2003,08,100.0,100.0,82.0,54.7,7.4
WY,2003,09,100.0,98.3,79.0,20.7,1.7
WY,2003,10,100.0,99.5,92.0,20.1,1.2
WY,2003,11,100.0,100.0,95.8,17.9,2.5
WY,2003,12,100.0,99.9,95.8,16.8,2.5
WY,2004,01,100.0,99.3,94.9,7.9,0.6
WY,2004,02,100.0,100.0,99.5,9.8,0.6
WY,2004,03,100.0,99.9,97.9,19.4,0.6
WY,2004,04,100.0,100.0,98.8,32.5,0.3
WY,2004,05,100.0,100.0,100.0,54.0,0.4
WY,2004,06,100.0,100.0,100.0,61.8,6.7
WY,2004,07,100.0,100.0,97.0,53.4,9.2
WY,2004,08,100.0,99.8,89.7,52.1,7.9
WY,2004,09,100.0,97.8,78.5,39.3,7.8
WY,2004,10,98.0,94.6,70.9,34.4,7.9
WY,2004,11,98.1,94.4,69.0,32.6,7.7
WY,2004,12,98.0,93.7,68.3,32.7,7.7
WY,2005,01,98.0,93.3,69.6,37.4,7.6
WY,2005,02,97.8,93.5,70.6,41.4,12.3
WY,2005,03,97.6,93.5,77.4,42.5,21.7
WY,2005,04,96.7,91.0,70.7,39.6,21.3
WY,2005,05,94.0,88.0,63.2,17.5,2.4
WY,2005,06,92.8,84.7,50.2,2.8,0.0
WY,2005,07,94.8,87.0,54.5,0.0,0.0
WY,2005,08,92.3,84.8,48.0,0.0,0.0
WY,2005,09,88.4,82.2,39.1,0.0,0.0
WY,2005,10,87.0,67.0,8.6,0.0,0.0
WY,2005,11,86.8,58.0,0.0,0.0,0.0
WY,2005,12,84.8,47.6,0.0,0.0,0.0
WY,2006,01,82.5,43.8,0.0,0.0,0.0
WY,2006,02,79.4,40.3,0.0,0.0,0.0
WY,2006,03,76.3,38.2,0.0,0.0,0.0
WY,2006,04,76.6,38.4,0.0,0.0,0.0
WY,2006,05,78.5,41.0,0.0,0.0,0.0
WY,2006,06,84.4,58.3,1.8,0.0,0.0
WY,2006,07,90.2,73.4,30.9,4.5,0.0
WY,2006,08,98.9,81.5,65.4,21.0,0.0
WY,2006,09,99.7,87.7,65.3,44.1,0.0
WY,2006,10,99.7,96.0,69.0,50.1,0.0
WY,2006,11,99.7,90.9,69.6,50.1,0.0
WY,2006,12,98.8,93.3,73.8,41.6,0.0
WY,2007,01,99.7,97.4,82.2,51.9,0.0
WY,2007,02,99.5,97.4,83.7,52.8,0.0
