state,year,elev,avg_anomaly,median_anomaly,temp_mean,snow_mean,snow_median,site_count
main,2009,7,-0.2,0.5,31.0,12.8,11.1,
main,2010,7,-2.7,-1.5,30.9,10.6,9.4,
main,2011,7,4.3,4.1,30.3,17.2,14.6,
main,2012,7,-4.6,-1.9,31.3,10.0,8.3,
main,2013,7,-4.3,-1.5,29.0,10.2,9.0,
main,2014,7,-2.3,-0.5,31.5,12.1,10.1,
main,2015,7,-5.5,-2.4,33.2,9.2,8.4,
main,2016,7,-3.0,-0.6,32.6,11.8,10.1,
main,2017,7,1.5,2.4,32.1,16.3,13.5,
main,2000,7,-2.0,-0.8,30.0,11.4,10.3,
main,2001,7,-4.6,-3.2,28.1,8.5,7.7,
main,2002,7,-1.2,-0.5,27.3,11.8,10.2,
main,2003,7,-0.8,-0.2,30.7,11.8,10.4,
main,2004,7,-1.1,0.1,30.3,12.0,10.6,
main,2005,7,-0.7,-0.7,31.4,11.7,9.9,
main,2006,7,3.7,3.4,30.1,16.7,14.0,
main,2007,7,-3.9,-2.2,30.5,9.1,7.9,
main,2008,7,1.7,1.9,28.8,13.7,12.1,
main,2009,8,-1.1,0.9,30.4,13.8,12.2,
main,2010,8,-2.8,-1.2,30.0,11.4,10.1,
main,2011,8,4.7,5.2,29.7,19.2,16.7,
main,2012,8,-6.5,-3.2,30.5,9.5,8.0,
main,2013,8,-5.8,-2.3,28.2,10.4,9.0,
main,2014,8,-3.9,-0.8,30.8,12.2,10.1,
main,2015,8,-7.7,-3.3,32.6,8.8,7.9,
main,2016,8,-4.6,-0.9,31.7,11.9,10.1,
main,2017,8,2.1,2.7,31.8,18.4,14.1,
main,2000,8,-2.9,-1.2,29.4,11.7,10.2,
main,2001,8,-5.1,-2.6,27.4,9.2,8.5,
main,2002,8,-2.5,-1.2,26.5,12.1,10.4,
main,2003,8,-1.1,-0.3,29.9,13.1,10.9,
main,2004,8,-2.7,-0.6,29.4,11.7,10.3,
main,2005,8,0.7,0.4,30.7,14.4,12.1,
main,2006,8,2.8,2.6,29.5,17.3,14.7,
main,2007,8,-5.1,-2.5,29.9,9.4,8.3,
main,2008,8,1.1,2.2,28.1,14.9,13.7,
main,2010,9,-1.6,-0.7,28.4,11.8,10.2,
main,2011,9,5.4,5.1,28.7,18.5,15.7,
main,2012,9,-4.6,-2.1,28.8,9.9,8.0,
main,2013,9,-4.2,-1.8,27.1,10.4,8.9,
main,2014,9,-1.8,0.2,29.7,12.7,10.5,
main,2015,9,-5.9,-2.7,31.8,9.2,8.1,
main,2016,9,-3.4,-0.8,30.6,11.6,10.0,
main,2017,9,1.7,2.8,31.1,16.6,13.4,
main,2000,9,-2.3,-1.1,28.2,11.7,10.6,
