county,state,none,D0,D1,D2,D3,D4,year,month
"Carson City",NV,0.00,100.00,100.00,0.00,0.00,0.00,2004,12
"Carson City",NV,0.00,100.00,100.00,0.00,0.00,0.00,2004,12
"Carson City",NV,0.00,100.00,100.00,0.00,0.00,0.00,2004,12
"Carson City",NV,0.00,100.00,100.00,0.00,0.00,0.00,2004,12
"Carson City",NV,0.00,100.00,100.00,0.00,0.00,0.00,2004,11
"Carson City",NV,0.00,100.00,100.00,52.42,0.00,0.00,2004,11
"Carson City",NV,0.00,100.00,100.00,52.42,0.00,0.00,2004,11
"Carson City",NV,0.00,100.00,100.00,52.42,0.00,0.00,2004,11
"Carson City",NV,0.00,100.00,100.00,52.42,0.00,0.00,2004,11
"Carson City",NV,0.00,100.00,100.00,52.42,0.00,0.00,2004,10
"Carson City",NV,0.00,100.00,100.00,100.00,37.04,0.00,2004,10
"Carson City",NV,0.00,100.00,100.00,100.00,37.04,0.00,2004,10
"Carson City",NV,0.00,100.00,100.00,100.00,37.04,0.00,2004,10
"Carson City",NV,0.00,100.00,100.00,100.00,37.04,0.00,2004,09
"Carson City",NV,0.00,100.00,100.00,100.00,37.04,0.00,2004,09
"Carson City",NV,0.00,100.00,100.00,100.00,37.04,0.00,2004,09
"Carson City",NV,0.00,100.00,100.00,100.00,37.04,0.00,2004,09
"Carson City",NV,0.00,100.00,100.00,100.00,50.06,0.00,2004,08
"Carson City",NV,0.00,100.00,100.00,100.00,50.06,0.00,2004,08
"Carson City",NV,0.00,100.00,100.00,100.00,50.06,0.00,2004,08
"Carson City",NV,0.00,100.00,100.00,100.00,50.06,0.00,2004,08
"Carson City",NV,0.00,100.00,100.00,100.00,0.00,0.00,2004,08
"Carson City",NV,0.00,100.00,100.00,100.00,0.00,0.00,2004,07
"Carson City",NV,0.00,100.00,100.00,100.00,0.00,0.00,2004,07
"Carson City",NV,0.00,100.00,100.00,11.65,0.00,0.00,2004,07
"Carson City",NV,0.00,100.00,100.00,11.65,0.00,0.00,2004,07
"Carson City",NV,0.00,100.00,100.00,0.00,0.00,0.00,2004,06
"Carson City",NV,0.00,100.00,100.00,0.00,0.00,0.00,2004,06
"Carson City",NV,0.00,100.00,100.00,0.00,0.00,0.00,2004,06
"Carson City",NV,0.00,100.00,100.00,0.00,0.00,0.00,2004,06
"Carson City",NV,0.00,100.00,100.00,0.00,0.00,0.00,2004,06
"Carson City",NV,0.00,100.00,100.00,0.00,0.00,0.00,2004,05
"Carson City",NV,0.00,100.00,100.00,0.00,0.00,0.00,2004,05
"Carson City",NV,0.00,100.00,100.00,0.00,0.00,0.00,2004,05
"Carson City",NV,0.00,100.00,100.00,0.00,0.00,0.00,2004,05
"Carson City",NV,0.00,100.00,100.00,0.00,0.00,0.00,2004,04
"Carson City",NV,0.00,100.00,19.04,0.00,0.00,0.00,2004,04
"Carson City",NV,0.00,100.00,19.04,0.00,0.00,0.00,2004,04
"Carson City",NV,96.69,3.31,0.00,0.00,0.00,0.00,2004,04
"Carson City",NV,90.68,9.32,0.00,0.00,0.00,0.00,2004,03
"Carson City",NV,90.68,9.32,0.00,0.00,0.00,0.00,2004,03
"Carson City",NV,90.68,9.32,0.00,0.00,0.00,0.00,2004,03
"Carson City",NV,90.68,9.32,0.00,0.00,0.00,0.00,2004,03
"Carson City",NV,90.68,9.32,0.00,0.00,0.00,0.00,2004,03
"Carson City",NV,87.76,12.24,0.00,0.00,0.00,0.00,2004,02
"Carson City",NV,87.76,12.24,0.00,0.00,0.00,0.00,2004,02
"Carson City",NV,87.76,12.24,0.00,0.00,0.00,0.00,2004,02
"Carson City",NV,87.76,12.24,0.00,0.00,0.00,0.00,2004,02
"Carson City",NV,87.76,12.24,0.00,0.00,0.00,0.00,2004,01
"Carson City",NV,70.14,29.86,0.00,0.00,0.00,0.00,2004,01
"Carson City",NV,17.02,82.98,0.00,0.00,0.00,0.00,2004,01
"Carson City",NV,78.77,21.23,0.00,0.00,0.00,0.00,2004,01
"Carson City",NV,49.15,50.85,0.00,0.00,0.00,0.00,2003,12
"Carson City",NV,0.00,100.00,80.77,0.00,0.00,0.00,2003,12
"Carson City",NV,0.00,100.00,80.44,0.00,0.00,0.00,2003,12
"Carson City",NV,0.00,100.00,57.29,0.00,0.00,0.00,2003,12
"Carson City",NV,0.00,100.00,75.00,0.00,0.00,0.00,2003,12
"Carson City",NV,0.00,100.00,63.82,0.00,0.00,0.00,2003,11
"Carson City",NV,4.87,95.13,76.57,0.00,0.00,0.00,2003,11
"Carson City",NV,5.40,94.60,38.57,0.00,0.00,0.00,2003,11
"Carson City",NV,0.67,99.33,76.47,0.00,0.00,0.00,2003,11
"Carson City",NV,0.00,100.00,3.44,0.00,0.00,0.00,2003,10
"Carson City",NV,0.00,100.00,0.78,0.00,0.00,0.00,2003,10
"Carson City",NV,0.00,100.00,0.00,0.00,0.00,0.00,2003,10
"Carson City",NV,0.00,100.00,0.00,0.00,0.00,0.00,2003,10
"Carson City",NV,0.00,100.00,0.00,0.00,0.00,0.00,2003,09
"Carson City",NV,0.00,100.00,6.44,0.00,0.00,0.00,2003,09
"Carson City",NV,0.00,100.00,0.00,0.00,0.00,0.00,2003,09
