state,none,D0,D1,D2,D3,D4,year,month
TX,99.96,0.04,0,0,0,0,2004,12
TX,99.96,0.04,0,0,0,0,2004,12
TX,99.96,0.04,0,0,0,0,2004,12
TX,99.96,0.04,0,0,0,0,2004,12
TX,99.96,0.04,0,0,0,0,2004,11
TX,99.97,0.03,0,0,0,0,2004,11
TX,99.97,0.03,0,0,0,0,2004,11
TX,99.65,0.35,0.03,0,0,0,2004,11
TX,99.65,0.35,0.03,0,0,0,2004,11
TX,99.67,0.33,0.03,0,0,0,2004,10
TX,99.67,0.33,0.03,0,0,0,2004,10
TX,99.67,0.33,0.03,0,0,0,2004,10
TX,98.06,1.94,0.24,0,0,0,2004,10
TX,97.8,2.2,0.24,0,0,0,2004,09
TX,96.65,3.35,0.24,0,0,0,2004,09
TX,96.96,3.04,0.24,0,0,0,2004,09
TX,97.74,2.26,0.24,0,0,0,2004,09
TX,97.81,2.19,0.24,0,0,0,2004,08
TX,97.89,2.11,0.24,0,0,0,2004,08
TX,96.35,3.65,0.24,0,0,0,2004,08
TX,93.06,6.94,2.15,0.23,0,0,2004,08
TX,90.22,9.78,2.27,0.46,0,0,2004,08
TX,90.41,9.59,2.28,0.46,0,0,2004,07
TX,79.18,20.82,3.12,0.46,0,0,2004,07
TX,81.9,18.1,3.07,0.46,0,0,2004,07
TX,79.77,20.23,5.8,1.46,0,0,2004,07
TX,79.89,20.11,5.74,1.45,0,0,2004,06
TX,70.5,29.5,8.24,1.45,0,0,2004,06
TX,61.44,38.56,14.04,1.47,0,0,2004,06
TX,55.24,44.76,13.58,1.47,0,0,2004,06
TX,42.3,57.7,14.62,1.19,0,0,2004,06
TX,55.14,44.86,5.59,1.22,0,0,2004,05
TX,86.44,13.56,3.35,1.22,0,0,2004,05
TX,88.4,11.6,3.35,1.22,0,0,2004,05
TX,89.24,10.76,3.35,1.22,0,0,2004,05
TX,88.46,11.54,3.35,1.22,0,0,2004,04
TX,83.1,16.9,5.86,1.22,0,0,2004,04
TX,83.7,16.3,5.86,1.22,0,0,2004,04
TX,83.68,16.32,6.6,2.98,0.02,0,2004,04
TX,70.66,29.34,11.81,6.15,2.54,0.09,2004,03
TX,70.66,29.34,11.81,6.15,2.54,0.09,2004,03
TX,70.8,29.2,11.81,6.15,2.76,0.09,2004,03
TX,68.9,31.1,16.08,8.74,2.76,0.09,2004,03
TX,66.71,33.29,21.14,9.96,3.07,0.09,2004,03
TX,59.56,40.44,31.46,17.84,7.35,0.98,2004,02
TX,53.93,46.07,33.53,17.84,7.35,0.98,2004,02
TX,53.27,46.73,33.55,18.81,7.35,0.98,2004,02
TX,53.56,46.44,33.55,18.81,7.35,0.98,2004,02
TX,53.56,46.44,33.55,18.81,7.35,0.98,2004,01
TX,53.06,46.94,32.36,18.81,7.35,0.31,2004,01
TX,32.24,67.76,35.44,22.44,14.06,3.25,2004,01
TX,30.33,69.67,37.48,24.19,13.79,3.25,2004,01
TX,44.83,55.17,34.66,21.71,7.54,0,2003,12
TX,46.46,53.54,35.8,18.33,7.19,0.01,2003,12
TX,53.17,46.83,34.22,18.14,6.95,0,2003,12
TX,52.23,47.77,35.01,17.82,6.84,0,2003,12
TX,55.95,44.05,33.82,15.93,6.4,0,2003,12
TX,54.38,45.62,34.64,15.42,6.97,0,2003,11
TX,54.05,45.95,34.13,15.41,6.69,0,2003,11
TX,50.15,49.85,35.36,15.55,7.03,0,2003,11
TX,53.42,46.58,27.41,14.45,6.75,0,2003,11
TX,55.49,44.51,22.78,12.75,6.12,0,2003,10
TX,63.08,36.92,17.05,11.22,4.77,0,2003,10
TX,62.94,37.06,18.06,11.71,5.75,0,2003,10
TX,60.9,39.1,21.22,11.35,3.2,0,2003,10
TX,58.25,41.75,21.4,11.4,3.06,0,2003,09
TX,46.95,53.05,26.91,14.2,3.17,0,2003,09
TX,47.07,52.93,26.88,14.25,3.12,0,2003,09
