state,none,D0,D1,D2,D3,D4,year,month
ID,32.51,67.49,60.77,51.6,33.25,10.01,2004,12
ID,32.51,67.49,60.77,51.54,33.25,10.01,2004,12
ID,34.07,65.93,60,51.07,33.24,9.99,2004,12
ID,29.99,70.01,63.47,56.39,38.18,11.31,2004,12
ID,30.04,69.96,63.13,56.39,38.18,11.31,2004,11
ID,29.82,70.18,63.69,56.95,38.59,11.31,2004,11
ID,29.82,70.18,63.69,56.95,38.59,11.31,2004,11
ID,29.82,70.18,63.69,56.95,38.59,11.31,2004,11
ID,29.82,70.18,63.69,56.95,38.59,11.31,2004,11
ID,29.42,70.58,63.69,56.95,38.59,11.31,2004,10
ID,29.42,70.58,63.69,56.95,38.59,11.31,2004,10
ID,29.42,70.58,63.69,56.95,38.59,11.31,2004,10
ID,29.42,70.58,63.69,56.95,38.59,9.03,2004,10
ID,29.42,70.58,63.69,56.95,38.59,9.03,2004,09
ID,28.76,71.24,64.38,57.06,38.59,9.03,2004,09
ID,28.3,71.7,64.67,57.47,38.59,9.03,2004,09
ID,28.67,71.33,64.19,57.56,41.99,13.43,2004,09
ID,28.75,71.25,64.19,57.56,42.11,13.43,2004,08
ID,22.56,77.44,65,57.56,42.11,13.61,2004,08
ID,19.48,80.52,66.1,57.56,46.72,14.41,2004,08
ID,19.48,80.52,66.1,57.26,46.72,14.41,2004,08
ID,19.36,80.64,66.1,57.26,46.72,14.41,2004,08
ID,18.57,81.43,66.1,57.26,46.72,14.41,2004,07
ID,18.57,81.43,65.8,57.26,46.78,13.25,2004,07
ID,18.57,81.43,66.1,57.26,46.78,13.25,2004,07
ID,18.57,81.43,66.1,57.26,46.78,13.25,2004,07
ID,18.42,81.58,66.22,57.45,46.78,13.25,2004,06
ID,18.66,81.34,66.1,57.45,46.78,13.25,2004,06
ID,18.32,81.68,65.96,57.48,46.78,13.25,2004,06
ID,18.32,81.68,66.01,57.48,47.09,13.25,2004,06
ID,18.56,81.44,66.43,60.42,47,13.25,2004,06
ID,17.52,82.48,69.62,62.94,47.49,13.25,2004,05
ID,0.01,99.99,74.72,62.94,47.92,15.17,2004,05
ID,0.01,99.99,74.72,62.94,47.92,14.83,2004,05
ID,0,100,74.72,62.94,47.83,14.72,2004,05
ID,0,100,70.81,60.43,38.49,14.72,2004,04
ID,0,100,70.81,60.43,38.49,14.72,2004,04
ID,0,100,62.66,57.05,35.38,14.13,2004,04
ID,0,100,63.28,55.23,32.1,10.84,2004,04
ID,0,100,61.16,52.59,32.1,10.84,2004,03
ID,0,100,61.16,52.59,32.1,10.84,2004,03
ID,0,100,61.16,52.59,31.83,10.84,2004,03
ID,0,100,61.16,52.59,35.93,10.84,2004,03
ID,0,100,61.16,52.59,36.69,10.84,2004,03
ID,0.01,99.99,65.97,52.25,41.89,17.02,2004,02
ID,0.01,99.99,65.97,52.25,41.89,17.02,2004,02
ID,0.01,99.99,65.97,52.25,41.89,17.02,2004,02
ID,0,100,67.23,52.77,42.76,17.04,2004,02
ID,0,100,76.67,54.86,43.22,18.81,2004,01
ID,0,100,85.33,55.24,43.22,18.81,2004,01
ID,0,100,86.51,55.91,42.26,18.6,2004,01
ID,0,100,100,66.14,46.98,27.77,2004,01
ID,0,100,100,71.06,52.08,33.69,2003,12
ID,0,100,100,85.56,57.66,40.78,2003,12
ID,0,100,100,84.55,58.9,40.32,2003,12
ID,0,100,100,88.78,56.49,39.75,2003,12
ID,0,100,100,90.75,57.44,40.5,2003,12
ID,0,100,100,92.83,58.05,40.57,2003,11
ID,0,100,100,93.77,58.66,40.1,2003,11
ID,0,100,100,93.45,61.68,40.74,2003,11
ID,0,100,100,93.18,62.83,23.61,2003,11
ID,0,100,100,95.3,63.13,23.36,2003,10
ID,0,100,100,95.21,61.83,23.21,2003,10
ID,0,100,100,96.4,64.04,20.93,2003,10
ID,0,100,100,99.56,67.83,21.92,2003,10
ID,0,100,100,97.98,67.07,21.73,2003,09
ID,0,100,100,98.04,67.23,21.65,2003,09
ID,0,100,100,97.86,66.71,20.87,2003,09
ID,0,100,100,98.71,65.25,21.94,2003,09
ID,0,100,100,98.44,64.84,26.21,2003,09
ID,0,100,100,98.69,65.06,23.86,2003,08
ID,0,100,100,98.33,63.94,24.03,2003,08
ID,0,100,100,71.4,51.12,20.17,2003,08
ID,0,100,100,71.43,51.02,19.75,2003,08
ID,0,100,100,72.1,51.65,20.47,2003,07
ID,0,100,73.94,58.68,45.15,12.21,2003,07
ID,0,100,64.77,50.11,32.35,4.6,2003,07
