state,none,D0,D1,D2,D3,D4,year,month
WA,62.09,37.91,0,0,0,0,2004,12
WA,71.68,28.32,0,0,0,0,2004,12
WA,89.73,10.27,0,0,0,0,2004,12
WA,64.7,35.3,0,0,0,0,2004,12
WA,69.36,30.64,0,0,0,0,2004,11
WA,66.84,33.16,0,0,0,0,2004,11
WA,85.76,14.24,0,0,0,0,2004,11
WA,85.76,14.24,0,0,0,0,2004,11
WA,85.76,14.24,0,0,0,0,2004,11
WA,86.09,13.91,0,0,0,0,2004,10
WA,86.09,13.91,0,0,0,0,2004,10
WA,86.09,13.91,0,0,0,0,2004,10
WA,86.09,13.91,0,0,0,0,2004,10
WA,86.09,13.91,0,0,0,0,2004,09
WA,86.07,13.93,0,0,0,0,2004,09
WA,86.07,13.93,0,0,0,0,2004,09
WA,82.89,17.11,0,0,0,0,2004,09
WA,82.43,17.57,0,0,0,0,2004,08
WA,39.43,60.57,17.01,0,0,0,2004,08
WA,10.41,89.59,22.4,0,0,0,2004,08
WA,10.41,89.59,22.4,0,0,0,2004,08
WA,10.54,89.46,29.17,0,0,0,2004,08
WA,11.44,88.56,29.17,0,0,0,2004,07
WA,11.44,88.56,19.7,0,0,0,2004,07
WA,32.1,67.9,19.2,0,0,0,2004,07
WA,32.1,67.9,19.2,0,0,0,2004,07
WA,32.2,67.8,9.48,0,0,0,2004,06
WA,62.89,37.11,5.32,0,0,0,2004,06
WA,63.44,36.56,5.57,0,0,0,2004,06
WA,46.4,53.6,5.52,0,0,0,2004,06
WA,38.19,61.81,5.8,0,0,0,2004,06
WA,30.64,69.36,28.22,0,0,0,2004,05
WA,22.4,77.6,6.02,0,0,0,2004,05
WA,26.55,73.45,6.02,0,0,0,2004,05
WA,56.42,43.58,6.02,0,0,0,2004,05
WA,56.42,43.58,6.02,0,0,0,2004,04
WA,56.42,43.58,6.02,0,0,0,2004,04
WA,56.42,43.58,6.02,0,0,0,2004,04
WA,56.42,43.58,6.05,0,0,0,2004,04
WA,56.08,43.92,5.95,0,0,0,2004,03
WA,56.08,43.92,5.95,0,0,0,2004,03
WA,56.08,43.92,5.95,0,0,0,2004,03
WA,56.08,43.92,5.95,0,0,0,2004,03
WA,56.08,43.92,5.95,0,0,0,2004,03
WA,55.9,44.1,5.95,0,0,0,2004,02
WA,55.9,44.1,5.95,0,0,0,2004,02
WA,55.9,44.1,5.95,0,0,0,2004,02
WA,52.11,47.89,5.95,0,0,0,2004,02
WA,52.11,47.89,5.95,0,0,0,2004,01
