county,state,none,D0,D1,D2,D3,D4,year,month
"Adams County",WA,3.22,96.78,0.00,0.00,0.00,0.00,2004,12
"Adams County",WA,74.78,25.22,0.00,0.00,0.00,0.00,2004,12
"Adams County",WA,74.78,25.22,0.00,0.00,0.00,0.00,2004,12
"Adams County",WA,26.68,73.32,0.00,0.00,0.00,0.00,2004,12
"Adams County",WA,100.00,0.00,0.00,0.00,0.00,0.00,2004,11
"Adams County",WA,100.00,0.00,0.00,0.00,0.00,0.00,2004,11
"Adams County",WA,100.00,0.00,0.00,0.00,0.00,0.00,2004,11
"Adams County",WA,100.00,0.00,0.00,0.00,0.00,0.00,2004,11
"Adams County",WA,100.00,0.00,0.00,0.00,0.00,0.00,2004,11
"Adams County",WA,100.00,0.00,0.00,0.00,0.00,0.00,2004,10
"Adams County",WA,100.00,0.00,0.00,0.00,0.00,0.00,2004,10
"Adams County",WA,100.00,0.00,0.00,0.00,0.00,0.00,2004,10
"Adams County",WA,100.00,0.00,0.00,0.00,0.00,0.00,2004,10
"Adams County",WA,100.00,0.00,0.00,0.00,0.00,0.00,2004,09
"Adams County",WA,100.00,0.00,0.00,0.00,0.00,0.00,2004,09
"Adams County",WA,100.00,0.00,0.00,0.00,0.00,0.00,2004,09
"Adams County",WA,100.00,0.00,0.00,0.00,0.00,0.00,2004,09
"Adams County",WA,100.00,0.00,0.00,0.00,0.00,0.00,2004,08
"Adams County",WA,0.00,100.00,0.00,0.00,0.00,0.00,2004,08
"Adams County",WA,0.00,100.00,0.00,0.00,0.00,0.00,2004,08
"Adams County",WA,0.00,100.00,0.00,0.00,0.00,0.00,2004,08
"Adams County",WA,0.00,100.00,0.00,0.00,0.00,0.00,2004,08
"Adams County",WA,0.00,100.00,0.00,0.00,0.00,0.00,2004,07
"Adams County",WA,0.00,100.00,0.02,0.00,0.00,0.00,2004,07
"Adams County",WA,0.00,100.00,0.00,0.00,0.00,0.00,2004,07
"Adams County",WA,0.00,100.00,0.00,0.00,0.00,0.00,2004,07
"Adams County",WA,0.00,100.00,0.00,0.00,0.00,0.00,2004,06
"Adams County",WA,0.00,100.00,0.00,0.00,0.00,0.00,2004,06
"Adams County",WA,0.00,100.00,0.00,0.00,0.00,0.00,2004,06
"Adams County",WA,0.00,100.00,0.00,0.00,0.00,0.00,2004,06
"Adams County",WA,0.00,100.00,0.00,0.00,0.00,0.00,2004,06
"Adams County",WA,0.00,100.00,0.00,0.00,0.00,0.00,2004,05
"Adams County",WA,0.00,100.00,0.00,0.00,0.00,0.00,2004,05
"Adams County",WA,0.00,100.00,0.00,0.00,0.00,0.00,2004,05
"Adams County",WA,0.00,100.00,0.00,0.00,0.00,0.00,2004,05
"Adams County",WA,0.00,100.00,0.00,0.00,0.00,0.00,2004,04
"Adams County",WA,0.00,100.00,0.00,0.00,0.00,0.00,2004,04
"Adams County",WA,0.00,100.00,0.00,0.00,0.00,0.00,2004,04
"Adams County",WA,0.00,100.00,0.00,0.00,0.00,0.00,2004,04
"Adams County",WA,0.00,100.00,0.00,0.00,0.00,0.00,2004,03
"Adams County",WA,0.00,100.00,0.00,0.00,0.00,0.00,2004,03
"Adams County",WA,0.00,100.00,0.00,0.00,0.00,0.00,2004,03
"Adams County",WA,0.00,100.00,0.00,0.00,0.00,0.00,2004,03
"Adams County",WA,0.00,100.00,0.00,0.00,0.00,0.00,2004,03
"Adams County",WA,0.00,100.00,0.00,0.00,0.00,0.00,2004,02
"Adams County",WA,0.00,100.00,0.00,0.00,0.00,0.00,2004,02
"Adams County",WA,0.00,100.00,0.00,0.00,0.00,0.00,2004,02
"Adams County",WA,0.00,100.00,0.00,0.00,0.00,0.00,2004,02
"Adams County",WA,0.00,100.00,0.00,0.00,0.00,0.00,2004,01
"Adams County",WA,0.00,100.00,0.00,0.00,0.00,0.00,2004,01
"Adams County",WA,0.00,100.00,0.00,0.00,0.00,0.00,2004,01
"Adams County",WA,0.00,100.00,100.00,0.00,0.00,0.00,2004,01
"Adams County",WA,0.00,100.00,100.00,0.00,0.00,0.00,2003,12
"Adams County",WA,0.00,100.00,100.00,0.00,0.00,0.00,2003,12
"Adams County",WA,0.00,100.00,100.00,0.00,0.00,0.00,2003,12
"Adams County",WA,0.00,100.00,100.00,0.00,0.00,0.00,2003,12
"Adams County",WA,0.00,100.00,100.00,0.00,0.00,0.00,2003,12
"Adams County",WA,0.00,100.00,100.00,0.00,0.00,0.00,2003,11
"Adams County",WA,0.00,100.00,100.00,0.00,0.00,0.00,2003,11
"Adams County",WA,0.00,100.00,100.00,0.00,0.00,0.00,2003,11
"Adams County",WA,0.00,100.00,100.00,0.00,0.00,0.00,2003,11
"Adams County",WA,0.00,100.00,100.00,0.00,0.00,0.00,2003,10
"Adams County",WA,0.00,100.00,100.00,0.00,0.00,0.00,2003,10
"Adams County",WA,0.00,100.00,100.00,0.00,0.00,0.00,2003,10
"Adams County",WA,0.00,100.00,100.00,0.00,0.00,0.00,2003,10
"Adams County",WA,0.00,100.00,100.00,0.00,0.00,0.00,2003,09
"Adams County",WA,0.00,100.00,100.00,0.00,0.00,0.00,2003,09
"Adams County",WA,0.00,100.00,100.00,0.00,0.00,0.00,2003,09
"Adams County",WA,0.00,100.00,100.00,0.00,0.00,0.00,2003,09
"Adams County",WA,0.00,100.00,100.00,0.00,0.00,0.00,2003,09
"Adams County",WA,0.00,100.00,100.00,0.00,0.00,0.00,2003,08
"Adams County",WA,0.00,100.00,100.00,0.00,0.00,0.00,2003,08
