state,none,D0,D1,D2,D3,D4,year,month
WY,2.01,97.99,93.81,69.01,35.08,7.76,2004,12
WY,2.01,97.99,93.81,68.31,32.31,7.76,2004,12
WY,2.01,97.99,93.81,67.4,30.55,7.66,2004,12
WY,2.01,97.99,93.49,67.8,30.55,7.66,2004,12
WY,2.01,97.99,93.81,67.8,30.55,7.66,2004,11
WY,1.82,98.18,94.58,69.28,33.13,7.66,2004,11
WY,1.82,98.18,94.58,69.28,33.13,7.66,2004,11
WY,1.82,98.18,94.58,69.28,33.13,7.66,2004,11
WY,1.82,98.18,94.58,69.28,33.13,7.66,2004,11
WY,1.98,98.02,94.58,69.92,33.17,7.66,2004,10
WY,1.98,98.02,94.58,71.2,34.75,7.99,2004,10
WY,1.93,98.07,94.58,71.2,34.75,7.99,2004,10
WY,1.93,98.07,94.58,71.2,34.75,7.99,2004,10
WY,0.07,99.93,96.79,78.31,39.33,7.99,2004,09
WY,0,100,96.82,78.31,39.33,7.99,2004,09
WY,0,100,98.69,78.28,39.33,7.85,2004,09
WY,0,100,99.02,79.25,39.34,7.18,2004,09
WY,0,100,99.02,81.14,48.48,7.9,2004,08
WY,0,100,100,88.63,50.55,7.9,2004,08
WY,0,100,100,92.79,53.58,7.88,2004,08
WY,0,100,100,92.8,53.57,7.88,2004,08
WY,0,100,100,92.9,54.23,7.9,2004,08
WY,0,100,100,92.9,52.68,7.9,2004,07
WY,0,100,100,95.04,53.62,8.6,2004,07
WY,0,100,100,100,53.62,10.12,2004,07
WY,0,100,100,100,53.62,10.12,2004,07
WY,0,100,100,100,58.92,10.73,2004,06
WY,0,100,100,100,61.61,10.73,2004,06
WY,0,100,100,100,63.35,11.18,2004,06
WY,0,100,100,100,63.7,0.51,2004,06
WY,0,100,100,99.98,61.32,0.51,2004,06
WY,0,100,100,99.98,60.81,0.51,2004,05
WY,0,100,100,100,53.28,0.46,2004,05
WY,0,100,100,100,53.28,0.46,2004,05
WY,0,100,100,100,48.68,0.22,2004,05
WY,0,100,100,98.97,36.37,0.22,2004,04
WY,0,100,100,98.87,35.83,0.22,2004,04
WY,0,100,100,98.77,28.86,0.22,2004,04
WY,0,100,99.98,98.77,28.96,0.64,2004,04
WY,0,100,99.86,98.77,29.32,0.64,2004,03
WY,0,100,99.86,98.38,24.55,0.64,2004,03
WY,0,100,99.86,97.91,14.39,0.64,2004,03
WY,0,100,99.86,97.91,14.39,0.64,2004,03
WY,0,100,99.86,96.69,14.39,0.64,2004,03
WY,0,100,100,99.54,15.54,0.64,2004,02
WY,0,100,100,99.54,7.9,0.64,2004,02
WY,0,100,100,99.47,7.9,0.64,2004,02
WY,0,100,100,99.47,7.9,0.64,2004,02
WY,0,100,99.19,94.92,7.9,0.64,2004,01
WY,0,100,99.27,94.92,7.9,0.64,2004,01
WY,0,100,99.07,94.22,7.89,0.64,2004,01
WY,0,100,99.52,95.44,7.87,0.64,2004,01
WY,0,100,99.6,95.33,12.77,1.45,2003,12
WY,0,100,100,95.75,17.08,2.54,2003,12
WY,0,100,100,95.83,18.64,2.75,2003,12
WY,0,100,100,96.2,17.79,3.18,2003,12
WY,0,100,100,95.78,17.47,2.47,2003,12
WY,0,100,100,94.42,19.36,3.33,2003,11
WY,0,100,100,94.42,16.82,1.97,2003,11
WY,0,100,100,94.44,14.39,3.65,2003,11
WY,0,100,100,99.75,21.11,1.23,2003,11
WY,0,100,100,99.61,19.88,0.87,2003,10
WY,0,100,100,96.43,19.68,1.07,2003,10
WY,0,100,100,97.24,20.32,1.39,2003,10
WY,0,100,98.06,74.76,20.64,1.56,2003,10
WY,0,100,98.06,74.17,20.65,1.65,2003,09
WY,0,100,98.21,74.85,20.39,1.58,2003,09
WY,0,100,98.08,74.78,20.33,1.78,2003,09
WY,0,100,97.05,85.1,19.3,2.29,2003,09
WY,0,100,100,85.98,22.85,1.12,2003,09
WY,0,100,100,85.61,54.77,6.98,2003,08
WY,0,100,100,82.22,54.3,6.43,2003,08
WY,0,100,100,81.6,55.08,7.99,2003,08
WY,0,100,100,78.71,54.71,8.09,2003,08
WY,0,100,100,77.43,52.31,8.18,2003,07
WY,0,100,100,76.69,52.99,7.36,2003,07
WY,0,100,100,62.43,37.81,6.86,2003,07
WY,0,100,78.94,62.55,35.9,5.67,2003,07
WY,3.27,96.73,73.18,60.34,33.81,5.41,2003,07
WY,3.06,96.94,81.82,55.37,34.44,9.2,2003,06
WY,3.13,96.87,82.04,55.39,34.87,13.11,2003,06
WY,3.17,96.83,83.32,55.86,35.49,14.01,2003,06
WY,3.28,96.72,94.33,68.66,34.74,11.3,2003,06
WY,0,100,96.98,69.99,35.09,11.28,2003,05
WY,0,100,99.93,69.56,34.16,11.11,2003,05
WY,0,100,100,69.24,35.83,11.34,2003,05
WY,0,100,100,69.2,42.4,8.03,2003,05
WY,0,100,100,82.52,53.9,8.09,2003,04
WY,0,100,100,87.17,57.75,8.02,2003,04
WY,0,100,100,87.98,55.07,7.03,2003,04
WY,0,100,100,86.75,56.73,8.05,2003,04
WY,0,100,100,88.43,57.15,8.01,2003,04
WY,0,100,100,100,77.92,27.38,2003,03
WY,0,100,100,100,88.26,34.38,2003,03
WY,0,100,100,100,88.22,34.38,2003,03
WY,0,100,100,100,94.96,36.83,2003,03
